H	"Florida Gas Transmission Company, LLC"	C000255	4/2/2018	O	4/1/2018	B	B	Iain Russell (713) 989-2615				
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	3053	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-1   	114934	11/1/2013	2/28/2029	0	N	2606	 	
P	M2	Exxon Plant-Mobile Bay                  	95	62135	W                   	629	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	940	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	1037	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	2606	 	 	 	 	 	
D	"ORLANDO COGEN LIMITED, L.P.             "	189942985	N 	FTS-2   	115673	1/1/2014	12/31/2023	0	N	11800	 	
P	M2	Destin P/L                              	95	71298	W                   	1131	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	2503	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	3427	 	 	 	 	 	
P	M2	SNG High Point-TOCA                     	95	100016	W                   	2536	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	2203	 	 	 	 	 	
P	MQ	Orlando Cogen                           	95	60776	M                   	11800	 	 	 	 	 	
D	"ORLANDO COGEN LIMITED, L.P.             "	189942985	N 	FTS-2   	115674	1/1/2014	12/31/2023	0	N	10700	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	2182	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	939	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	2076	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	1573	 	 	 	 	 	
P	M2	SNG High Point-TOCA                     	95	100016	W                   	2104	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	1826	 	 	 	 	 	
P	MQ	Orlando Cogen                           	95	60776	M                   	10700	 	 	 	 	 	
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-2   	115703	1/1/2014	2/28/2026	0	N	0	 	X6/X7
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-1   	115720	1/1/2014	7/31/2020	0	N	0	 	X6
D	"OCI BEAUMONT, LLC                       "	6900772	N 	FTS-WD  	115803	2/1/2014	1/31/2024	0	N	25000	 	
A	ENTERPRISE PRODUCTS OPERATING LLC       	N 	 	 	 	 	 	 	 	 	 	
P	M2	Pledger-Enterprise                      	95	100022	W                   	25000	 	 	 	 	 	
P	MQ	Beaumont-OCI                            	95	100024	W                   	25000	 	 	 	 	 	
D	ENTERPRISE PRODUCTS OPERATING LLC       	48210686	N 	FTS-WD  	115932	4/1/2014	3/31/2020	0	N	1750	 	
P	M2	Pledger-Enterprise                      	95	100022	W                   	1750	 	 	 	 	 	
P	MQ	McFadden Bend-Enterprise                	95	100035	W                   	1750	 	 	 	 	 	
D	"PIVOTAL UTILITY HOLDINGS, INC.          "	56711344	N 	FTS-2   	116747	3/1/2015	2/28/2025	0	N	2807	 	
A	"SEQUENT ENERGY MANAGEMENT, L.P.         "	N 	 	 	 	 	 	 	 	 	 	
P	M2	Egan Hub (Rec)                          	95	78299	W                   	545	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	2262	 	 	 	 	 	
P	MQ	Indian River-City Gas                   	95	60606	M                   	2807	 	 	 	 	 	
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-3   	117299	1/1/2015	12/31/2039	0	Y	75000	 	X7
P	M2	Destin P/L                              	95	71298	W                   	30000	 	 	 	 	 	
P	M2	GSPL Merrill                            	95	100037	W                   	30000	 	 	 	 	 	
P	M2	SESH Lucedale (Rec)                     	95	78487	W                   	15000	 	 	 	 	 	
P	MQ	Bayside-TECO                            	95	78375	M                   	50000	 	 	 	 	 	
P	MQ	Brandy Branch-PGS                       	95	78117	M                   	15000	 	 	 	 	 	
P	MQ	Ft Myers CTG-PGS                        	95	78152	M                   	8000	 	 	 	 	 	
P	MQ	Lakewood Ranch-TECO/PGS                 	95	71403	M                   	5000	 	 	 	 	 	
P	MQ	Osceola Co-PGS                          	95	28712	M                   	4000	 	 	 	 	 	
P	MQ	Palm Beach-TECO/PGS                     	95	16102	M                   	3000	 	 	 	 	 	
P	MQ	Polk Power Station-TECO                 	95	78075	M                   	50000	 	 	 	 	 	
P	MQ	Seacoast-TECO                           	95	100031	M                   	15000	 	 	 	 	 	
P	MQ	SNG Suwannee                            	95	100036	M                   	10000	 	 	 	 	 	
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-2   	117300	11/1/2015	12/31/2039	0	N	0	 	X6/X7
D	"PERRY, CITY OF                          "	65907537	N 	SFTS    	117311	1/1/2015	2/28/2022	0	N	2909	 	
A	FLORIDA GAS UTILITY                     	N 	 	 	 	 	 	 	 	 	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	600	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	172	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	649	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	455	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	433	 	 	 	 	 	
P	M2	Tres Palacios Storage (Rec)             	95	78475	W                   	600	 	 	 	 	 	
P	MQ	Perry                                   	95	16138	M                   	2909	 	 	 	 	 	
D	"FPL ENERGY SERVICES, INC.               "	197177678	N 	FTS-3   	117580	1/1/2017	12/31/2018	0	N	12500	 	
P	M2	Destin P/L                              	95	71298	W                   	12500	 	 	 	 	 	
P	MQ	SNG Suwannee                            	95	100036	M                   	12500	 	 	 	 	 	
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-2   	117727	4/1/2015	5/31/2023	0	N	25000	 	X7
P	M2	ANR St Landry Parish                    	95	78303	W                   	16500	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	8500	 	 	 	 	 	
P	MQ	Indian River Ctg-Reliant                	95	78037	M                   	25000	 	 	 	 	 	
P	MQ	Reliant Holopaw                         	95	78155	M                   	25000	 	 	 	 	 	
D	"CITY OF BREWTON, ALABAMA                "	1383801	N 	FTS-WD  	118548	10/1/2015	9/30/2020	0	N	7000	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	7000	 	 	 	 	 	
P	MQ	GSPL Flomaton                           	95	16522	W                   	7000	 	 	 	 	 	
D	TOWN OF JAY                             	25205980	N 	FTS-WD  	119015	2/1/2016	7/31/2020	0	N	558	 	
A	FLORIDA GAS UTILITY                     	N 	 	 	 	 	 	 	 	 	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	100	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	12	 	 	 	 	 	
P	M2	HPL Magnet Withers                      	95	8576	W                   	75	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	128	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	126	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	117	 	 	 	 	 	
P	MQ	Jay                                     	95	16129	M                   	558	 	 	 	 	 	
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-2   	120697	10/1/2017	9/30/2041	0	N	4221	 	X7
P	M2	ANR St Landry Parish                    	95	78303	W                   	42	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	168	 	 	 	 	 	
P	M2	LRC Kaplan                              	95	16509	W                   	152	 	 	 	 	 	
P	M2	LRC White Castle                        	95	664000	W                   	84	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	575	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	650	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	110	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	2440	 	 	 	 	 	
P	MQ	Bonifay CTG-CUC                         	95	78112	M                   	550	 	 	 	 	 	
P	MQ	Boynton CTG-FPU                         	95	78329	M                   	215	 	 	 	 	 	
P	MQ	Crystal River-CUC                       	95	71453	M                   	940	 	 	 	 	 	
P	MQ	Lecanto-CUC                             	95	78527	M                   	1414	 	 	 	 	 	
P	MQ	Sneads CTG-CUC                          	95	78111	M                   	750	 	 	 	 	 	
P	MQ	Trenton-CUC                             	95	71448	M                   	200	 	 	 	 	 	
P	MQ	W Plant City CFG                        	95	78537	M                   	1414	 	 	 	 	 	
P	MQ	Washington Co-CFG                       	95	78434	M                   	500	 	 	 	 	 	
D	FLORIDA PUBLIC UTILITIES COMPANY        	6924427	N 	FTS-3   	120703	5/1/2017	9/30/2041	0	Y	8000	 	X7
P	M2	Destin P/L                              	95	71298	W                   	8000	 	 	 	 	 	
P	MQ	Bonifay CTG-CUC                         	95	78112	M                   	1200	 	 	 	 	 	
P	MQ	Crystal River-CUC                       	95	71453	M                   	2000	 	 	 	 	 	
P	MQ	Lecanto-CUC                             	95	78527	M                   	3000	 	 	 	 	 	
P	MQ	Quincy-CUC                              	95	71251	M                   	1411	 	 	 	 	 	
P	MQ	Sneads CTG-CUC                          	95	78111	M                   	500	 	 	 	 	 	
P	MQ	Trenton-CUC                             	95	71448	M                   	350	 	 	 	 	 	
P	MQ	W Plant City CFG                        	95	78537	M                   	8000	 	 	 	 	 	
D	ASCEND PERFORMANCE MATERIALS INC.       	78749159	N 	FTS-WD  	120831	10/1/2017	9/30/2042	0	Y	40000	 	
P	M2	Destin P/L                              	95	71298	W                   	40000	 	 	 	 	 	
P	MQ	Escambia M&R-FPU                        	95	100717	W                   	40000	 	 	 	 	 	
D	BP ENERGY COMPANY                       	625275755	N 	FTS-1   	121532	11/1/2017	11/30/2021	0	N	91	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	41	 	 	 	 	 	
P	M2	Tejas Calhoun Co ITE                    	95	71444	W                   	25	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	25	 	 	 	 	 	
P	MQ	Perry                                   	95	16138	M                   	91	 	 	 	 	 	
D	City of Pensacola dba Pensacola Energy  	73131559	N 	FTS-WD  	121837	1/1/2018	9/30/2042	0	Y	28500	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	28500	 	 	 	 	 	
P	MQ	Escambia M&R-FPU                        	95	100717	W                   	28500	 	 	 	 	 	
D	"INFINITE ENERGY, INC.                   "	968786749	N 	FTS-3   	121873	4/1/2018	3/31/2019	0	N	37500	 	
P	M2	Gulfstream Hardee                       	95	78340	M                   	37500	 	 	 	 	 	
P	MQ	SNG Suwannee                            	95	100036	M                   	37500	 	 	 	 	 	
D	"INFINITE ENERGY, INC.                   "	968786749	N 	FTS-2   	122087	3/16/2018	4/26/2018	0	N	7500	 	
P	M2	Gulfstream Hardee                       	95	78340	M                   	7500	 	 	 	 	 	
P	MQ	St Regis Gas Plant-Fuel                 	95	16235	M                   	7500	 	 	 	 	 	
F	1	Contract quantities reported here may change from season to season.	 	 	 	 	 	 	 	 	 	
F	2	Division aggregate quantities at all points is limited to MDTQ.	 	 	 	 	 	 	 	 	 	
F	3	Short term firms.	 	 	 	 	 	 	 	 	 	
F	4	Shipper's contracts have been consolidated.	 	 	 	 	 	 	 	 	 	
F	5	Shippers entitlements have been aggregated into a contract.	 	 	 	 	 	 	 	 	 	
F	6	Seasonal contracts where current MDTQ is zero.	 	 	 	 	 	 	 	 	 	
F	7	Total Delivery MDQs are limited to MDTQ of contract.	 	 	 	 	 	 	 	 	 	
