H	"East Tennessee Natural Gas, LLC"	C000085	4/2/2018	O	4/1/2018	T	T	LISA  A. CONNOLLY 713-627-4102				
F	35	Original contract effective date: 11/01/2002										
F	36	Original contract effective date: 01/01/2003										
F	37	Original contract effective date: 05/01/2004										
F	38	Original contract effective date: 11/01/2003										
F	39	"Varying MDQ quantities as follows: 54518 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	40	Original contract effective date: 11/01/2004										
F	41	"Varying MDQ quantities as follows: 1365 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	42	Original contract effective date: 05/01/2005										
F	43	Original contract effective date: 04/01/2006										
F	44	Original contract effective date: 06/01/2006										
F	45	Original contract effective date: 02/01/2006										
F	46	"Varying MDQ quantities as follows: 1036 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	47	Original contract effective date: 09/01/2010										
F	48	"Varying MDQ quantities as follows: 16000 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	49	Original contract effective date: 11/01/2006										
F	50	Original contract effective date: 04/04/2008										
F	51	Original contract effective date: 12/01/2008										
