H	"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"	C000654	4/2/2018	O	4/1/2018	T	T	Karen Gallardo 713-215-3572				
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	18750	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	14250	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	29250	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	0	0					
D	"DUKE ENERGY CAROLINAS, LLC"	957879984	N	FT	9203787	9/1/2017	6/30/2018		N	50000	0	
P	S8	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	50000	0					
P	S9	CPH RIVER ROAD M/L MP 1683.32	95	9009729	ZONE 6	50000	0					
D	"DUKE ENERGY FLORIDA, INC."	6923700	N	FT	9097513	5/1/2010	4/30/2025		N	153500	0	
P	S8	CODEN-GS M4596	95	9003000	ZONE 4A	153500	0					
P	S9	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	153500	0					
D	"DUKE ENERGY FLORIDA, INC."	6923700	N	FT	9109950	5/1/2011	4/30/2026		N	50000	0	
P	S8	CODEN-GS M4596	95	9003000	ZONE 4A	50000	0					
P	S9	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	50000	0					
D	"DUKE ENERGY FLORIDA, INC."	6923700	N	FT	9111070	6/1/2016	10/31/2026		N	53500	0	
P	S8	CODEN-GS M4596	95	9003000	ZONE 4A	53500	0					
P	S9	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	53500	0					
D	"DUKE ENERGY PROGRESS, INC."	6997217	N	FT	1042064	5/1/2002	4/30/2022		Y	75000	0	
P	S8	CPH M/L 1369.39	95	9008886	ZONE 5	70000	0					
P	S8	POOLING-STATION 165	95	1000139	ZONE 5	5000	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	37500	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	37500	0					
D	"DUKE ENERGY PROGRESS, INC."	6997217	N	FT	9109923	5/1/2011	4/30/2031		Y	115000	0	
P	S8	CARDINAL	95	1002976	ZONE 5	57500	0					
P	S8	DUKE ENERGY CAROLINA	95	9004742	ZONE 5	57500	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	115000	0					
D	"DUKE ENERGY PROGRESS, INC."	6997217	N	FT	9128023	9/12/2012	9/11/2032		Y	93000	0	
P	S8	CARDINAL	95	1002976	ZONE 5	93000	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	93000	0					
D	EAST CENTRAL ALABAMA GAS DISTRICT	82146416	N	FTG	1006562	11/1/1993	10/30/2013	180	N	453	0	o3
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	453	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	77	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	114	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	86	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	176	0					
D	EASTERN SHORE NATURAL GAS COMPANY	2595932	N	GSS	1000921	4/1/2013	3/31/2023		N	0	227374	
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	4595					
D	EASTERN SHORE NATURAL GAS COMPANY	2595932	N	LG-A	1000924	11/1/1974	10/31/2018		N	0	10629	
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	1697					
D	EASTERN SHORE NATURAL GAS COMPANY	2595932	N	LSS	1000923	4/1/2013	3/31/2023		N	0	50000	
P	WR	LSS STG C/N/P	95	1002694	ZONE 6	0	1000					
D	EASTON UTILITIES	37733045	N	FT	1038598	4/1/2001	4/30/2018		N	2099	0	
A	"THE ENERGY AUTHORITY, INC."	N										
P	S8	EASTERN SHORE	95	1006570	ZONE 6	2099	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	357	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	524	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	399	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	819	0					
D	ESSROC CEMENT CORP	2389625	N	FT	9175159	8/4/2015	8/3/2017	730	N	1000	0	
P	S8	ESSROC CAMDEN M6310	95	1003865	ZONE 6	1000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	1000	0					
D	"EXELON GENERATION COMPANY, LLC"	196748938	N	FT	9099906	7/9/2010	7/8/2030		N	90000	0	
P	S8	HILLABEE PWR M7380	95	9004842	ZONE 4	90000	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	90000	0					
D	FLORIDA MUNICIPAL POWER AGENCY	798326856	N	FT	9109952	5/1/2011	4/30/2026		N	50000	0	
P	S8	CODEN-GS M4596	95	9003000	ZONE 4A	50000	0					
P	S9	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	50000	0					
D	FLORIDA POWER AND LIGHT COMPANY	6922371	N	FT	9114388	5/1/2016	10/31/2026		N	121500	0	
P	S8	CODEN-GS M4596	95	9003000	ZONE 4A	121500	0					
P	S9	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	121500	0					
D	FORMOSA PLASTICS CORPORATION USA	39944004	N	FT	1021393	12/1/1997	3/30/2005	180	N	1308	0	
A	"PENINSULA ENERGY SERVICES COMPANY, INC."	N										
P	S8	EASTERN SHORE	95	1006570	ZONE 6	1308	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	222	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	327	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	249	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	510	0					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	FT	1003700	2/1/1992	7/31/2022		N	12317	0	o14
A	BP ENERGY COMPANY	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	81	0					
P	S8	FORT HILL GAS AUTH	95	1006669	ZONE 5	12317	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	2094	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	3080	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	2340	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	4803	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	81	0					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	FT	1004178	11/1/1995	7/31/2022		N	6754	0	o4
A	BP ENERGY COMPANY	N										
P	S8	FORT HILL GAS AUTH	95	1006669	ZONE 5	6754	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	6754	0					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	FT	1004989	8/1/1991	7/31/2022		N	207	0	o1
A	BP ENERGY COMPANY	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	81	0					
P	S8	FORT HILL GAS AUTH	95	1006669	ZONE 5	207	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	35	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	52	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	39	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	81	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	81	0					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	FT	1009765	11/5/1994	11/3/2017	730	N	2425	0	
A	BP ENERGY COMPANY	N										
P	S8	FORT HILL GAS AUTH	95	1006669	ZONE 5	2425	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	2425	0					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	FT	1012022	11/1/1995	10/30/2018		N	7133	0	
A	BP ENERGY COMPANY	N										
P	S8	FORT HILL GAS AUTH	95	1006669	ZONE 5	7133	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	7133	0					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	FT	1020766	11/1/1997	10/31/2017	730	N	3105	0	
A	BP ENERGY COMPANY	N										
P	S8	FORT HILL GAS AUTH	95	1006669	ZONE 5	3105	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	3105	0					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	FT	1042062	5/1/2002	4/30/2017	365	N	8000	0	
A	BP ENERGY COMPANY	N										
P	S8	FORT HILL GAS AUTH	95	1006669	ZONE 5	8000	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	8000	0					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	FT	9002617	5/1/2003	4/30/2018		Y	3000	0	
A	BP ENERGY COMPANY	N										
P	S8	FORT HILL GAS AUTH	95	1006669	ZONE 5	3000	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	3000	0					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	GSS	1000865	4/1/2013	3/31/2023		N	0	69154	
A	BP ENERGY COMPANY	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	1449					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	LG-A	1000864	11/1/1979	10/30/2016	180	N	0	6662	
A	BP ENERGY COMPANY	N										
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	914					
D	FORT HILL NATURAL GAS AUTHORITY	50192863	N	WSS-OA	1027101	11/1/1998	7/31/2022		N	0	207000	
A	BP ENERGY COMPANY	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	2179					
D	FRONTIER NATURAL GAS COMPANY	67224444	N	FT	9099031	11/1/2010	6/30/2023		N	1245	0	
A	"UGI ENERGY SERVICES, LLC"	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	1245	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	1245	0					
D	FRONTIER NATURAL GAS COMPANY	67224444	N	FT	9099032	11/1/2010	6/30/2023		N	227	0	
A	"UGI ENERGY SERVICES, LLC"	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	227	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	38	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	58	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	43	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	88	0					
D	FRONTIER NATURAL GAS COMPANY	67224444	N	FT	9102888	11/1/2010	6/30/2023		N	2000	0	
A	"UGI ENERGY SERVICES, LLC"	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	2000	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	340	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	500	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	380	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	780	0					
D	FRONTIER NATURAL GAS COMPANY	67224444	N	FT	9162420	11/1/2014	11/30/2059		N	141	0	
A	"UGI ENERGY SERVICES, LLC"	N										
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	141	0					
P	S9	UTOS TGPL	95	1006402	ZONE 2	138	0					
P	S9	RAGLEY-TET	95	1006217	ZONE 3	3	0					
D	FRONTIER NATURAL GAS COMPANY	67224444	N	FT	9181276	1/1/2016	1/31/2094		N	2337	0	
A	"UGI ENERGY SERVICES, LLC"	N										
P	S8	SHELBY M7102	95	1006237	ZONE 5	2337	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	2337	0					
D	FRONTIER NATURAL GAS COMPANY	67224444	N	FT	9192156	1/14/2017	1/14/2104		N	2663	0	
A	"UGI ENERGY SERVICES, LLC"	N										
P	S8	SHELBY M7102	95	1006237	ZONE 5	2663	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	453	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	665	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	506	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1039	0					
D	GREENVILLE UTILITIES COMMISSION	72012818	N	ESS	9051552	3/2/2007	4/30/2018		N	0	14177	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	1690					
D	GREENVILLE UTILITIES COMMISSION	72012818	N	FT	9048569	4/1/2007	4/30/2018		Y	8000	0	
P	S8	LEXINGTON	95	1006163	ZONE 5	8000	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	8000	0					
D	INFINITE ENERGY INC	968786749	N	FT	9111591	6/1/2011	5/31/2012	60	N	2000	0	
P	S8	ALEXANDER CITY	95	1006004	ZONE 4	2000	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	340	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	500	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	380	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	780	0					
D	INTERNATIONAL PAPER	1316561	N	FT	9145203	12/25/2013	12/31/2016	180	N	7000	0	
A	BP ENERGY COMPANY	N										
P	S8	EMPORIA WALDROP	95	1000941	ZONE 5	7000	0					
P	S9	POOLING-STATION 165	95	1000139	ZONE 5	7000	0					
D	J ARON & COMPANY	6980312	N	FT	9154443	4/1/2014	10/31/2023		N	20582	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	20582	0					
P	S9	CPH UTOS TGPL	95	9009869	ZONE 2	20582	0					
D	J ARON & COMPANY	6980312	N	FT	9154444	4/1/2014	10/31/2023		N	455	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	455	0					
P	S9	CPH M/L 469.41	95	9007103	ZONE 3	455	0					
D	J ARON & COMPANY	6980312	N	FT	9154445	4/1/2014	10/31/2023		Y	50000	0	
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	50000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	50000	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	ESS	1010412	11/1/1993	10/31/2013	365	N	0	303233	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	35934					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	ESS	9050778	3/1/2007	3/4/2015	365	N	0	276255	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	33074					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FDLS	9170142	5/15/2015	5/14/2030		N	293300	0	
P	S8	MARINACE FBF - LI	95	9008502	ZONE 6	293300	0					
P	S9	ROCKAWAY TRANSFER	95	9008265	ZONE 6	293300	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	1000657	11/1/1995	1/31/2014	365	N	2100	0	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	LONG ISLAND LIGHTING	95	1006382	ZONE 6	2100	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	2100	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	1002237	8/1/1991	2/24/1998	1095	N	1811	0	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	LONG ISLAND LIGHTING	95	1006382	ZONE 6	1811	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	308	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	452	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	344	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	707	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	1003687	2/1/1992	5/31/2016	1095	N	154287	0	o14
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	727	0					
P	S8	LONG ISLAND LIGHTING	95	1006382	ZONE 6	154287	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	26229	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	38572	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	29314	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	60172	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	727	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	1003833	1/1/1996	10/30/2007	365	N	36225	0	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	LONG ISLAND LIGHTING	95	1006382	ZONE 6	36225	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	36225	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	1005015	8/1/1991	7/30/2006	1095	N	1863	0	o1
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	727	0					
P	S8	LONG ISLAND LIGHTING	95	1006382	ZONE 6	1863	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	317	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	465	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	354	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	727	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	727	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	1044810	1/1/2003	3/31/2013	365	N	17433	0	o19
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	LONG ISLAND LIGHTING	95	1006382	ZONE 6	17433	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	17433	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	9014496	11/1/2004	10/31/2012	730	N	25000	0	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	25000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	25000	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	9014499	11/1/2004	11/30/2011	730	N	25000	0	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	25000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	25000	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	9062488	12/13/2007	12/12/2027		Y	50000	0	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	RIVERSIDE	95	9003765	ZONE 6	50000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	50000	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT	9062489	12/13/2007	12/12/2027		Y	50000	0	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	S8	RIVERSIDE	95	9003765	ZONE 6	50000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	50000	0					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	GSS	1000833	4/1/2013	3/31/2023		N	0	6668956	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	112484					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	LSS	1000836	4/1/2013	3/31/2023		N	0	2099808	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	WR	LSS STG C/N/P	95	1002694	ZONE 6	0	19807					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	SS-2	1003969	7/25/1990	3/31/2009	365	N	0	2550240	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	WR	SS-2 NATIONAL FUEL	95	1002693	ZONE 6	0	23184					
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	WSS-OA	9006852	8/1/2003	8/31/2006	365	N	0	4459220	
A	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	46939					
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS) CORP.		N	FT	9148758	12/21/2013	12/20/2014	365	N	807	0	
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	807	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	807	0					
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS) CORP.		N	FT	9148759	12/21/2013	12/20/2014	365	N	23	0	
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	23	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	23	0					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	ESS	9136654	4/1/2013	10/31/2013	365	N	0	22273	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	2640					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	FT	9136655	4/1/2013	4/30/2014	365	N	2000	0	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	S8	UNITED CIT GA M7037	95	1006666	ZONE 4	2000	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	2000	0					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	FT	9136657	4/1/2013	12/31/2013	279	N	3933	0	o4
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	S8	UNITED CIT GA M7037	95	1006666	ZONE 4	3933	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	3933	0					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	FT	9136943	4/1/2013	3/31/2016	1095	N	207	0	o1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	81	0					
P	S8	UNITED CIT GA M7037	95	1006666	ZONE 4	207	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	35	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	52	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	39	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	81	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	81	0					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	FT	9136963	4/1/2013	3/31/2016	1095	N	8384	0	o14
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	81	0					
P	S8	UNITED CIT GA M7037	95	1006666	ZONE 4	8384	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1425	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	2096	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1593	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	3270	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	81	0					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	GSS	9137183	4/1/2013	3/31/2023		N	0	126006	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	2640					
D	LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.	78591904	N	WSS-OA	9136651	4/1/2013	11/30/2013	365	N	0	399069	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	4201					
D	MAPLESVILLE WATER & GAS BOARD	785991894	N	FTG	1006567	11/1/1993	10/30/2013	180	N	392	0	o3
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	392	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	66	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	98	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	75	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	153	0					
D	"MERRILL LYNCH COMMODITIES, INC."	160352865	N	WSS-OA	1031067	8/1/1999	4/30/2010	365	N	0	124200	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	1307					
D	"MITSUI & CO. ENERGY MARKETING AND SERVICES (USA), INC."	968216601	N	FT	9144667	11/1/2013	10/31/2028		Y	32500	0	
P	S8	BROOKLYN UNION	95	1006558	ZONE 6	6500	0					
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	19500	0					
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	6500	0					
P	S9	GRUGAN M3623	95	9005642	ZONE 6	32500	0					
D	"MITSUI & CO. ENERGY MARKETING AND SERVICES (USA), INC."	968216601	N	FT	9165691	12/1/2016	10/31/2031		N	25254	0	
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	25254	0					
P	S9	LEIDY-NATIONAL FUEL	95	1007065	ZONE 6	25254	0					
D	"MITSUI & CO. ENERGY MARKETING AND SERVICES (USA), INC."	968216601	N	FT	9178789	1/5/2016	1/4/2031		Y	50000	0	
P	S8	POOLING-ST 85-ZN 4A	95	9005542	ZONE 4A	50000	0					
P	S9	GRUGAN M3623	95	9005642	ZONE 6	25000	0					
P	S9	MARC I	95	9007162	ZONE 6	25000	0					
D	MORGAN STANLEY CAPITAL GROUP INC	130198013	N	FT	9172578	6/1/2015	10/31/2028		Y	135000	0	
P	S8	BROOKLYN UNION	95	1006558	ZONE 6	27000	0					
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	81000	0					
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	27000	0					
P	S9	MARC I	95	9007162	ZONE 6	135000	0					
D	MORGAN STANLEY CAPITAL GROUP INC	130198013	N	FT	9207016	12/1/2017	11/30/2018		N	24000	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	24000	0					
P	S9	MARC I	95	9007162	ZONE 6	24000	0					
D	MUNICIPAL ELECTRIC AUTHORITY OF GEORGIA	82824566	N	ESS	9070888	7/1/2008	1/31/2019		N	0	21174	
A	"THE ENERGY AUTHORITY, INC."	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	2535					
D	MUNICIPAL ELECTRIC AUTHORITY OF GEORGIA	82824566	N	FT	9012586	2/1/2004	1/31/2019		Y	48000	0	
A	"THE ENERGY AUTHORITY, INC."	N										
P	S8	WANSLEY UNIT 9	95	9000720	ZONE 4	48000	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	12000	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	36000	0					
D	MUNICIPAL GAS AUTHORITY OF GEORGIA	183909514	N	FT	1022155	2/3/1998	2/2/2023		N	3881	0	
P	S8	ROCKVILLE M4080	95	1006227	ZONE 6	3881	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	970	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	737	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2174	0					
