H	DOMINION ENERGY TRANSMISSION INC	C000160	4/2/2018	O	4/1/2018	T	T	JOHN BROWNLEE 804-771-4678	 			
P	WR	DETI STRG SERVICE (SS)	95	10001		0	451					
P	S8	DETI STRG POINT (ST)	95	10002		0	113					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	113					
D	IDT ENERGY INC.	9070495	N	FTNNGSS	700094	4/1/2007	3/31/2020	 	N	451	0	
P	S9	CALEDONIA	95	20602		451	0					
P	S8	DETI STRG POINT (ST)	95	10002		451	0					
D	INDECK-CORINTH LIMITED PARTNER	931395115	N	FT     	200688	7/1/2015	6/30/2020	 	N	"26,200"	0	
A	"INDECK ENERGY SERVICES, INC."	N										
P	S9	CORINTH (INDECK)	95	20524		"26,200"	0					
P	S8	ANR - LEBANON	95	40401		"26,200"	0					
D	J ARON & COMPANY LLC	6980312	N	FT     	200646	6/1/2014	11/3/2020	 	N	"150,000"	0	
P	S9	SOUTH BEND	95	30060		"38,325"	0					
P	S9	MULLET 1	95	20103		"25,000"	0					
P	S9	TET - CRAYNE FARM	95	40218		"36,675"	0					
P	S8	TRANSCO - LEIDY	95	40301		"150,000"	0					
P	S9	TET - LEIDY	95	40206		"50,000"	0					
D	JACKSON MANAGEMENT COMPANY	361755262	N	FT     	200594	9/1/2012	8/31/2022	 	Y	600	0	
A	DOMINION ENERGY FIELD SERVICES INC	Y										
P	S8	POD 12 LOUP CREEK	95	P0012		600	0					
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		600	0					
D	JAMESTOWN NATURAL GAS SYSTEM	9069246	N	GSS    	300034	11/1/1993	3/31/2021	 	N	0	"18,332"	
A	CENTERPOINT ENERGY SERVICES INC.	N										
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	102					
P	S8	DETI STRG POINT (ST)	95	10002		0	102					
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		0	300					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	300					
P	S9	DETI STRG POINT (ST)	95	10002		0	300					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		0	102					
D	JOHNSTOWN REGIONAL ENERGY	19547013	N	FT     	200638	8/1/2013	7/31/2021	 	N	"2,700"	0	
A	ELEMENT MARKETS RENEWABLE NATURAL GAS LLC	N										
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		"2,700"	0					
P	S8	TGP - SABINSVILLE	95	40120		"2,700"	0					
D	JUST ENERGY NEW YORK CORP	187199406	N	FT     	200726	9/1/2017	10/31/2020	 	N	700	0	
P	S9	TET - LEIDY	95	40206		700	0					
P	S8	TRANSCO - LEIDY	95	40301		700	0					
D	JUST ENERGY SOLUTIONS INC	176343341	N	FT     	200461	11/1/2005	3/31/2020	 	N	"3,400"	0	
A	JUST ENERGY NEW YORK CORP	N										
P	S8	TET - OAKFORD	95	40208		"3,400"	0					
P	S9	MULLET 1	95	20103		"3,400"	0					
D	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	53106352	N	FTNN   	100004	10/1/1993	3/31/2023	 	N	"26,021"	0	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	DETI STRG POINT (ST)	95	10002		"26,021"	0					
P	S9	TET - LEIDY	95	40206		"26,021"	0					
P	S9	TRANSCO - LEIDY	95	40301		"26,021"	0					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		"11,630"	0					
P	S8	POD 20 APPALACHIAN NORTH POOLING PO	95	P0020		605	0					
P	S8	TET - OAKFORD	95	40208		"13,786"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"26,021"	0					
D	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	53106352	N	GSS    	300005	10/1/1993	3/31/2023	 	N	0	"2,164,265"	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	TET - LEIDY	95	40206		0	"35,814"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"35,814"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"35,814"					
P	S9	TRANSCO - LEIDY	95	40301		0	"35,814"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"12,024"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"12,024"					
D	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	53106352	N	GSS    	300117	11/1/1998	3/31/2022	 	N	0	"1,500,000"	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"15,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"15,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"8,333"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"8,333"					
P	S8	TET - LEIDY	95	40206		0	"8,333"					
P	S8	TRANSCO - LEIDY	95	40301		0	"8,333"					
D	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	53106352	N	GSS    	300118	11/1/1998	3/31/2022	 	N	0	"3,500,000"	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	WR	DETI STRG SERVICE-N.SUMMIT(SS)	95	10003		0	"35,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"35,000"					
P	S9	TET - NORTH SUMMIT	95	40217		0	"35,000"					
P	S8	TET - NORTH SUMMIT	95	40217		0	"19,444"					
P	IJ	DETI STRG SERVICE-N.SUMMIT(SS)	95	10003		0	"19,444"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"19,444"					
D	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	53106352	N	GSS    	300174	4/1/2007	3/31/2022	 	N	0	"6,000,000"	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"100,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"100,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"33,334"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"33,334"					
D	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	53106352	N	GSSTE  	600001	10/1/1993	3/31/2011	365	N	0	"1,442,776"	yc1
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"15,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"15,000"					
P	S8	TRANSCO - LEIDY	95	40301		0	"8,015"					
P	S8	TET - WOODSFIELD	95	40213		0	"8,015"					
P	S8	TET - WAYNESBURG	95	40215		0	"8,015"					
P	S8	TET - ROCKWOOD	95	40211		0	"8,015"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"8,015"					
P	S8	TET - OAKFORD	95	40208		0	"8,015"					
P	S8	TET - MULLETT	95	40207		0	"8,015"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"8,015"					
P	S8	TET - LEIDY	95	40206		0	"8,015"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - LEIDY	95	40206		0	"7,112"					
P	S9	TET - OAKFORD	95	40208		0	"15,000"					
P	S9	TRANSCO - LEIDY	95	40301		0	"7,112"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"8,015"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"8,015"					
P	S8	IROQ - CANAJ (BROOKMANS CORNER)	95	41101		0	0					
P	S8	TET - CRAYNE FARM	95	40218		0	"8,015"					
D	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	53106352	N	FTGSS  	700052	11/1/1998	3/31/2022	 	N	"15,000"	0	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		"15,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"15,000"	0					
D	KEYSPAN GAS EAST CORPORATION DBA NATIONAL GRID	53106352	N	FTGSS  	700090	11/1/2007	3/31/2022	 	N	"100,000"	0	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S8	DETI STRG POINT (ST)	95	10002		"100,000"	0					
P	S9	TRANSCO - LEIDY	95	40301		"100,000"	0					
D	LIBERTY UTILITIES (ENERGYNORTH NATURAL GAS) CORP	830408873	N	GSS    	300076	4/1/1980	3/31/2021	 	N	0	"102,700"	
P	S9	DETI STRG POINT (ST)	95	10002		0	934					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	934					
P	S9	TGP - ELLISBURG	95	40107		0	934					
P	S8	DETI STRG POINT (ST)	95	10002		0	571					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	571					
P	S8	TGP - ELLISBURG	95	40107		0	571					
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY	43085850	N	FT     	5D0529      	12/20/2013	3/31/2017	365	N	77	0	
P	S8	DETI STRG POINT (ST)	95	10002		77	0					
P	S9	TRANSCO - LEIDY	95	40301		77	0					
P	S9	TET - LEIDY	95	40206		77	0					
P	S9	DETI STRG POINT (ST)	95	10002		77	0					
P	S8	TET - OAKFORD	95	40208		77	0					
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY	43085850	N	GSSTE  	600048	12/20/2013	3/31/2016	365	N	0	"9,265"	
A	DIRECT ENERGY BUSINESS MARKETING LLC	N										
P	S8	DETI STRG POINT (ST)	95	10002		0	51					
P	S9	TRANSCO - LEIDY	95	40301		0	100					
P	S9	TET - LEIDY	95	40206		0	100					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	100					
P	S9	DETI STRG POINT (ST)	95	10002		0	100					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	51					
P	S8	TET - OAKFORD	95	40208		0	51					
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY	43085850	N	GSSTE  	600049	12/20/2013	3/31/2016	365	N	0	"283,088"	yc1
A	DIRECT ENERGY BUSINESS MARKETING LLC	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"2,950"					
P	S8	TRANSCO - LEIDY	95	40301		0	"1,573"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - OAKFORD	95	40208		0	"2,950"					
P	S9	TET - RAGER MOUNTAIN	95	40210		0	0					
P	S8	DETI STRG POINT (ST)	95	10002		0	"1,573"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"1,573"					
P	S8	TET - LEIDY	95	40206		0	"1,573"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"1,573"					
P	S8	TET - MULLETT	95	40207		0	"1,573"					
P	S8	TET - OAKFORD	95	40208		0	"1,573"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"1,573"					
P	S8	TET - ROCKWOOD	95	40211		0	"1,573"					
P	S8	TET - WAYNESBURG	95	40215		0	"1,573"					
P	S8	TET - WOODSFIELD	95	40213		0	"1,573"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"2,950"					
D	LIVINGSTON GAS SYSTEM	78228491	N	GSS    	300039	11/1/1993	3/31/2021	 	N	0	"17,415"	
A	CENTERPOINT ENERGY SERVICES INC.	N										
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	97					
P	S8	DETI STRG POINT (ST)	95	10002		0	97					
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		0	285					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	285					
P	S9	DETI STRG POINT (ST)	95	10002		0	285					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		0	97					
D	LOUDON UTILITIES-GAS DEPARTMENT	84048800	N	GSS    	300040	11/1/1993	3/31/2021	 	N	0	"25,429"	
A	CENTERPOINT ENERGY SERVICES INC.	N										
P	WR	DETI STRG SERVICE (SS)	95	10001		0	416					
P	S9	DETI STRG POINT (ST)	95	10002		0	416					
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		0	416					
P	S8	DETI STRG POINT (ST)	95	10002		0	141					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	141					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		0	141					
D	MATTAWOMAN ENERGY LLC	80161844	N	FT     	200708	10/1/2017	9/30/2037	 	Y	"55,000"	0	
A	"SOUTH JERSEY RESOURCES GROUP, LLC"	N										
P	S8	TRANSCO - LEIDY	95	40301		"55,000"	0					
P	S9	DETI - LOUDOUN	95	40704		"55,000"	0					
D	"MERRILL LYNCH COMMODITIES, INC."	160352865	N	FT     	200524	11/1/2007	10/31/2020	 	N	"20,000"	0	
P	S9	TET - LEIDY	95	40206		"20,000"	0					
P	S9	TRANSCO - LEIDY	95	40301		"20,000"	0					
P	S8	ROCKIES EXPRESS - CLARINGTON	95	40411		"20,000"	0					
D	MORGAN STANLEY CAPITAL GROUP	130198013	N	FT     	5E2260      	12/1/2017	10/31/2020	 	N	"20,000"	0	
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		"20,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"20,000"	0					
D	MORGAN STANLEY CAPITAL GROUP	130198013	N	FT     	5E2261      	12/1/2017	3/31/2019	 	N	"40,000"	0	
P	S9	TGP - ELLISBURG	95	40107		"20,000"	0					
P	S9	TGP - HARRISON	95	40109		"20,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"40,000"	0					
D	NATIONAL FUEL GAS DISTRIBUTION CORPORATION	6976666	N	FT     	100014	10/1/1993	3/31/2022	 	N	"25,000"	0	
P	S9	DONOVAN	95	20903		"1,979"	0					
P	S8	TGP - PETERSBURG	95	40116		"15,000"	0					
P	S8	TET - OAKFORD	95	40208		"10,000"	0					
P	S9	WYOMING	95	20908		"11,000"	0					
P	S9	WILCOX	95	20912		250	0					
P	S9	WEST WELLSVILLE	95	20907		"6,200"	0					
P	S9	SILVER SPRINGS (GENESEE FALLS)	95	20906		"1,500"	0					
P	S9	SANFORD	95	20913		"1,000"	0					
P	S9	ANGELICA	95	20909		"1,180"	0					
P	S9	CALEDONIA(BARKS ROAD)	95	20902		"4,300"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"25,000"	0					
P	S9	JOHNSONBURG (NATIONAL FUEL)	95	20911		250	0					
P	S9	NATL FUEL - (NIPS)	95	41202		"15,000"	0					
P	S9	NORTH BELMONT	95	20910		650	0					
D	NATIONAL FUEL GAS DISTRIBUTION CORPORATION	6976666	N	FT     	200712	11/1/2016	3/31/2019	 	N	"14,000"	0	
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"14,000"	0					
P	S9	NATL FUEL - (NIPS)	95	41202		"14,000"	0					
D	NATIONAL FUEL GAS DISTRIBUTION CORPORATION	6976666	N	GSS    	300064	10/1/1993	3/31/2022	 	N	0	"4,160,000"	
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"80,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"23,111"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"23,111"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"80,000"					
D	NATIONAL FUEL GAS DISTRIBUTION CORPORATION	6976666	N	FTGSS  	700085	1/1/2004	3/31/2022	 	N	"80,000"	0	
P	S9	NATL FUEL - (NIPS)	95	41202		"30,000"	0					
P	S9	JOHNSONBURG (NATIONAL FUEL)	95	20911		50	0					
P	S9	DONOVAN	95	20903		"2,579"	0					
P	S9	CALEDONIA(BARKS ROAD)	95	20902		"1,500"	0					
P	S9	ANGELICA	95	20909		"1,320"	0					
P	S9	NORTH BELMONT	95	20910		490	0					
P	S8	DETI STRG POINT (ST)	95	10002		"80,000"	0					
P	S9	WYOMING	95	20908		"6,480"	0					
P	S9	WILCOX	95	20912		210	0					
P	S9	WEST WELLSVILLE	95	20907		"1,800"	0					
P	S9	SILVER SPRINGS (GENESEE FALLS)	95	20906		"1,000"	0					
P	S9	SANFORD	95	20913		"6,000"	0					
P	S9	PORTERVILLE	95	20905		"74,530"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200369	8/1/2003	3/31/2023	 	N	"1,400"	0	
P	S8	ANR - LEBANON	95	40401		"1,400"	0					
P	S9	COMFORT ROAD	95	20726		"1,000"	0					
P	S9	CALEDONIA	95	20602		400	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"1,400"	0					
P	S8	TXG - LEBANON	95	40601		"1,400"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"1,400"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200439	11/1/2004	3/31/2021	 	N	"2,500"	0	
P	S9	BIDDLECUM ROAD	95	20504		500	0					
P	S8	TET - OAKFORD	95	40208		"2,500"	0					
P	S9	CALEDONIA	95	20602		"2,000"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200472	11/1/2005	3/31/2021	 	N	700	0	
P	S8	TET - OAKFORD	95	40208		700	0					
P	S9	CALEDONIA	95	20602		700	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200484	5/1/2006	4/30/2023	 	N	"5,000"	0	
P	S9	GARDNER	95	20712		"3,000"	0					
P	S9	THERM CITY 1	95	20515		"2,000"	0					
P	S8	EMPIRE - LYSANDER	95	40801		"5,000"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200532	1/1/2008	3/31/2023	 	N	"1,000"	0	
P	S9	CALEDONIA	95	20602		"1,000"	0					
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"1,000"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200570	2/1/2011	3/31/2021	 	N	480	0	
P	S9	EAST ITHACA	95	20710		480	0					
P	S8	IROQ - CANAJ (BROOKMANS CORNER)	95	41101		480	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200625	4/1/2013	3/31/2034	 	N	"2,070"	0	
P	S9	GARDNER	95	20712		"1,500"	0					
P	S9	THERM CITY 1	95	20515		570	0					
P	S8	TGP - ELLISBURG	95	40107		"2,070"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200628	6/1/2013	3/31/2022	 	N	"2,500"	0	
P	S9	THERM CITY 1	95	20515		"2,500"	0					
P	S8	TET - OAKFORD	95	40208		"2,500"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200629	6/1/2013	3/31/2022	 	N	"3,600"	0	
P	S9	CALEDONIA	95	20602		"3,600"	0					
P	S8	TET - OAKFORD	95	40208		"3,600"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200658	4/1/2014	4/30/2022	 	N	"6,000"	0	
P	S9	DONOVAN	95	20903		"1,500"	0					
P	S9	ANGELICA	95	20909		"1,500"	0					
P	S9	NORTH BELMONT	95	20910		"1,500"	0					
P	S8	TGP - ELLISBURG	95	40107		"6,000"	0					
P	S9	WEST WELLSVILLE	95	20907		"1,500"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200699	11/1/2016	4/1/2029	 	N	800	0	
P	S9	BIDDLECUM ROAD	95	20504		800	0					
P	S8	TGP - ELLISBURG	95	40107		800	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200723	4/1/2017	3/31/2023	 	N	"2,000"	0	
P	S9	THERM CITY 1	95	20515		"2,000"	0					
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"2,000"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200731	11/1/2017	3/31/2024	 	N	"1,300"	0	
P	S9	BIG FLATS	95	20703		"1,300"	0					
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"1,300"	0					
D	"NATIONAL FUEL RESOURCES, INC"	794898775	N	FT     	200733	1/1/2018	3/31/2026	 	N	"1,700"	0	
P	S9	BIG FLATS	95	20703		"1,700"	0					
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"1,700"	0					
D	NATIONAL GAS & OIL COOPERATIVE	7903784	N	FT     	200404	11/1/2004	10/31/2028	 	N	"4,500"	0	
P	S8	TET - OAKFORD	95	40208		"4,500"	0					
P	S9	LIBERTY INTERCONNECT	95	21503		"4,500"	0					
P	S9	NEW ZANE	95	21502		"2,500"	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FTNN   	100034	10/1/1993	3/31/2023	 	N	"40,000"	0	
P	S8	TXG - LEBANON	95	40601		"10,942"	0					
P	S8	TET - OAKFORD	95	40208		"7,483"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"10,942"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"10,942"	0					
P	S8	ROCKIES EXPRESS - CLARINGTON	95	40411		"1,575"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"40,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"40,000"	0					
P	S8	ANR - LEBANON	95	40401		"10,942"	0					
P	S9	TRANSCO - LEIDY	95	40301		"18,065"	0					
P	S9	TET - LEIDY	95	40206		"18,065"	0					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		"21,935"	0					
P	S8	PITTSBURGH MILLS (TL-469)	95	EB410		"20,000"	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT     	200583	11/1/2011	3/31/2023	 	N	"10,000"	0	
P	S8	TET - OAKFORD	95	40208		"10,000"	0					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		"10,000"	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	GSS    	300069	10/1/1993	3/31/2023	 	N	0	"1,545,251"	
P	S9	TRANSCO - LEIDY	95	40301		0	"22,803"					
P	S9	TET - LEIDY	95	40206		0	"22,803"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	"22,803"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"22,803"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"22,803"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"8,585"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"8,585"					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	GSS    	300119	11/1/1998	3/31/2020	 	N	0	"500,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"5,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"5,000"					
P	S8	TET - LEIDY	95	40206		0	"2,778"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"2,778"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"2,778"					
P	S8	TRANSCO - LEIDY	95	40301		0	"2,778"					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	GSS    	300120	11/1/1998	3/31/2020	 	N	0	"3,000,000"	yc1
P	S9	DETI STRG POINT (ST)	95	10002		0	"30,000"					
P	WR	DETI STRG SERVICE-N.SUMMIT(SS)	95	10003		0	"30,000"					
P	S8	TET - NORTH SUMMIT	95	40217		0	"16,667"					
P	IJ	DETI STRG SERVICE-N.SUMMIT(SS)	95	10003		0	"16,667"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"16,667"					
P	S9	TET - OAKFORD	95	40208		0	0					
P	S9	TET - NORTH SUMMIT	95	40217		0	"30,000"					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	GSS    	300194	8/1/2013	3/31/2020	 	N	0	"1,750,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"25,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"9,722"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"25,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"9,722"					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	GSS    	300215	6/1/2017	3/31/2021	 	N	0	"1,568,533"	
P	S8	DETI STRG POINT (ST)	95	10002		0	"8,714"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"26,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"26,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"8,714"					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	GSS    	300217	4/1/2018	3/31/2024	 	N	0	"2,950,000"	
P	S8	DETI STRG POINT (ST)	95	10002		0	"16,389"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"16,389"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"53,500"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"53,500"					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	GSSTE  	600031	10/1/1993	3/31/2011	365	N	0	"4,353,382"	yc1
P	S9	DETI STRG POINT (ST)	95	10002		0	"45,911"					
P	S8	TRANSCO - LEIDY	95	40301		0	"24,185"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - LEIDY	95	40206		0	"4,599"					
P	S9	TET - OAKFORD	95	40208		0	"45,911"					
P	S9	TRANSCO - LEIDY	95	40301		0	"4,599"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"24,185"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"24,185"					
P	S8	TET - LEIDY	95	40206		0	"24,185"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"24,185"					
P	S8	TET - MULLETT	95	40207		0	"24,185"					
P	S8	TET - OAKFORD	95	40208		0	"24,185"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"24,185"					
P	S8	TET - ROCKWOOD	95	40211		0	"24,185"					
P	S8	TET - WAYNESBURG	95	40215		0	"24,185"					
P	S8	TET - WOODSFIELD	95	40213		0	"24,185"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"45,911"					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FTGSS  	700053	11/1/1998	3/31/2020	 	N	"5,000"	0	
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		"5,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"5,000"	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FTGSS  	700098	8/1/2013	3/31/2020	 	N	"25,000"	0	
P	S8	DETI STRG POINT (ST)	95	10002		"25,000"	0					
P	S9	TET - OAKFORD	95	40208		"25,000"	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FTGSS  	700109	6/1/2017	3/31/2021	 	N	"26,000"	0	
P	S8	DETI STRG POINT (ST)	95	10002		"26,000"	0					
P	S9	TET - OAKFORD	95	40208		"26,000"	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FTGSS  	700111	4/1/2018	3/31/2024	 	N	"53,500"	0	
P	S9	TET - OAKFORD	95	40208		"53,500"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"53,500"	0					
D	NEW YORK STATE ELECTRIC & GAS	41866497	N	FTNN   	100036	10/1/1993	3/31/2022	 	N	"80,140"	0	
P	S9	MILLARD ROAD	95	20717		"17,977"	0					
P	S9	NEWFIELD	95	20728		473	0					
P	S9	OLD SENECA TURNPIKE	95	20730		710	0					
P	S9	SOUTH CORTLAND	95	20718		"6,150"	0					
P	S9	TALISMAN ENERGY USA - YAWGER RD	95	EB030		"40,000"	0					
P	S9	WATERVILLE	95	20727		615	0					
P	S9	WHISKEY CREEK	95	21004		"1,827"	0					
P	S8	ANR - LEBANON	95	40401		"15,055"	0					
P	S8	ARLINGTON STORAGE - RECEIPTS	95	20721		"10,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"80,140"	0					
P	S8	POD 20 APPALACHIAN NORTH POOLING PO	95	P0020		996	0					
P	S8	ROCKIES EXPRESS - CLARINGTON	95	40411		"8,000"	0					
