H	"ENABLE GAS TRANSMISSION, LLC"	C000544	4/2/2018	O	4/1/2018	T	T	P. Shupe        (346)701-2124				
D	SPIRE MISSOURI INC	6967798	N	FT	1002576	11/1/2000	10/31/2019		N	40000	0	
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	10000	0	YM2				
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	30000	0	YM2				
P	M2	EGG MCCLURE IC	95	301104	WEST POOLING AREA 1	10000	0					
P	M2	EOIT CADDO RECEIPT	95	302015	WEST POOLING AREA 1	20000	0					
P	M2	WEX IC	95	303077	WEST POOLING AREA 2	10000	0					
P	MQ	TGC RICH CORE DEL	95	801535	SOUTH POOLING AREA	40000	0					
D	SPIRE MISSOURI INC	6967798	N	FT	1004023	11/1/2004	10/31/2018		N	45000	0	
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	27500	0	YM2				
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	17500	0	YM2				
P	M2	BP ENERGY RED OAK IC	95	803784	NEUTRAL POOLING AREA	10000	0					
P	M2	SOUTHERN STAR @ JANE RE	95	805091	NORTH POOLING AREA	17500	0					
P	M2	BP F&H IC	95	886975	NEUTRAL POOLING AREA	17500	0					
P	MQ	"MRT @ GLENDALE, AR DEL"	95	801521	SOUTH POOLING AREA	45000	0					
D	SPIRE MISSOURI INC	6967798	N	FT	1004064	11/1/2005	10/31/2019		N	20000	0	
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	20000	0	YM2				
P	M2	EGG MCCLURE IC	95	301104	WEST POOLING AREA 1	20000	0					
P	MQ	"MRT @ GLENDALE, AR DEL"	95	801521	SOUTH POOLING AREA	20000	0					
D	SPIRE MISSOURI INC	6967798	N	FT	1005866	11/1/2007	10/31/2016	365	N	30000	0	
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	4000	0	YM2				
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	24000	0	YM2				
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	2000	0	YM2				
P	M2	OLYPHANT MRT TO CEGT RE	95	804602	NORTH POOLING AREA	2000	0					
P	M2	MARKWEST GATHERING SYS	95	810004	NEUTRAL POOLING AREA	28000	0					
P	MQ	"MRT @ GLENDALE, AR DEL"	95	801521	SOUTH POOLING AREA	26000	0					
P	MQ	SOUTHERN STAR @ JANE	95	801539	NORTH POOLING AREA	4000	0					
D	ST ANTHONYS HOSPITAL ASSOCIATION	58282666	N	FT	1008282	10/1/2010	3/31/2012	365	N	53	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	53	0					
P	MQ	ST ANTHONYS HOSP ACCT	95	14892	NORTH POOLING AREA	53	0	YI3/YK3				
D	ST BERNARDS COMMUNITY HOSPITAL CORPORATION DBA CROSSRIDGE COMMUNITY HOSPITA	801688458	N	FT	1009169	2/1/2012	1/31/2019		N	55	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	55	0					
P	MQ	ST BERNARDS COMM HOS AC	95	15214	NORTH POOLING AREA	55	0	YI3/YK3				
D	ST BERNARDS REGIONAL MEDICAL CENTER	73555146	N	FT	1001215	11/1/1993	3/31/2012	365	N	550	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	550	0					
P	MQ	ST BERNARD REG MED ACCT	95	11441	NORTH POOLING AREA	550	0	YI3/YK3				
D	ST BERNARDS REGIONAL MEDICAL CENTER	73555146	N	FT	1009326	5/1/2012	3/31/2019		N	21	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	21	0					
P	MQ	ST. BERNARDS REG ACCT	95	15273	NORTH POOLING AREA	21	0	YI3/YK3				
D	ST JOSEPH'S MERCY HEALTH CENTER	71256218	N	FT	1008129	8/1/2010	3/31/2012	365	N	300	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	300	0					
P	MQ	ST JOSEPH MER HLTH ACCT	95	11428	NORTH POOLING AREA	300	0	YI3/YK3				
D	ST MARY'S REGIONAL MEDICAL CENTER	794367607	N	FT	1002754	12/1/2000	3/31/2002	365	N	106	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	106	0					
P	MQ	ST MARY REG MED CTR-ACC	95	12450	NORTH POOLING AREA	106	0	YI3/YK3				
D	ST VINCENT HEALTH SYSTEM - ST VINCENT INFIRMARY MEDICAL CENTER	67678417	N	FT	1003102	7/1/2002	12/31/2006	365	N	786	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	786	0					
P	MQ	ST VINCENT INFRMRY-ACCT	95	11346	NORTH POOLING AREA	786	0	YI3/YK3				
D	ST VINCENT HEALTH SYSTEM - ST VINCENT SHERWOOD	612508338	N	FT	1003104	7/1/2002	12/31/2006	365	N	100	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	100	0					
P	MQ	ST VINCENT SHERWOOD-ACC	95	13159	NORTH POOLING AREA	100	0	YI3/YK3				
D	STATESIDE STEEL AND WIRE LLC	789028714	N	FT	1008492	1/1/2011	3/31/2012	365	N	91	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	91	0	YM2				
P	M2	TGT @ W MEMPHIS IC	95	2017	NORTH POOLING AREA	91	0					
P	MQ	STATESIDE STEEL ACCT	95	14809	NORTH POOLING AREA	91	0	YI3/YK3				
D	STEEL FORGINGS INC	8052870	N	FT	1004561	8/1/2005	7/31/2006	365	N	200	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	200	0					
P	MQ	STEEL FORGINGS-ACCT	95	11527	SOUTH POOLING AREA	200	0	YI3/YK3				
D	STELLA-JONES CORPORATION	53746749	N	FT	1009042	11/1/2011	3/31/2016	365	N	198	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	198	0					
P	MQ	STELLA-JONES ACCT	95	15143	NORTH POOLING AREA	198	0	YI3/YK3				
D	STEPHENS PAPER COMPANY LLC	12067027	N	FT	1004328	4/1/2005	3/31/2019		N	70	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	70	0					
P	MQ	STEPHENS PAPER CO ACCT	95	13175	SOUTH POOLING AREA	70	0	YI3/YK3				
D	STOWE WOODWARD LLC	787688787	N	FT	1007512	12/1/2009	3/31/2016	365	N	65	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	65	0					
P	MQ	STOWE WOODWARD LLC ACCT	95	14522	SOUTH POOLING AREA	65	0	YI3/YK3				
D	"STUTTGART PROPERTIES, LP"	80493761	N	FT	1011195	11/1/2017	12/31/2018		N	27	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	27	0					
P	MQ	WHISKEY RIDGE INVES ACC	95	15197	NORTH POOLING AREA	27	0	YI3/YK3				
D	SUN GRO HORTICULTURE PROCESSING INC	105752823	N	FT	1008483	1/1/2011	3/31/2012	365	N	127	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	127	0					
P	MQ	SUN GRO HORTICULTU ACCT	95	14789	NORTH POOLING AREA	127	0	YI3/YK3				
D	SUNRISE SHREV INC	80052441	N	FT	1010767	3/1/2016	3/31/2019		N	70	0	
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	70	0					
P	MQ	SUNRISE SHREV INC ACCT	95	14711	SOUTH POOLING AREA	70	0	YI3/YK3				
D	SUPERIOR TIE AND TIMBER A SUBSIDIARY OF KANSAS CITY SOUTHERN	6965859	N	FT	1007353	10/1/2009	3/31/2012	365	N	212	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	212	0	YM2				
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	212	0					
P	MQ	SUPERIOR TIE AND TIM AC	95	14570	SOUTH POOLING AREA	212	0	YI3/YK3				
D	"SWN PRODUCTION (ARKANSAS), LLC"	52165268	N	FT	1008558	1/1/2011	3/31/2018	365	N	350	0	
A	SWN ENERGY SERVICES COMPANY LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	350	0					
P	MQ	DESOTO SAND LLC ACCT	95	14473	NORTH POOLING AREA	350	0	YI3/YK3				
D	T & G CONSTRUCTION INC	56941487	N	FT	1001470	3/1/1995	2/29/1996	365	N	50	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	50	0					
P	MQ	T & G CONSTRUCTION_ACCT	95	12039	WEST POOLING AREA 2	50	0	YI3/YK3				
D	TABER EXTRUSIONS LP	65304495	N	FT	1001334	7/1/1994	3/31/2007	365	N	400	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	400	0					
P	MQ	TABER METALS_ACCT	95	11466	NORTH POOLING AREA	400	0	YI3/YK3				
D	TARCO INC	89245641	N	FT	1008498	1/1/2011	3/31/2012	365	N	135	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	135	0					
P	MQ	TARCO INC ACCT	95	13525	NORTH POOLING AREA	135	0	YI3/YK3				
D	TB LITTLE ROCK LLC DBA DOUBLETREE	801969937	N	FT	1006622	10/1/2008	3/31/2012	365	N	147	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	147	0					
P	MQ	DOUBLETREE TB LR ACCT	95	13886	NORTH POOLING AREA	147	0	YI3/YK3				
D	"TECHNO, INC. DBA MOOSE CLEANERS"	802998203	N	FT	1010941	10/1/2016	9/30/2017	365	N	15	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	15	0					
P	MQ	MOOSE CLEANERS ACCT	95	18351	NORTH POOLING AREA	15	0	YI3/YK3				
D	TEMPLE BAPTIST CHURCH OF RUSTON LOUISIANA INC	20598116	N	FT	1009564	10/1/2012	3/31/2016	365	N	61	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	61	0					
P	MQ	TEMPLE BAPTIST ACCT	95	15458	SOUTH POOLING AREA	61	0	YI3/YK3				
D	TENASKA MARKETING VENTURES	624240628	N	FT	1011247	4/1/2018	3/31/2020		N	50000	0	
P	M2	LINE CP POINTS AND POOLS			LINE CP POINTS AND P	50000	0	YM2				
P	M2	ETC/HPL TO CP	95	822000	LINE CP POINTS AND P	50000	0					
P	MQ	SESH 42 HEADER DEL	95	898400	LINE CP POOLING AREA	50000	0					
D	TENNECO AUTOMOTIVE OPERATING COMPANY INC.	5036900	N	FT	1010917	9/1/2016	12/31/2017	365	N	600	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	600	0					
P	MQ	TENNECO AUTO ACCT	95	11481	NORTH POOLING AREA	600	0	YI3/YK3				
D	TERNIUM USA INC.	808554211	N	FT	1004601	3/1/2006	2/28/2026		Y	1600	0	
A	SUMMIT ENERGY SERVICES INC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1600	0	YM2				
P	M2	PORT DEHY CTP	95	14982	SOUTH POOLING AREA	1600	0					
P	MQ	TERNIUM USA INC. DEL	95	35810	SOUTH POOLING AREA	1600	0					
D	TETRA TECHNOLOGIES INC	24443327	N	FT	1006658	9/1/2009	8/31/2019		N	4000	0	
A	SUMMIT ENERGY SERVICES INC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	4000	0					
P	MQ	TETRA TECHNOLOGIES_INC	95	898600	SOUTH POOLING AREA	4000	0					
D	TEXANA TANK CAR & MANUFACTURING LTD	43195221	N	FT	1008041	7/1/2010	3/31/2012	365	N	77	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	77	0					
P	MQ	TEXANA TANK CAR ACCT	95	14810	SOUTH POOLING AREA	77	0	YI3/YK3				
D	TEXANA TANK CAR & MANUFACTURING LTD	43195221	N	FT	1010455	3/1/2015	2/28/2019		N	62	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	62	0					
P	MQ	TEXANA TANK CAR 2 ACCT	95	15854	SOUTH POOLING AREA	62	0	YI3/YK3				
D	TEXAS A&M UNIVERSITY-TEXARKANA	42915991	N	FT	1008208	9/1/2010	3/31/2015	365	N	77	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	77	0					
P	MQ	TEXAS A&M UNIV ACCT	95	14836	SOUTH POOLING AREA	77	0	YI3/YK3				
D	TEXAS GENERAL LAND OFFICE	198207201	N	FT	1001753	4/1/1996	3/31/1997	365	N	200	0	
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	200	0	YM2				
P	M2	ATMOS @ WOOD COUNTY	95	2058	SOUTH POOLING AREA	200	0					
P	MQ	TEXAS DOC-ACCT NEW BOST	95	12047	SOUTH POOLING AREA	200	0	YI3/YK3				
D	THE ARC OF CADDO-BOSSIER	62923453	N	FT	1009673	2/1/2013	3/31/2016	365	N	24	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	24	0					
P	MQ	THE ARC OF CB ACCT	95	15500	SOUTH POOLING AREA	24	0	YI3/YK3				
D	THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ARKANSAS ACTING FOR AND ON BEHAL	835442864	N	FT	1004294	4/1/2005	3/31/2006	365	N	140	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	140	0					
P	MQ	AR SCHOOL FOR MATH-ACCT	95	13308	NORTH POOLING AREA	140	0	YI3/YK3				
D	THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ARKANSAS ACTING FOR AND ON BEHAL	835442864	N	FT	1010736	1/1/2016	3/31/2019		N	23	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	23	0					
P	MQ	AR SCHOOL-MATH #2 ACCT	95	16023	NORTH POOLING AREA	23	0	YI3/YK3				
D	THE BRYCE COMPANY LLC	50241371	N	FT	1004281	4/1/2005	3/31/2013	365	N	525	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	525	0					
P	MQ	BRYCE CORPORATION ACCT	95	13178	NORTH POOLING AREA	525	0	YI3/YK3				
D	THE BRYCE COMPANY LLC	50241371	N	FT	1009120	1/1/2012	3/31/2019		N	95	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	95	0					
P	MQ	BRYCE COMPANY #2 ACCT	95	15193	NORTH POOLING AREA	95	0	YI3/YK3				
D	THE CAPITAL HOTEL JOINT VENTURE	187971924	N	FT	1008295	10/1/2010	3/31/2012	365	N	110	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	110	0					
P	MQ	CAPITAL HOTEL JOINT ACC	95	14894	NORTH POOLING AREA	110	0	YI3/YK3				
D	THE GEO GROUP INC	612706465	N	FT	1007322	9/1/2009	3/31/2012	365	N	379	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	379	0					
P	MQ	LAWTON CORRECTIONAL ACC	95	14493	WEST POOLING AREA 2	379	0	YI3/YK3				
D	THE GOODYEAR TIRE & RUBBER COMPANY	4467924	N	FT	1001645	12/1/1995	11/30/2014	365	N	3300	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	3300	0					
P	MQ	GOODYEAR TIRE ACCT	95	11408	WEST POOLING AREA 2	3300	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1009070	12/1/2011	10/31/2018		N	20	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	20	0					
P	MQ	KROGER CO RODNEY P ACCT	95	15176	NORTH POOLING AREA	20	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1009121	1/1/2012	10/31/2018		N	44	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	44	0					
P	MQ	KROGER CO W MARKHAM ACC	95	15179	NORTH POOLING AREA	44	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1009122	1/1/2012	10/31/2018		N	32	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	32	0					
P	MQ	KROGER CO MILITARY ACCT	95	15178	NORTH POOLING AREA	32	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1009123	1/1/2012	10/31/2018		N	42	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	42	0					
P	MQ	KROGER CO MCCAIN B ACCT	95	15177	NORTH POOLING AREA	42	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1009928	9/1/2013	10/31/2018		N	18	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	18	0					
P	MQ	KROGER HOT SPRINGS ACCT	95	15587	NORTH POOLING AREA	18	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1010179	4/1/2014	10/31/2018		N	22	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	22	0					
P	MQ	KROGER CO COMMERCE ACC	95	15717	NORTH POOLING AREA	22	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1010180	4/1/2014	10/31/2018		N	32	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	32	0					
P	MQ	KROGER CO SALEM ACC	95	15719	NORTH POOLING AREA	32	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1010181	4/1/2014	10/31/2018		N	23	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	23	0					
P	MQ	KROGER CO JFK ACC	95	15718	NORTH POOLING AREA	23	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1010184	4/1/2014	10/31/2018		N	28	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	28	0					
P	MQ	KROGER CO CANTRELL AC	95	15715	NORTH POOLING AREA	28	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1010185	4/1/2014	10/31/2018		N	27	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	27	0					
P	MQ	KROGER CO CHENAL ACC	95	15716	NORTH POOLING AREA	27	0	YI3/YK3				
D	THE KROGER COMPANY	6999528	N	FT	1011099	11/1/2017	10/31/2018		N	20	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	20	0					
P	MQ	KROGER CO BENTON ACCT	95	18371	NORTH POOLING AREA	20	0	YI3/YK3				
D	THE STRONG COMPANY INC	86966830	N	FT	1008469	1/1/2011	3/31/2012	365	N	145	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	145	0					
P	MQ	THE STRONG CO INC ACCT	95	14502	NORTH POOLING AREA	145	0	YI3/YK3				
D	THE WATKINS COMPANY	40640856	N	FT	1007324	9/1/2009	3/31/2012	365	N	92	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	92	0					
P	MQ	THE WATKINS CO ACCT	95	14503	NORTH POOLING AREA	92	0	YI3/YK3				
D	THOMAS & BETTS CORPORATION	2154433	N	FT	1008803	5/1/2011	4/30/2019		N	600	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	600	0					
P	MQ	THOMAS AND BETTS ACCT	95	15048	NORTH POOLING AREA	600	0	YI3/YK3				
D	TITUS COUNTY MEMORIAL HOSPITAL DBA TITUS REGIONAL MEDICAL CENTER	73072670	N	FT	1007499	3/1/2010	2/29/2012	365	N	220	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	220	0	YM2				
P	M2	TGT PV CORE REC	95	12143	SOUTH POOLING AREA	220	0					
P	MQ	TITUS REG MED CTR ACCT	95	14525	SOUTH POOLING AREA	220	0	YI3/YK3				
D	TJ BLACKBURN SYRUP WORKS INC	8048068	N	FT	1009431	6/1/2012	3/31/2016	365	N	57	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	57	0					
P	MQ	TJ BLACKBURN SYRUP ACCT	95	15335	SOUTH POOLING AREA	57	0	YI3/YK3				
D	TOKUSEN U S A INC	608969002	N	FT	1001116	11/1/1993	3/31/2007	365	N	550	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	550	0					
P	MQ	TOKUSEN USA INC_ACCT	95	11349	NORTH POOLING AREA	550	0	YI3/YK3				
D	TOWN OF GRANITE	51068245	N	FT	1001401	7/1/1994	3/31/2019		N	500	0	
A	"BLUEMARK ENERGY, LLC"	N										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	500	0	YM2				
P	M2	ONEOK @ PANTHER CREEK	95	2078	WEST POOLING AREA 1	500	0					
P	MQ	CITY OF GRANITE	95	730808	WEST POOLING AREA 1	500	0					
D	TOWN OF WILLOW	51881969	N	FT	1001286	9/1/1993	12/31/2011	365	N	200	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	200	0					
P	MQ	CITY OF WILLOW OKLAHOMA	95	730802	WEST POOLING AREA 1	200	0					
D	TRANS LOUISIANA GAS PIPELINE INC	126445647	N	FT	1002215	7/1/1998	6/30/2018		N	20000	0	
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	20000	0					
P	MQ	PINE PIPELINE DEL	95	7401	SOUTH POOLING AREA	20000	0					
D	TRANS LOUISIANA GAS PIPELINE INC	126445647	N	FT	1006412	7/1/2008	6/30/2018		N	5000	0	
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	5000	0	YM2				
P	M2	CGT PV CORE REC	95	12057	SOUTH POOLING AREA	5000	0					
P	MQ	PINE PIPELINE DEL	95	7401	SOUTH POOLING AREA	5000	0					
D	TRANS LOUISIANA GAS PIPELINE INC	126445647	N	FT	1010877	11/1/2016	6/30/2018		Y	10000	0	
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	10000	0	YM2				
P	M2	CGT PV CORE REC	95	12057	SOUTH POOLING AREA	10000	0					
P	MQ	PINE PIPELINE DEL	95	7401	SOUTH POOLING AREA	10000	0					
D	TRICAT INC	837886266	N	FT	1007806	5/1/2010	3/31/2012	365	N	80	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	80	0					
P	MQ	TRICAT INC ACCT	95	14709	NEUTRAL POOLING AREA	80	0	YI3/YK3				
D	"TRILLIUM TRANSPORTATION FUELS, LLC"	284020008	N	FT	1011278	4/1/2018	4/30/2018		N	100	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	100	0					
P	MQ	LOVES WEST MEMPHIS ACCT	95	15728	NORTH POOLING AREA	100	0	YI3/YK3				
D	"TRINITYRAIL MAINTENANCE SERVICES, INC."	112807610	N	FT	1010400	1/1/2015	12/31/2015	365	N	284	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	284	0					
P	MQ	TRINITY RAIL PAINT ACCT	95	15803	NORTH POOLING AREA	284	0	YI3/YK3				
D	"TRINITYRAIL MAINTENANCE SERVICES, INC."	112807610	N	FT	1010401	1/1/2015	12/31/2015	365	N	251	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	251	0					
P	MQ	TRINITY RAIL DOME ACCT	95	15804	NORTH POOLING AREA	251	0	YI3/YK3				
D	TRIUMPH AIRBORNE STRUCTURES LLC	710781909	N	FT	1008933	8/1/2011	7/31/2018		N	47	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	47	0					
P	MQ	TRIUMPH AIRBORNE ACCT	95	15063	NORTH POOLING AREA	47	0	YI3/YK3				
D	TRIUMPH FABRICATIONS-HOT SPRINGS INC	10304475	N	FT	1002726	12/1/2000	3/31/2007	365	N	651	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	651	0					
P	MQ	TRIUMPH FAB ACCT	95	12838	NORTH POOLING AREA	651	0	YI3/YK3				
D	TRL INC DBA TRUCK CENTERS OF ARKANSAS	808153105	N	FT	1009171	2/1/2012	3/31/2019		N	56	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	56	0					
P	MQ	TRL INC DBA TRUCK ACCT	95	15212	NORTH POOLING AREA	56	0	YI3/YK3				
D	TRUSOUTH OIL LLC	785475968	N	FT	1007803	5/1/2010	3/31/2012	365	N	70	0	
