H	"Columbia Gas Transmission, LLC"	C000306          	4/2/2018	O	4/1/2018	T	T	Kay Dennison (832)320-5336	 			
D	"South Jersey Resources Group, LLC"	36474336	N       	FTS     	158093	11/1/2014	10/31/2024	 	N	6866		 
P	M2	MILFORD-21          	95	B18	TCO     	6866			 	 	 	 
P	MQ	ORANGE & ROCKLAND   	95	54	TCO     	6866			 	 	 	 
D	"South Jersey Resources Group, LLC"	36474336	N       	FTS     	161144	10/1/2015	9/30/2030	 	Y	50000		 
P	M2	MILFORD-21          	95	B18	TCO     	50000			 	 	 	 
P	MQ	West Deptford Energy Station	95	642577	TCO     	50000			 	 	 	 
D	"South Jersey Resources Group, LLC"	36474336	N       	FTS     	169245	11/1/2015	10/31/2019	 	Y	20000		 
P	M2	MILFORD-21          	95	B18	TCO     	20000			 	 	 	 
P	MQ	HANOVER             	95	R2	TCO     	20000			 	 	 	 
D	Southern Energy L.L.C.	79922374	N       	FTS     	169777	12/1/2015	10/31/2018	 	N	1000		 
P	M2	BEAVER CREEK-16     	95	H1	TCO     	1000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	1000			 	 	 	 
D	Southern Energy L.L.C.	79922374	N       	FTS     	176644	5/4/2016	4/30/2019	 	N	1000		 
P	M2	HI-HAT/EQUITABLE-16 	95	F3	TCO     	1000			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	1000			 	 	 	 
D	Southern Tier Transmission Corporation	927459925	N       	FTS     	90934	11/9/2006	3/31/2035	 	N	3000		 
A	Stand Energy Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	3000			 	 	 	 
P	MQ	WASHINGTON GAS-30   	95	78-30	TCO     	3000			 	 	 	 
D	"Spotlight Energy, LLC"	79978564	N       	FTS     	173417	2/1/2016	3/31/2019	 	N	1000		 
P	M2	Kanawha Sep. 19	95	CNR20	TCO     	1000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	1000			 	 	 	 
D	Sprague Operating Resources LLC	131362733	N       	FTS     	160437	1/1/2015	3/31/2019	 	N	1100		 
P	M2	TCO-LEACH	95	801	TCO     	1100			 	 	 	 
P	MQ	COL GAS PA 08-35    	95	25-35	TCO     	1100			 	 	 	 
D	Stalnaker Energy Corporation	SR 011321	N       	FTS     	10234	8/1/2009	3/31/2020	 	Y	300		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Energy Corporation of America	N       		 	 	 	 	 	 	 	 	 
A	"Greylock Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	EASTERN AMERICAN-BAILEY         	95	623089	TCO     	300			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	300			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	74865	4/1/2003	3/31/2021	 	N	1872		 
P	M2	DGP-Cassidy Mtn     	95	I1	TCO     	350			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1522			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	1872			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	93315	4/5/2007	3/31/2022	 	N	1500		 
P	M2	CARALINE/GAY STATION	95	838634	TCO     	1500			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	280			 	 	 	 
P	MQ	COL GAS OH OP-03    	95	22	TCO     	500			 	 	 	 
P	MQ	DAYTON-6            	95	33-6	TCO     	720			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	93432	6/15/2007	3/31/2022	 	N	1500		 
P	M2	CARALINE/GAY STATION	95	838634	TCO     	1500			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	0			 	 	 	 
P	MQ	COL GAS OH OP 07-3  	95	23-3	TCO     	400			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	100			 	 	 	 
P	MQ	WASHINGTON GAS-30   	95	78-30	TCO     	1000			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	94288	6/9/2007	3/31/2022	 	N	100		 
P	M2	CARALINE/GAY STATION	95	838634	TCO     	100			 	 	 	 
P	MQ	COL GAS OF KY 06-10 	95	18-10	TCO     	100			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	94299	6/12/2007	3/31/2022	 	N	300		 
P	M2	CARALINE/GAY STATION	95	838634	TCO     	300			 	 	 	 
P	MQ	COL GAS OF KY 06-10 	95	18-10	TCO     	300			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	94367	6/14/2007	3/31/2022	 	N	100		 
P	M2	CARALINE/GAY STATION	95	838634	TCO     	100			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	100			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	95523	9/1/2007	3/31/2021	 	N	900		 
P	M2	Caraline/Milton Meter Station	95	839126	TCO     	700			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	200			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	900			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	98025	5/1/2008	3/31/2028	 	N	750		 
P	M2	Vandalia	95	840254	TCO     	750			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	750			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	160394	4/1/2015	3/31/2019	 	N	18		 
P	M2	"Wm. L. Potts (Banfield, et al)"	95	616478R	TCO     	18			 	 	 	 
P	MQ	COL GAS PA 08-35    	95	25-35	TCO     	18			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	160395	4/1/2015	3/31/2019	 	N	18		 
P	M2	WL Potts-Brown	95	602530R	TCO     	18			 	 	 	 
P	MQ	COL GAS PA 08-35    	95	25-35	TCO     	18			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	171272	4/1/2016	3/31/2019	 	N	100		 
P	M2	TCO-LEACH	95	801	TCO     	100			 	 	 	 
P	MQ	COL GAS MD OP-4-25  	95	19E	TCO     	100			 	 	 	 
D	Stand Energy Corporation	121293039	N       	SST     	171301	4/1/2016	12/31/2018	 	N	1000		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	1000			 	 	 	 
P	MQ	Corning Line R	95	640197	TCO     	1000			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FSS     	171302	4/1/2016	12/31/2018	 	N		114000	 
D	Stand Energy Corporation	121293039	N       	FTS     	171305	4/1/2016	3/31/2019	 	N	600		 
P	M2	TCO-LEACH	95	801	TCO     	600			 	 	 	 
P	MQ	MOUNTAINEER 3-17    	95	27-17	TCO     	600			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	176692	5/10/2016	3/31/2020	 	N	2200		 
P	M2	Spencer H Line Sales	95	842446	TCO     	2200			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	2200			 	 	 	 
D	Stand Energy Corporation	121293039	N       	OPT30   	176893	10/1/2016	3/31/2019	 	N	900		 
P	M2	BEAVER CREEK-16     	95	H1	TCO     	900			 	 	 	 
P	MQ	NYSEG OP-02         	95	21	TCO     	900			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	177878	11/1/2016	10/31/2018	 	N	200		 
P	M2	DELTA LAUREL VALLEY             	95	819288	TCO     	200			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	200			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	178745	8/1/2016	3/31/2021	 	N	2770		 
P	M2	MTN GATHERING-HOMER CITY         	95	637095	TCO     	30			 	 	 	 
P	M2	OLANTA #1                 	95	632810	TCO     	900			 	 	 	 
P	M2	Pine Glen              	95	636978	TCO     	500			 	 	 	 
P	M2	PINETON       	95	635276	TCO     	150			 	 	 	 
P	M2	STRONG         	95	628375	TCO     	750			 	 	 	 
P	M2	Wandin-Cherry Hill	95	622217	TCO     	440			 	 	 	 
P	MQ	YNG WOMANS CK-RENOVO	95	E9	TCO     	2770			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FSS     	179828	1/1/2017	12/31/2022	 	N		245000	 
D	Stand Energy Corporation	121293039	N       	FTS     	183521	4/1/2017	3/31/2021	 	N	200		 
P	M2	Ardent - 1711	95	629143	TCO     	200			 	 	 	 
P	MQ	COL GAS PA 08-35    	95	25-35	TCO     	150			 	 	 	 
P	MQ	MOUNTAINEER 08-35   	95	29-35	TCO     	50			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FSS     	183523	4/1/2017	3/31/2019	 	N		11400	 
D	Stand Energy Corporation	121293039	N       	SST     	183524	4/1/2017	3/31/2019	 	N	100		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	100			 	 	 	 
P	MQ	U.R.E. COUNTY HOME RD.          	95	735789	TCO     	100			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FSS     	183525	4/1/2017	3/31/2021	 	N		256500	 
D	Stand Energy Corporation	121293039	N       	SST     	183526	4/1/2017	3/31/2021	 	N	2250		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	2250			 	 	 	 
P	MQ	COL GAS OH OP 05-2  	95	23N-2	TCO     	750			 	 	 	 
P	MQ	COL GAS OH OP 07-3  	95	23-3	TCO     	1000			 	 	 	 
P	MQ	MOUNTAINEER 3-16    	95	27-16	TCO     	500			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FSS     	183527	4/1/2017	12/31/2019	 	N		172000	 
D	Stand Energy Corporation	121293039	N       	FTS     	183528	4/1/2017	3/31/2021	 	N	600		 
P	M2	Vinland-Manchester                  	95	827280	TCO     	600			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	600			 	 	 	 
D	Stand Energy Corporation	121293039	N       	SST     	183529	4/1/2017	3/31/2021	 	N	500		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	500			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	500			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	183530	4/1/2017	3/31/2021	 	N	60		 
P	M2	LP&P Berea O&G Corp. #3         	95	827009	TCO     	60			 	 	 	 
P	MQ	CGV OP 10-30        	95	46-30	TCO     	60			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	184703	4/2/2017	3/31/2021	 	N	1000		 
P	M2	Vandalia	95	840254	TCO     	1000			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	1000			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	193278	8/5/2017	10/31/2018	 	N	125		 
P	M2	ECA TM-18 Receipt	95	838512	TCO     	125			 	 	 	 
P	MQ	Hope Flatwoods POD              	95	834482	TCO     	125			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS     	194567	1/1/2018	3/31/2020	 	N	1000		 
P	M2	BRINK	95	638813	TCO     	50			 	 	 	 
P	M2	LINN-PINETON                    	95	613929	TCO     	500			 	 	 	 
P	M2	Pine Glen              	95	636978	TCO     	400			 	 	 	 
P	M2	PINETON       	95	635276	TCO     	50			 	 	 	 
P	MQ	TWP Bionanol	95	640283	TCO     	1000			 	 	 	 
D	Statoil Natural Gas LLC	130073534	N       	FTS     	19034	9/1/2010	8/31/2020	 	N	28600		 
P	M2	CMG Majorsville 	95	642452	TCO     	28600			 	 	 	 
P	MQ	MOUNTAINEER 08-35   	95	29-35	TCO     	10000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	18600			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FTS     	38101	11/1/1993	10/31/2024	 	N	5134		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	ANR - LEBANON-6     	95	F2	TCO     	1000			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	4134			 	 	 	 
P	MQ	SUBURBAN-1          	95	67-1	TCO     	5134			 	 	 	 
P	MQ	SUBURBAN-3          	95	67-3	TCO     	2000			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FTS     	73188	11/1/2002	10/31/2024	 	N	500		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	PAULDING-3          	95	F1	TCO     	500			 	 	 	 
P	MQ	SUBURBAN-3          	95	67-3	TCO     	500			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FTS     	73315	11/1/2002	10/31/2024	 	N	110		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	PAULDING-3          	95	F1	TCO     	110			 	 	 	 
P	MQ	SUBURBAN-3          	95	67-3	TCO     	110			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FTS     	75378	4/1/2003	10/31/2023	 	N	1790		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1790			 	 	 	 
P	MQ	SUBURBAN-3          	95	67-3	TCO     	1790			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FTS     	78185	4/1/2004	3/31/2024	 	N	3100		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	3100			 	 	 	 
P	MQ	SUBURBAN-3          	95	67-3	TCO     	3100			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FTS     	79265	11/1/2004	12/31/2024	 	N	3500		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	3500			 	 	 	 
P	MQ	SUBURBAN-3          	95	67-3	TCO     	3500			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	SST     	80842	11/1/2004	3/31/2025	 	N	967		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	967			 	 	 	 
P	MQ	SUBURBAN-1          	95	67-1	TCO     	967			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FSS     	80843	11/1/2004	3/31/2025	 	N		102157	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	SST     	81292	4/1/2005	3/31/2025	 	N	558		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	558			 	 	 	 
P	MQ	SUBURBAN-1          	95	67-1	TCO     	558			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FSS     	81293	4/1/2005	3/31/2025	 	N		63612	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	SST     	81679	4/1/2005	4/1/2025	 	N	1900		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	1900			 	 	 	 
P	MQ	SUBURBAN-3          	95	67-3	TCO     	1900			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FSS     	81680	4/1/2005	4/1/2025	 	N		216600	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
D	"SWN Energy Services Company, LLC"	967770660	N       	FTS     	161147	10/2/2015	9/30/2025	 	Y	42000		 
P	M2	Sanford	95	642638	TCO     	24432			 	 	 	 
P	M2	Stagecoach Receipt	95	640168	TCO     	17568			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	42000			 	 	 	 
D	"SWN Energy Services Company, LLC"	967770660	N       	FTS     	161148	10/2/2015	9/30/2020	 	Y	30000		 
P	M2	Sanford	95	642638	TCO     	30000			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	30000			 	 	 	 
D	"SWN Energy Services Company, LLC"	967770660	N       	FTS     	161254	2/1/2015	8/31/2018	 	N	59400		 
P	M2	CMG Majorsville 	95	642452	TCO     	59400			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	59400			 	 	 	 
D	"SWN Energy Services Company, LLC"	967770660	N       	FTS     	161255	2/1/2015	6/30/2021	 	N	17500		 
P	M2	CMG Majorsville 	95	642452	TCO     	10000			 	 	 	 
P	M2	HG Energy-Valley Point	95	639104	TCO     	1500			 	 	 	 
P	M2	Wetzel County	95	642717	TCO     	6000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	17500			 	 	 	 
D	"T&F Exploration, L.P."	SR 011131	N       	OPT60   	138518	4/11/2013	4/30/2020	 	N	600		 
P	M2	T&F Exploration Hedrick	95	840045	TCO     	600			 	 	 	 
P	MQ	WASHINGTON GAS-30   	95	78-30	TCO     	600			 	 	 	 
D	"Tate Gas Company, Inc."	8623837	N       	FTS     	10229	8/1/2009	3/31/2020	 	Y	20		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TATE GAS COMPANY                	95	816049	TCO     	20			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	20			 	 	 	 
D	Tenaska Marketing Ventures	624240628	N       	OPT30   	186292	4/1/2017	3/31/2019	 	N	2000		 
P	M2	ALEXANDER AGG POINT 04	95	A04	TCO     	1000			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1000			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	2000			 	 	 	 
D	Tenaska Marketing Ventures	624240628	N       	FTS     	197522	4/1/2018	10/31/2019	 	N	500		 
P	M2	WAYNESBURG-RHINEHART	95	K2	TCO     	500			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	500			 	 	 	 
D	Tenaska Marketing Ventures	624240628	N       	FTS     	201012	4/1/2018	10/31/2018	 	N	12400		 
P	M2	ALEXANDER AGG POINT 04	95	A04	TCO     	12400			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	12400			 	 	 	 
D	Tenaska Marketing Ventures	624240628	N       	FTS     	201033	4/1/2018	10/31/2018	 	N	1100		 
P	M2	TCO-LEACH	95	801	TCO     	1100			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	1100			 	 	 	 
D	The Arlington Natural Gas Company	6832422	N       	GTS     	37957	11/1/1993	10/31/2008	365	N	2770	91150	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"M & B Gas Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	923			 	 	 	 
P	MQ	ARLINGTON NATL GAS  	95	2	TCO     	2770			 	 	 	 
D	The East Ohio Gas Company	7900475	N       	SST     	80559	11/1/2004	3/31/2020	 	N	30472		 
A	Dominion East Ohio	N       		 	 	 	 	 	 	 	 	 
A	Dominion LDC Gas Supply Group	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	30472			 	 	 	 
P	MQ	COL GAS OH OP 07-3  	95	23-3	TCO     	513			 	 	 	 
P	MQ	EAST OHIO GAS CO- 4	95	80-4	TCO     	0			 	 	 	 
P	MQ	EAST OHIO GAS CO-2  	95	80-2	TCO     	3840			 	 	 	 
P	MQ	EAST OHIO GAS CO-3  	95	80-3	TCO     	50524			 	 	 	 
D	The East Ohio Gas Company	7900475	N       	FSS     	80560	11/1/2004	3/31/2020	 	N		2924319	 
A	Dominion East Ohio	N       		 	 	 	 	 	 	 	 	 
A	Dominion LDC Gas Supply Group	N       		 	 	 	 	 	 	 	 	 
D	The East Ohio Gas Company	7900475	N       	FTS     	89769	4/1/2007	3/31/2020	 	N	24000		 
A	Dominion East Ohio	N       		 	 	 	 	 	 	 	 	 
A	Dominion LDC Gas Supply Group	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	24000			 	 	 	 
P	MQ	EAST OHIO GAS CO-2  	95	80-2	TCO     	6000			 	 	 	 
P	MQ	EAST OHIO GAS CO-3  	95	80-3	TCO     	24000			 	 	 	 
D	The Narragansett Electric Company d/b/a National Grid	1193655	N       	FSS     	9630	11/1/2009	4/1/2040	 	N		203957	 
A	KeySpan Gas East Corporation d/b/a National Grid	N       		 	 	 	 	 	 	 	 	 
D	The Narragansett Electric Company d/b/a National Grid	1193655	N       	SST     	9631	11/1/2009	4/1/2040	 	N	1272		 
A	KeySpan Gas East Corporation d/b/a National Grid	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	1272			 	 	 	 
P	MQ	HANOVER             	95	R2	TCO     	1272			 	 	 	 
D	The Narragansett Electric Company d/b/a National Grid	1193655	N       	FTS     	31520	11/1/2011	10/31/2020	 	N	3855		 
A	KeySpan Gas East Corporation d/b/a National Grid	N       		 	 	 	 	 	 	 	 	 
P	M2	PENNSBURG-23        	95	C23	TCO     	3855			 	 	 	 
P	MQ	HANOVER             	95	R2	TCO     	3855			 	 	 	 
D	The Narragansett Electric Company d/b/a National Grid	1193655	N       	FTS     	31522	11/1/2011	10/31/2020	 	N	3600		 
A	KeySpan Gas East Corporation d/b/a National Grid	N       		 	 	 	 	 	 	 	 	 
P	M2	EAGLE-25            	95	C22	TCO     	3600			 	 	 	 
P	MQ	HANOVER             	95	R2	TCO     	3600			 	 	 	 
D	The Narragansett Electric Company d/b/a National Grid	1193655	N       	FTS     	31523	11/1/2011	10/31/2020	 	N	10000		 
A	KeySpan Gas East Corporation d/b/a National Grid	N       		 	 	 	 	 	 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	10000			 	 	 	 
P	MQ	HANOVER             	95	R2	TCO     	10000			 	 	 	 
D	The Narragansett Electric Company d/b/a National Grid	1193655	N       	FTS     	31524	11/1/2011	10/31/2020	 	N	30000		 
A	KeySpan Gas East Corporation d/b/a National Grid	N       		 	 	 	 	 	 	 	 	 
P	M2	MAUMEE-1            	95	A3	TCO     	30000			 	 	 	 
P	MQ	HANOVER             	95	R2	TCO     	30000			 	 	 	 
D	The Swickard Gas Co.	3842507	N       	GTS     	37971	11/1/1993	10/31/2008	365	N	1050	34545	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"M & B Gas Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	350			 	 	 	 
P	MQ	SWICKARD GAS COMPANY	95	68	TCO     	1050			 	 	 	 
D	The Waterville Gas & Oil Company	7825417	N       	GTS     	37943	11/1/1993	3/31/2015	365	N	10000	404767	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Waterville Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	MAUMEE-1            	95	A3	TCO     	3600			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1666			 	 	 	 
P	MQ	WATERVILLE GAS & OIL	95	79	TCO     	10000			 	 	 	 
D	The Waterville Gas & Oil Company	7825417	N       	FTS     	184361	4/1/2017	3/31/2029	 	N	100		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Waterville Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	100			 	 	 	 
P	MQ	WATERVILLE GAS & OIL	95	79	TCO     	100			 	 	 	 
D	The Waterville Gas & Oil Company	7825417	N       	FTS     	189708	11/1/2017	10/31/2022	 	N	1400		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Waterville Gas Company	N       		 	 	 	 	 	 	 	 	 
P	M2	MONCLOVA-1          	95	F4	TCO     	1400			 	 	 	 
P	MQ	WATERVILLE GAS & OIL	95	79	TCO     	1400			 	 	 	 
D	"Toyota Motor Manufacturing North America, Inc."	961659588	N       	FTS     	171889	5/1/2016	4/30/2020	 	N	9900		 
A	Constellation NewEnergy - Gas Division LLC	N       		 	 	 	 	 	 	 	 	 
A	"Fellon McCord & Associates, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Macquarie Energy LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	9900			 	 	 	 
P	MQ	COL GAS OF KY 06-10 	95	18-10	TCO     	9900			 	 	 	 
D	"UGI Central Penn Gas, Inc."	SR 3021059	N       	FTS     	80780	11/1/2004	10/31/2022	 	N	9730		 
A	Georgio Foods	N       		 	 	 	 	 	 	 	 	 
A	"UGI Energy Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"UGI Utilities, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	DELMONT-36          	95	C16	TCO     	3215			 	 	 	 
P	M2	EAGLE-25            	95	C22	TCO     	1984			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	4531			 	 	 	 
P	MQ	BANGOR MET-ED                   	95	634197	TCO     	50			 	 	 	 
P	MQ	PENN FUEL OP 04-21  	95	56-21	TCO     	9730			 	 	 	 
P	MQ	PENN FUEL OP 04-25  	95	56-25	TCO     	7095			 	 	 	 
P	MQ	PENN FUEL OP 04-29  	95	56-29	TCO     	4157			 	 	 	 
P	MQ	PENN FUEL OP-08-36  	95	56W	TCO     	6766			 	 	 	 
D	"UGI Central Penn Gas, Inc."	SR 3021059	N       	SST     	80934	4/1/2005	3/31/2020	 	N	5662		 
