H	"Texas Eastern Transmission, LP"	C000094	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	12683						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	12683						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	2965						
P	MQ	SS/X-28 STORAGE POINT	95	79560	3	1288						
D	"SOUTHERN CONNECTICUT GAS COMPANY, THE"	4945259	N	FT-1	800305-R2	9/1/2009	3/31/2015	365	N	13675		L4/X2
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	13675						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	5249						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	5249						
P	MQ	SS/X-28 STORAGE POINT	95	79560	3	2642						
D	"SOUTHERN CONNECTICUT GAS COMPANY, THE"	4945259	N	FT-1	800306-R2	3/1/2012	3/31/2018	365	N	4922		L4
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	4922						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	4922						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	4922						
D	"SOUTHERN CONNECTICUT GAS COMPANY, THE"	4945259	N	FT-1	910504-R3	3/1/2012	3/31/2017	365	N	13276		L52
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	13000						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	13276						
P	M2	SOUTHERN NATURAL #2 (TO TE) - KOSCI	95	71088	1	276						
D	SOUTHERN INDIANA GAS & ELECTRIC COMPANY	6937015	N	SCT	911048-R1	9/1/2013	10/31/2015	365	N	1200		X47
A	"EXELON GENERATION COMPANY, LLC"	N										
P	MQ	"S.I.G. & ELEC -FT. BRANCH, IN"	95	70539	2	1200						
P	MQ	"SO. IND. GAS & EL. -POSEY, IN"	95	72648	2	115						
D	"SPOTLIGHT ENERGY, LLC"	79978564	N	FT-1	911467-R1	11/17/2017	10/31/2018		N	20000		
P	M2	STECKMAN RIDGE (73605D INJ/73606R W	95	75605	3	20000						
P	MQ	COMPRESSOR STATION 21A (UNIONTOWN)	95	79921	2	20000						
D	"SPOTLIGHT ENERGY, LLC"	79978564	N	FT-1MX	911468-R1	11/17/2017	10/31/2018		Y	20000		
P	M2	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	20000						
P	MQ	MARIETTA EXTENSION H/L	95	79965	3	20000						
D	"STARKS WATER AND GAS, INC"	3950	N	SCT	800066-R1	6/1/1993	10/31/2012	365	N	481		YA1/X19
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	MQ	"STARKS UTILITIES - STARKS, LA"	95	70548	WLA	481						
D	"STATOIL NATURAL GAS,LLC"	130073534	N	FT1NJNY	910953-R1	11/1/2013	10/31/2033		Y	204750		
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
A	"DTE ENERGY TRADING, INC."	N										
A	"EDF TRADING NORTH AMERICA, LLC"	N										
P	MQ	CONED-MANHATTAN DELIVERY	95	73722	3	204750						
P	M2	AGT MAINLINE (NJ-NY)	95	78200	3	204750						
P	M2	MAHWAH	95	78201	3	204750						
P	M2	RAMAPO	95	78214	3	204750						
D	"SWN ENERGY SERVICES COMPANY, LLC"	967770660	N	LLFT	870277-R1	9/1/2015	10/31/2025		N	47143		
A	"DTE ENERGY TRADING, INC."	N										
P	M2	PEPL/TETCO (LEBANON LATERAL-TETCO C	95	72770	2	47143						
P	MQ	"PEPL-GAS CITY DELIVERY/ROUTE 26, GR"	95	74903	2	47143						
D	"SWN ENERGY SERVICES COMPANY, LLC"	967770660	N	FT-1	911289-R1	9/1/2015	10/31/2025		N	47143		
A	"DTE ENERGY TRADING, INC."	N										
P	MQ	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	47143						
P	M2	UNIONTOWN WEST	95	79975	2	47143						
D	SYCAMORE GAS COMPANY	88656632	N	SCT	800038-R1	9/1/1993	10/31/1996	365	N	1500		X47
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"LAWRENCEBURG GAS, IN"	95	70941	2	1500						
D	"TAMMS, ILLINOIS, VILLAGE OF"	27006352	N	SCT	800067-R1	6/1/1993	10/31/2012	365	N	1126		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"TAMMS, IL"	95	71463	1	1126						
D	TENASKA MARKETING VENTURES	624240628	N	FT-1	910506-R4	2/1/2018	3/31/2019		N	20000		L41
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	20000						
P	M2	"TEXAS GAS/FAYETVILLE, AR."	95	73577	1	20000						
D	TENASKA MARKETING VENTURES	624240628	N	FT-1	910529-R3	2/1/2018	3/31/2019		N	20000		L54
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	20000						
P	M2	"TEXAS GAS/FAYETVILLE, AR."	95	73577	1	5000						
D	TENNESSEE VALLEY AUTHORITY	1883032	N	FT-1	911258-R2	11/1/2017	3/31/2019		N	75000		L71
P	MQ	"WEIR (NEEL-SCHAFFER) - CHOCTAW CO.,"	95	73211	1	75000						
P	M2	"TEXAS GAS- KOSCIUSKO, MS"	95	73576	1	58500						
P	M2	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	1500						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	15000						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	N	FTS-7	331009-R1	11/1/1999	10/31/2006	365	N	29915		L4
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	29915						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	29915						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	29915						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	29915						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	29915						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	29915						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	N	SS-1	400225-R2	5/1/2010	4/30/2015	365	N		4938091	L34
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		32162					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		48841					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		25382	YN21				
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	N	FT-1	800285-R2	5/1/2010	10/31/2012	365	N	87757		L4/X2
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	87757						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	42018						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	25382						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	N	CDS	800286-R2	5/1/2010	10/31/2011	365	N	32616		L4/X2
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	32616						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	32616						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	25382						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	N	FT-1	800287-R2	5/1/2010	4/30/2015	365	N	21394		L4
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	21394						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	21394						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	21394						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	X-130	008764-R1	11/1/1986	10/31/2009	365	N	12161		
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	12161						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	12161						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	FTS-2	330787-R2	11/1/2009	3/31/2014	365	N	17477		L4
P	M2	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	17477						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	17477						
P	M2	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	17477						
P	MQ	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	17477						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	FTS	330835-R2	11/1/2009	10/31/2014	365	N	2560		L4
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	2560						
P	MQ	CONSOL. EDISON - (THRU 70058)	95	70877	3	2560						
P	MQ	LONG ISL. LIGHTING-(THRU70058)	95	70878	3	2560						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	2560						
P	MQ	BROOK UN-THRU 70058	95	79883	3	2560						
P	MQ	LILCO-(THRU 70058)	95	79887	3	2560						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	FTS-4	330909-R1	6/1/1993	12/1/2008	365	N	5000		
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	5000						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	5000						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	FTS-8	331011-R1	6/1/1993	3/31/2006	365	N	10340		
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	5412						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	5412						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	5412						
P	M2	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	10340						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	10340						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	5412						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	5412						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	5412						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	5412						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	5412						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	5412						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	5412						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	5412						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	4928						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	4928						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	FTS-7	331719-R1	11/10/1994	4/15/2015	365	N	21332		
P	M2	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	21332						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	21332						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	21332						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	21332						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	SS-1	400186-R1	6/1/1994	4/30/2012	365	N		7370440	
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3		114190					
P	MQ	"TRANSCO - LINDEN, NJ - DEL"	95	70244	3		60000					
P	MQ	"TRANSCO - BELLE MEADE, NJ (D70919/R"	95	75919	3		30000					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		37886	YN21				
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	CDS	800100-R2	11/1/2010	10/31/2017	365	N	5403		L4/X2
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	5403						
P	MQ	"TRANSCO - LINDEN, NJ - DEL"	95	70244	3	5403						
P	MQ	"TRANSCO - BELLE MEADE, NJ (D70919/R"	95	75919	3	5403						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	5403						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	CDS	800205-R2	11/1/2010	10/31/2017	365	N	51315		L4/X2
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	51315						
P	MQ	"TRANSCO - LINDEN, NJ - DEL"	95	70244	3	51315						
P	MQ	"TRANSCO - BELLE MEADE, NJ (D70919/R"	95	75919	3	30000						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	37886						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	FT-1	800357-R1	11/1/2003	10/31/2008	365	N	20604		L6
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	1248						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	20604						
D	THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY	6978795	N	FT-1	910049-R3	6/1/2017	3/31/2023		N	27500		L26
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	27500						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	27500						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FTS	330844-R2	4/1/2008	10/31/2014	365	N	6377		L4
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	6377						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	6377						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	6377						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FTS	330845-R2	4/1/2008	10/31/2014	365	N	537		L4
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	537						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	537						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	537						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FTS-5	330867-R2	4/1/2008	3/31/2014	365	N	813		L4
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	813						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	813						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	813						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	452						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	813						
P	MQ	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	813						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FTS-5	330870-R2	4/1/2008	3/31/2014	365	N	1000		L4
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	1000						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	1000						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	1000						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	556						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	1000						
P	MQ	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	1000						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FTS-5	330907-R2	4/1/2008	3/31/2014	365	N	248		L4
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	248						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	248						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	248						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	138						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	248						
P	MQ	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	248						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FTS-7	331722-R2	4/1/2008	3/31/2014	365	N	538		L29
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	538						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	538						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	538						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	538						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	538						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	538						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FTS-8	331801-R2	4/1/2008	3/31/2014	365	N	79		L4
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	41						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	41						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	41						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	79						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	79						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	41						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	41						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	41						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	41						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	79						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	79						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	41						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	41						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	41						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	41						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	38						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	38						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FTS-8	331802-R2	4/1/2008	3/31/2014	365	N	187		L4
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	98						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	98						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	98						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	187						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	187						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	98						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	98						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	98						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	98						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	187						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	187						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	98						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	98						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	98						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	98						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	89						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	89						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FTS-8	331819-R2	4/1/2008	3/31/2014	365	N	4745		L29
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	4745						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	4745						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	4745						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	4745						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	4745						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	4745						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	SS-1	400185-R2	4/1/2008	4/30/2014	365	N		51990	L103
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		349					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		506					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		267	YN21				
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	SS-1	400221-R2	4/1/2008	4/30/2014	365	N		1188033	L106
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		8017					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		11515					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		6107	YN21				
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	FSS-1	400515-R2	4/1/2008	4/30/2014	365	N		56640	L9
P	M2	ZONE M3 STORAGE POINT	95	79513	3		291	YN21				
P	MQ	ZONE M3 STORAGE POINT	95	79513	3		944	YN20				
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	SCT	800156-R2	4/1/2008	10/31/2014	365	N	2099		L4/X2
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	2099						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	1018						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	267						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	CDS	800303-R3	5/1/2010	10/31/2014	365	N	45934		L4/X2
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	45934						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	18656						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	6665						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	N	CDS	800440-R2	4/1/2008	10/31/2014	365	N	944		L9/X10
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	405						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	539						
D	"THEBES, ILLINOIS,  VILLAGE OF"	144165219	N	SCT	800069-R1	6/1/1993	10/31/2012	365	N	308		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"THEBES, IL"	95	71331	1	308						
D	"TOMPKINSVILLE, KENTUCKY CITY OF"	29630571	N	SCT	800070-R1	6/1/1993	10/31/2012	365	N	1526		X47
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"TOMPKINSVILLE, KY"	95	70429	2	1526						
D	"TOTAL GAS & POWER NORTH AMERICA, INC."	620059980	N	FT-1OPN	911051-R2	12/1/2015	11/30/2030		Y	75000		
P	M2	WILLIAMS OHIO VALLEY MIDSTREAM LLC.	95	73656	2	75000						
P	M2	"MARK WEST - MAJORSVILLE, MARSHALL C"	95	73734	2	75000						
P	M2	MARKWEST UTICA EMG/TWP RD 240-BERNE	95	73812	2	75000						
P	M2	"MOMENTUM KENSINGTON / HIGHWAY 644,"	95	74200	2	75000						
P	M2	ACCESS MIDSTREAM CLARKS MILL ROAD-J	95	74201	2	75000						
P	M2	ACCESS MIDSTREAM HIGHWAY 219 - JEFF	95	74202	2	75000						
P	MQ	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	37500						
P	MQ	"CHENIERE LNG, BEAUREGARD PA,LA (D-7"	95	75866	WLA	37500						
P	M2	M2/M3 ILT POINT	95	79667	ZB	75000						
D	"TOTAL GAS & POWER NORTH AMERICA, INC."	620059980	N	FT-1OPX	911216-R2	2/1/2016	1/31/2021		Y	50000		
P	M2	"MOMENTUM KENSINGTON / HIGHWAY 644,"	95	74200	2	50000						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	74203	2	50000						
D	"TOTAL GAS & POWER NORTH AMERICA, INC."	620059980	N	FT-1OPN	911252-R1	12/1/2015	11/30/2030		Y	25000		
P	M2	WILLIAMS OHIO VALLEY MIDSTREAM LLC.	95	73656	2	25000						
P	M2	"MARK WEST - MAJORSVILLE, MARSHALL C"	95	73734	2	25000						
P	M2	MARKWEST UTICA EMG/TWP RD 240-BERNE	95	73812	2	25000						
P	M2	"MOMENTUM KENSINGTON / HIGHWAY 644,"	95	74200	2	25000						
P	M2	ACCESS MIDSTREAM CLARKS MILL ROAD-J	95	74201	2	25000						
P	M2	ACCESS MIDSTREAM HIGHWAY 219 - JEFF	95	74202	2	25000						
P	MQ	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	12500						
P	MQ	"CHENIERE LNG, BEAUREGARD PA,LA (D-7"	95	75866	WLA	12500						
P	M2	M2/M3 ILT POINT	95	79667	ZB	25000						
D	"TOWN OF BELMONT, MISSISSIPPI"	612981910	N	SCT	800005-R1	6/1/1993	10/31/2012	365	N	716		X5
A	"ADVANTAGE ENERGY,INC."	N										
P	MQ	"BELMONT, MS"	95	70099	1	716						
D	TOWN OF CENTREVILLE	49332968	N	FT-1	911410-R1	4/15/2017	4/30/2018		N	385		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"TOWN OF CENTREVILLE, WILKINSON CO.,"	95	73900	ELA	385						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	385						
D	"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"	7933021	N	X-28	400300-R1	4/16/2005	4/15/2007	365	N		12270468	L112
P	MQ	"TRANSCO - LINDEN, NJ - DEL"	95	70244	3		136509					
P	M2	"TRANSCO - SKIPPACK, PA - REC"	95	70249	3		102254					
D	"TUG HILL MARCELLUS, LLC"	30238	N	FT1NJNY	911189-R1	11/1/2014	10/31/2033		Y	3500		YA1
A	CHIEF OIL & GAS LLC	N										
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	CONED-MANHATTAN DELIVERY	95	73722	3	3500						
P	M2	AGT MAINLINE (NJ-NY)	95	78200	3	3500						
P	M2	MAHWAH	95	78201	3	3500						
P	M2	RAMAPO	95	78214	3	3500						
D	"UGI CENTRAL PENN GAS, INC."	7912967	N	SS-1	400190-R3	12/22/2015	4/30/2026		Y		541911	L103
P	MQ	UGI CENTRAL - SHIPPENSBURG - OXFORD	95	70096	3		5159					
P	MQ	UGI CENTRAL - LEWISTOWN - JUNIATA C	95	70308	3		2596					
P	MQ	UGI CENTRAL - POTTSVILLE GAS - BERK	95	70309	3		4150					
P	MQ	UGI CENTRAL - COUNTIES GAS CO. - MI	95	70463	3		2					
P	MQ	UGI CENTRAL - INTERBORO GAS - BELLV	95	71143	3		1239					
P	MQ	"UGI CENTRAL - TWIN GAS - BEDFORD, P"	95	71144	3		1159					
P	MQ	UGI CENTRAL - VALLEY GAS - MARTINSB	95	71189	3		1239					
P	MQ	UGI CENTRAL - DAUPHIN CO. GAS - ANN	95	71438	3		3791					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		2785	YN21				
D	"UGI CENTRAL PENN GAS, INC."	7912967	N	CDS	800376-R3	12/22/2015	10/31/2025		Y	8068		L6/X2
P	MQ	UGI CENTRAL - SHIPPENSBURG - OXFORD	95	70096	3	5159						
P	MQ	UGI CENTRAL - LEWISTOWN - JUNIATA C	95	70308	3	2596						
