H	"SOUTHERN STAR CENTRAL GAS PIPELINE, INC."	C000374	4/2/2018	O	4/1/2018	T	T	PHILIP RULLMAN 270-852-4440			
P	MQ	Hiawatha	95	9034	MKT	250	0				
P	MQ	Holton	95	9036	MKT	200	0				
P	MQ	Horton	95	9038	MKT	107	0				
P	MQ	Huron	95	9040	MKT	4	0				
P	MQ	Highland & Robinson	95	9042	MKT	57	0				
P	MQ	Morrill	95	9052	MKT	11	0				
P	MQ	Muscotah	95	9054	MKT	7	0				
P	MQ	Netawaka	95	9057	MKT	5	0				
P	MQ	Nortonville & Winchester	95	9059	MKT	42	0				
P	MQ	Oskaloosa	95	9064	MKT	55	0				
P	MQ	Ozawkie	95	9066	MKT	16	0				
P	MQ	Reserve	95	9075	MKT	2	0				
P	MQ	Sabetha	95	9079	MKT	147	0				
P	MQ	Valley Falls	95	9091	MKT	61	0				
P	MQ	"Wathena, Elwood & Troy"	95	9093	MKT	274	0				
P	MQ	Whiting	95	9095	MKT	8	0				
P	MQ	"Kansas City, Kansas"	95	13644	MKT	1701	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-P	TS623	10/1/1993	10/1/1998	1825	N	7620	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	7620	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	7620	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS	TS634	10/1/1993	10/1/2020	0	N	0	299244
P	IJ	Mkt Storage	95	999021	MKT	0	2244				
P	WR	Mkt Storage	95	999021	MKT	0	9068				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-M	TS634	10/1/1993	10/1/2020	0	N	13602	0
P	M2	Mkt Storage	95	999021	MKT	9068	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	4534	0				
P	MQ	"Kansas City, Kansas"	95	13644	MKT	1952	0				
P	MQ	South Gardner	95	164	MKT	94	0				
P	MQ	Arma-Girard-Pittsburg	95	206	MKT	1399	0				
P	MQ	Cher-Scam-W. Min-Carona-Weir	95	207	MKT	52	0				
P	MQ	Arkansas City	95	501	MKT	641	0				
P	MQ	Ks Mkt Domestics	95	710	MKT	39	0				
P	MQ	Barnard	95	3508	MKT	5	0				
P	MQ	Ellsworth	95	3520	MKT	135	0				
P	MQ	Frederick	95	3524	MKT	1	0				
P	MQ	Geneseo	95	3528	MKT	14	0				
P	MQ	Kanopolis	95	3544	MKT	25	0				
P	MQ	Lincoln	95	3548	MKT	85	0				
P	MQ	Lucas	95	3551	MKT	24	0				
P	MQ	Luray	95	3553	MKT	9	0				
P	MQ	Minneapolis	95	3555	MKT	104	0				
P	MQ	Sylvan Grove	95	3576	MKT	22	0				
P	MQ	Vesper	95	3588	MKT	1	0				
P	MQ	Beloit	95	3608	MKT	234	0				
P	MQ	Burr Oak	95	3610	MKT	14	0				
P	MQ	Cawker City	95	3612	MKT	25	0				
P	MQ	Downs	95	3616	MKT	57	0				
P	MQ	Esbon	95	3620	MKT	8	0				
P	MQ	Formosa	95	3624	MKT	4	0				
P	MQ	Glen Elder	95	3628	MKT	13	0				
P	MQ	Jewell	95	3640	MKT	29	0				
P	MQ	Lebanon	95	3648	MKT	17	0				
P	MQ	Mankato	95	3652	MKT	67	0				
P	MQ	Montrose	95	3654	MKT	1	0				
P	MQ	Osborne	95	3660	MKT	104	0				
P	MQ	Smith Center	95	3676	MKT	115	0				
P	MQ	Atlanta	95	6704	MKT	7	0				
P	MQ	Benton	95	6712	MKT	18	0				
P	MQ	Burden	95	6714	MKT	17	0				
P	MQ	Cambridge	95	6716	MKT	3	0				
P	MQ	Dexter	95	6720	MKT	10	0				
P	MQ	El Dorado	95	6724	MKT	637	0				
P	MQ	Potwin	95	6764	MKT	19	0				
P	MQ	Towanda	95	6780	MKT	33	0				
P	MQ	Grenola	95	6828	MKT	9	0				
P	MQ	Madison	95	6852	MKT	44	0				
P	MQ	Olpe	95	6860	MKT	16	0				
P	MQ	Circleville	95	9012	MKT	11	0				
P	MQ	Everest	95	9020	MKT	16	0				
P	MQ	Fairview	95	9024	MKT	11	0				
P	MQ	Hamlin	95	9032	MKT	2	0				
P	MQ	Hiawatha	95	9034	MKT	241	0				
P	MQ	Holton	95	9036	MKT	193	0				
P	MQ	Horton	95	9038	MKT	102	0				
P	MQ	Huron	95	9040	MKT	3	0				
P	MQ	Highland & Robinson	95	9042	MKT	55	0				
P	MQ	Morrill	95	9052	MKT	11	0				
P	MQ	Muscotah	95	9054	MKT	7	0				
P	MQ	Netawaka	95	9057	MKT	5	0				
P	MQ	Nortonville & Winchester	95	9059	MKT	41	0				
P	MQ	Oskaloosa	95	9064	MKT	52	0				
P	MQ	Ozawkie	95	9066	MKT	15	0				
P	MQ	Reserve	95	9075	MKT	3	0				
P	MQ	Sabetha	95	9079	MKT	142	0				
P	MQ	Valley Falls	95	9091	MKT	58	0				
P	MQ	"Wathena, Elwood & Troy"	95	9093	MKT	264	0				
P	MQ	Whiting	95	9095	MKT	8	0				
P	MQ	Goessel	95	18328	MKT	16	0				
P	MQ	Lyndon	95	19548	MKT	55	0				
P	MQ	Melvern	95	19552	MKT	15	0				
P	MQ	Michigan Valley	95	19554	MKT	2	0				
P	MQ	Pomona	95	19564	MKT	26	0				
P	MQ	Quenemo	95	19568	MKT	11	0				
P	MQ	Scranton	95	19576	MKT	116	0				
P	MQ	Baldwin	95	19608	MKT	118	0				
P	MQ	Edgerton	95	19620	MKT	26	0				
P	MQ	Gardner	95	19628	MKT	93	0				
P	MQ	Lecompton	95	19648	MKT	16	0				
P	MQ	Le Loup	95	19650	MKT	2	0				
P	MQ	Perry	95	19664	MKT	35	0				
P	MQ	Princeton	95	19666	MKT	7	0				
P	MQ	Richmond	95	19672	MKT	16	0				
P	MQ	Scipio	95	19676	MKT	1	0				
P	MQ	Somerset & Rural	95	19678	MKT	4	0				
P	MQ	Tonganoxie	95	19684	MKT	104	0				
P	MQ	Wellsville	95	19690	MKT	69	0				
P	MQ	Bronson Etc	95	20709	MKT	64	0				
P	MQ	Carlyle	95	20712	MKT	1	0				
P	MQ	Cherryvale	95	20714	MKT	140	0				
P	MQ	Colony	95	20716	MKT	20	0				
P	MQ	Dennis	95	20720	MKT	3	0				
P	MQ	Erie	95	20725	MKT	120	0				
P	MQ	Gas City & La Harpe	95	20730	MKT	88	0				
P	MQ	Parsons	95	20764	MKT	671	0				
P	MQ	Petrolia	95	20766	MKT	2	0				
P	MQ	Piqua	95	20768	MKT	4	0				
P	MQ	South Mound	95	20775	MKT	1	0				
P	MQ	Thayer	95	20785	MKT	19	0				
P	MQ	Walnut & St Paul	95	20788	MKT	39	0				
P	MQ	Welda	95	20792	MKT	8	0				
P	MQ	Baxter Springs	95	21008	MKT	220	0				
P	MQ	Columbus	95	21015	MKT	180	0				
P	MQ	Crestline	95	21018	MKT	3	0				
P	MQ	Fort Scott	95	21021	MKT	511	0				
P	MQ	Galena & Empire City	95	21024	MKT	163	0				
P	MQ	Lowell	95	21048	MKT	6	0				
P	MQ	N Riverton	95	21055	MKT	22	0				
P	MQ	Oswego	95	21060	MKT	124	0				
P	MQ	Treece	95	21080	MKT	6	0				
P	MQ	Grantville	95	24228	MKT	6	0				
P	MQ	Meriden	95	24252	MKT	28	0				
P	MQ	Shawnee Heights	95	24276	MKT	47	0				
P	MQ	Topeka	95	24280	MKT	29	0				
P	MQ	Andover	95	27040	MKT	189	0				
P	MQ	Atchison	95	29001	MKT	642	0				
P	MQ	Emporia	95	29002	MKT	922	0				
P	MQ	Leavenworth	95	29003	MKT	1225	0				
P	MQ	Effingham	95	29005	MKT	24	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-P	TS634	10/1/1993	10/1/2020	0	N	4687	0
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	3830	0				
P	M2	CIG Floris	95	15266	PRD	458	0				
P	M2	Oneok Westex Hemphill	95	16584	PRD	399	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	4687	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS	TS810	10/1/1994	10/1/1998	1825	N	0	84810
P	IJ	Prd Storage	95	999020	PRD	0	636				
P	WR	Prd Storage	95	999020	PRD	0	2570				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-P	TS810	10/1/1994	10/1/1998	1825	N	3855	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	1285	0				
P	M2	Prd Storage	95	999020	PRD	2570	0				
P	MQ	Newton	95	18356	PRD	273	0				
P	MQ	Belle Plaine	95	27015	PRD	27	0				
P	MQ	Bentley	95	27020	PRD	3	0				
P	MQ	Derby	95	27035	PRD	138	0				
P	MQ	Haysville	95	27050	PRD	90	0				
P	MQ	Mulvane	95	27060	PRD	63	0				
P	MQ	Rose Hill	95	27065	PRD	18	0				
P	MQ	Sedgwick	95	27070	PRD	18	0				
P	MQ	Udall	95	27080	PRD	9	0				
P	MQ	Valley Center	95	27085	PRD	54	0				
P	MQ	Wichita	95	27092	PRD	2700	0				
P	MQ	Clearwater	95	510	PRD	24	0				
P	MQ	Conway Springs	95	512	PRD	21	0				
P	MQ	Harper	95	525	PRD	30	0				
P	MQ	Kiowa	95	530	PRD	27	0				
P	MQ	Oxford	95	540	PRD	18	0				
P	MQ	Wellington	95	590	PRD	159	0				
P	MQ	Ks Prd Domestics	95	610	PRD	6	0				
P	MQ	Alden	95	3504	PRD	3	0				
P	MQ	Chase	95	3512	PRD	12	0				
P	MQ	Raymond	95	3572	PRD	3	0				
P	MQ	Augusta & Leon	95	6706	PRD	114	0				
P	MQ	Douglas	95	6722	PRD	21	0				
P	MQ	Hutchinson	95	9835	PRD	24	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS	TS811	10/1/1994	11/1/2013	1825	N	0	3307524
P	IJ	Prd Storage	95	999020	PRD	0	24806				
P	WR	Prd Storage	95	999020	PRD	0	100228				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-P	TS811	10/1/1994	11/1/2013	1825	N	150342	0
P	M2	LINN - Jayhawk	95	16289	PRD	43114	0				
P	M2	Targa - Waynoka	95	16912	PRD	7000	0				
P	M2	Prd Storage	95	999020	PRD	100228	0				
P	MQ	KGS Kansas Star Casino	95	16977	PRD	100	0				
P	MQ	Newton	95	18356	PRD	10061	0				
P	MQ	Belle Plaine	95	27015	PRD	864	0				
P	MQ	Bentley	95	27020	PRD	112	0				
P	MQ	Derby	95	27035	PRD	7329	0				
P	MQ	Haysville	95	27050	PRD	4199	0				
P	MQ	Mulvane	95	27060	PRD	2628	0				
P	MQ	Rose Hill	95	27065	PRD	1252	0				
P	MQ	Sedgwick	95	27070	PRD	758	0				
P	MQ	Udall	95	27080	PRD	406	0				
P	MQ	Valley Center	95	27085	PRD	2365	0				
P	MQ	Wichita	95	27092	PRD	105323	0				
P	MQ	Richie/Ripley	95	519501	PRD	5	0				
P	MQ	El Dorado Rural	95	118	PRD	42	0				
P	MQ	Clearwater	95	510	PRD	1006	0				
P	MQ	Conway Springs	95	512	PRD	849	0				
P	MQ	Harper	95	525	PRD	1062	0				
P	MQ	Kiowa	95	530	PRD	683	0				
P	MQ	Oxford	95	540	PRD	621	0				
P	MQ	Wellington	95	590	PRD	4460	0				
P	MQ	Ks Prd Domestics	95	610	PRD	194	0				
P	MQ	Alden	95	3504	PRD	62	0				
P	MQ	Chase	95	3512	PRD	258	0				
P	MQ	Raymond	95	3572	PRD	89	0				
P	MQ	Augusta & Leon	95	6706	PRD	4254	0				
P	MQ	Douglas	95	6722	PRD	750	0				
P	MQ	Hutchinson	95	9835	PRD	610	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS	TS813	10/1/1994	11/1/2013	1825	N	0	6562743
P	IJ	Mkt Storage	95	999021	MKT	0	49221				
P	WR	Mkt Storage	95	999021	MKT	0	198871				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-M	TS813	10/1/1994	11/1/2013	1825	N	298308	0
P	M2	Mkt Storage	95	999021	MKT	198871	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	99437	0				
P	MQ	Overland Park	95	16952	MKT	65715	0				
P	MQ	Merriam	95	16953	MKT	20399	0				
P	MQ	Goessel	95	18328	MKT	214	0				
P	MQ	Lyndon	95	19548	MKT	479	0				
P	MQ	Melvern	95	19552	MKT	149	0				
P	MQ	Michigan Valley	95	19554	MKT	28	0				
P	MQ	Pomona	95	19564	MKT	379	0				
P	MQ	Quenemo	95	19568	MKT	127	0				
P	MQ	Scranton	95	19576	MKT	1142	0				
P	MQ	Baldwin	95	19608	MKT	2021	0				
P	MQ	Edgerton	95	19620	MKT	498	0				
P	MQ	Gardner	95	19628	MKT	3216	0				
P	MQ	Lecompton	95	19648	MKT	244	0				
P	MQ	Le Loup	95	19650	MKT	29	0				
P	MQ	Perry	95	19664	MKT	168	0				
P	MQ	Princeton	95	19666	MKT	55	0				
P	MQ	Scipio	95	19676	MKT	16	0				
P	MQ	Somerset & Rural	95	19678	MKT	55	0				
P	MQ	Tonganoxie	95	19684	MKT	2153	0				
P	MQ	Wellsville	95	19690	MKT	717	0				
P	MQ	Bronson Etc	95	20709	MKT	424	0				
P	MQ	Carlyle	95	20712	MKT	17	0				
P	MQ	Cherryvale	95	20714	MKT	1129	0				
P	MQ	Colony	95	20716	MKT	400	0				
P	MQ	Dennis	95	20720	MKT	52	0				
P	MQ	Erie	95	20725	MKT	935	0				
P	MQ	Gas City & La Harpe	95	20730	MKT	31	0				
P	MQ	Parsons	95	20764	MKT	6447	0				
P	MQ	Petrolia	95	20766	MKT	31	0				
P	MQ	Piqua	95	20768	MKT	64	0				
P	MQ	South Mound	95	20775	MKT	15	0				
P	MQ	Thayer	95	20785	MKT	216	0				
P	MQ	Walnut & St Paul	95	20788	MKT	302	0				
P	MQ	Welda	95	20792	MKT	137	0				
P	MQ	Baxter Springs	95	21008	MKT	1664	0				
P	MQ	Columbus	95	21015	MKT	1432	0				
P	MQ	Crestline	95	21018	MKT	39	0				
P	MQ	Fort Scott	95	21021	MKT	4553	0				
P	MQ	Galena & Empire City	95	21024	MKT	774	0				
P	MQ	Lowell	95	21048	MKT	94	0				
P	MQ	N Riverton	95	21055	MKT	318	0				
P	MQ	Oswego	95	21060	MKT	982	0				
P	MQ	Treece	95	21080	MKT	3	0				
P	MQ	Grantville	95	24228	MKT	86	0				
P	MQ	Meriden	95	24252	MKT	444	0				
P	MQ	Shawnee Heights	95	24276	MKT	374	0				
P	MQ	Topeka	95	24280	MKT	67159	0				
P	MQ	Andover	95	27040	MKT	4423	0				
P	MQ	Atchison	95	29001	MKT	6529	0				
P	MQ	Emporia	95	29002	MKT	10288	0				
P	MQ	Leavenworth	95	29003	MKT	17705	0				
P	MQ	Effingham	95	29005	MKT	252	0				
P	MQ	Walmart	95	129	MKT	74	0				
P	MQ	Plum Creek Farms	95	143	MKT	5	0				
P	MQ	Smith	95	157	MKT	23	0				
P	MQ	South Gardner	95	164	MKT	4800	0				
P	MQ	Arma-Girard-Pittsburg	95	206	MKT	13703	0				
P	MQ	Cher-Scam-W. Min-Carona-Weir	95	207	MKT	1029	0				
P	MQ	Arkansas City	95	501	MKT	6574	0				
P	MQ	Ks Mkt Domestics	95	710	MKT	959	0				
P	MQ	Barnard	95	3508	MKT	57	0				
P	MQ	Ellsworth	95	3520	MKT	1570	0				
P	MQ	Geneseo	95	3528	MKT	123	0				
P	MQ	Kanopolis	95	3544	MKT	243	0				
P	MQ	Lincoln	95	3548	MKT	806	0				
P	MQ	Lucas	95	3551	MKT	351	0				
P	MQ	Luray	95	3553	MKT	134	0				
P	MQ	Minneapolis	95	3555	MKT	1176	0				
P	MQ	Sylvan Grove	95	3576	MKT	213	0				
P	MQ	Vesper	95	3588	MKT	19	0				
P	MQ	Beloit	95	3608	MKT	2727	0				
P	MQ	Burr Oak	95	3610	MKT	134	0				
P	MQ	Cawker City	95	3612	MKT	196	0				
P	MQ	Downs	95	3616	MKT	572	0				
P	MQ	Esbon	95	3620	MKT	72	0				
P	MQ	Formosa	95	3624	MKT	57	0				
P	MQ	Glen Elder	95	3628	MKT	283	0				
P	MQ	Jewell	95	3640	MKT	252	0				
P	MQ	Lebanon	95	3648	MKT	115	0				
P	MQ	Mankato	95	3652	MKT	572	0				
P	MQ	Montrose	95	3654	MKT	4	0				
P	MQ	Osborne	95	3660	MKT	877	0				
P	MQ	Smith Center	95	3676	MKT	1167	0				
P	MQ	Atlanta	95	6704	MKT	82	0				
P	MQ	Benton	95	6712	MKT	570	0				
P	MQ	Burden	95	6714	MKT	238	0				
P	MQ	Cambridge	95	6716	MKT	21	0				
P	MQ	Dexter	95	6720	MKT	139	0				
P	MQ	El Dorado	95	6724	MKT	7066	0				
P	MQ	Potwin	95	6764	MKT	179	0				
P	MQ	Towanda	95	6780	MKT	697	0				
P	MQ	Grenola	95	6828	MKT	135	0				
P	MQ	Madison	95	6852	MKT	343	0				
P	MQ	Olpe	95	6860	MKT	243	0				
P	MQ	Circleville	95	9012	MKT	168	0				
P	MQ	Everest	95	9020	MKT	199	0				
P	MQ	Fairview	95	9024	MKT	168	0				
P	MQ	Hamlin	95	9032	MKT	24	0				
P	MQ	Hiawatha	95	9034	MKT	2013	0				
P	MQ	Holton	95	9036	MKT	1692	0				
P	MQ	Horton	95	9038	MKT	819	0				
P	MQ	Huron	95	9040	MKT	26	0				
P	MQ	Highland & Robinson	95	9042	MKT	549	0				
P	MQ	Morrill	95	9052	MKT	91	0				
P	MQ	Muscotah	95	9054	MKT	72	0				
P	MQ	Netawaka	95	9057	MKT	70	0				
P	MQ	Nortonville & Winchester	95	9059	MKT	603	0				
P	MQ	Oskaloosa	95	9064	MKT	539	0				
P	MQ	Ozawkie	95	9066	MKT	138	0				
P	MQ	Reserve	95	9075	MKT	45	0				
P	MQ	Sabetha	95	9079	MKT	1514	0				
P	MQ	Valley Falls	95	9091	MKT	569	0				
P	MQ	"Wathena, Elwood & Troy"	95	9093	MKT	2288	0				
P	MQ	Whiting	95	9095	MKT	101	0				
P	MQ	Willis	95	9097	MKT	27	0				
P	MQ	"Kansas City, Kansas"	95	13644	MKT	12870	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-P	TS813	10/1/1994	11/1/2013	1825	N	102785	0
P	M2	LINN - Jayhawk	95	16289	PRD	64285	0				
P	M2	Wamsutter - Echo Springs	95	16294	PRD	25500	0				
P	M2	Targa - Waynoka	95	16912	PRD	13000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	102785	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS	TS950	10/1/1997	10/1/2002	1825	N	0	1444509
P	IJ	Mkt Storage	95	999021	MKT	0	10834				
P	WR	Mkt Storage	95	999021	MKT	0	43773				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-M	TS950	10/1/1997	10/1/2002	1825	N	65659	0
P	M2	Prd/Mkt Interface	95	999000	MKT	21886	0				
P	M2	Mkt Storage	95	999021	MKT	43773	0				
P	MQ	Merriam	95	16953	MKT	65659	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-P	TS950	10/1/1997	10/1/2002	1825	N	22623	0
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	8823	0				
P	M2	CIG Floris	95	15266	PRD	2029	0				
P	M2	LINN - Jayhawk	95	16289	PRD	11660	0				
P	M2	Oneok Westex Hemphill	95	16584	PRD	111	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	22623	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS	TS10483	6/1/2006	10/1/2017	1825	N	0	248061
P	IJ	Mkt Storage	95	999021	MKT	0	1860				
P	WR	Mkt Storage	95	999021	MKT	0	7517				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-M	TS10483	6/1/2006	10/1/2017	1825	N	11275	0
P	M2	Mkt Storage	95	999021	MKT	7517	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	3758	0				
P	MQ	Topeka	95	24280	MKT	11100	0				
P	MQ	Effingham	95	29005	MKT	175	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-P	TS10483	6/1/2006	10/1/2017	1825	N	3892	0
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	3182	0				
P	M2	CIG Floris	95	15266	PRD	343	0				
P	M2	LINN - Jayhawk	95	16289	PRD	348	0				
P	M2	Oneok Westex Hemphill	95	16584	PRD	19	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	3892	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS	TS514	10/1/1993	10/1/2018	0	N	0	6402
P	IJ	Mkt Storage	95	999021	MKT	0	48				
P	WR	Mkt Storage	95	999021	MKT	0	194				
D	Kansas Municipal Gas Agency	197500080	N	TSS-M	TS514	10/1/1993	10/1/2018	0	N	374	0
P	M2	Prd/Mkt Interface	95	999000	MKT	180	0				
P	M2	Mkt Storage	95	999021	MKT	194	0				
P	MQ	Burlingame	95	44021	MKT	254	0				
P	MQ	Cassoday	95	45301	MKT	120	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS-P	TS514	10/1/1993	10/1/2018	0	N	184	0
P	M2	OFS Maysville	95	7158	PRD	184	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	184	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS	TS560	10/1/1993	10/1/1998	1825	N	0	2277
P	IJ	Prd Storage	95	999020	PRD	0	17				
P	WR	Prd Storage	95	999020	PRD	0	69				
D	Kansas Municipal Gas Agency	197500080	N	TSS-P	TS560	10/1/1993	10/1/1998	1825	N	138	0
P	M2	LINN - Jayhawk	95	16289	PRD	69	0				
P	M2	Prd Storage	95	999020	PRD	69	0				
P	MQ	Partridge	95	135808	PRD	138	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS	TS561	10/1/1993	10/1/2018	0	N	0	25278
P	IJ	Mkt Storage	95	999021	MKT	0	190				
P	WR	Mkt Storage	95	999021	MKT	0	766				
D	Kansas Municipal Gas Agency	197500080	N	TSS-M	TS561	10/1/1993	10/1/2018	0	N	1150	0
P	M2	Prd/Mkt Interface	95	999000	MKT	384	0				
P	M2	Mkt Storage	95	999021	MKT	766	0				
P	MQ	Eskridge	95	63919	MKT	867	0				
P	MQ	Uniontown	95	173214	MKT	152	0				
P	MQ	Walton	95	181013	MKT	131	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS-P	TS561	10/1/1993	10/1/2018	0	N	396	0
P	M2	LINN - Jayhawk	95	16289	PRD	396	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	396	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS	TS837	7/1/1995	10/1/2018	0	N	0	132495
P	IJ	Mkt Storage	95	999021	MKT	0	994				
P	WR	Mkt Storage	95	999021	MKT	0	4015				
D	Kansas Municipal Gas Agency	197500080	N	TSS-M	TS837	7/1/1995	10/1/2018	0	N	6022	0
P	M2	Prd/Mkt Interface	95	999000	MKT	2007	0				
P	M2	Mkt Storage	95	999021	MKT	4015	0				
P	MQ	Garnett KS	95	70408	MKT	2700	0				
P	MQ	Humboldt Ks	95	84021	MKT	1222	0				
P	MQ	Osage City Ks	95	132519	MKT	2100	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS-P	TS837	7/1/1995	10/1/2018	0	N	2075	0
P	M2	LINN - Jayhawk	95	16289	PRD	2075	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	2075	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS	TS939	10/1/1997	10/1/2017	1825	N	0	1947
P	IJ	Mkt Storage	95	999021	MKT	0	15				
P	WR	Mkt Storage	95	999021	MKT	0	59				
D	Kansas Municipal Gas Agency	197500080	N	TSS-M	TS939	10/1/1997	10/1/2017	1825	N	89	0
P	M2	Mkt Storage	95	999021	MKT	59	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	30	0				
P	MQ	Eskridge	95	63919	MKT	50	0				
P	MQ	Walton	95	181013	MKT	39	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS-P	TS939	10/1/1997	10/1/2017	1825	N	43	0
P	M2	LINN - Jayhawk	95	16289	PRD	43	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	43	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS	TS1055	10/1/2000	4/1/2021	0	N	0	9834
P	IJ	Mkt Storage	95	999021	MKT	0	74				
P	WR	Mkt Storage	95	999021	MKT	0	298				
D	Kansas Municipal Gas Agency	197500080	N	TSS-M	TS1055	10/1/2000	4/1/2021	0	N	596	0
P	M2	Mkt Storage	95	999021	MKT	298	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	298	0				
P	MQ	Burlingame	95	44021	MKT	596	0				
D	Kansas Municipal Gas Agency	197500080	N	TSS-P	TS1055	10/1/2000	4/1/2021	0	N	301	0
P	M2	OFS Maysville	95	7158	PRD	301	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	301	0				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	TSS	TS8249	6/15/2001	10/1/2018	0	N	0	16007772
P	IJ	Mkt Storage	95	999021	MKT	0	120058				
P	WR	Mkt Storage	95	999021	MKT	0	485084				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	TSS-M	TS8249	6/15/2001	10/1/2018	0	N	727626	0
P	M2	TIGT Glavin	95	16593	MKT	20000	0				
P	M2	EGT Jane - Receipt	95	10997	MKT	55000	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	167542	0				
P	M2	Mkt Storage	95	999021	MKT	485084	0				
P	MQ	MGE Crenshaw Road	95	16875	MKT	1	0				
P	MQ	Anderson	95	17404	MKT	750	0				
P	MQ	"Ash Grove, Walnut Grove & Wil"	95	17406	MKT	1780	0				
P	MQ	Aurora	95	17408	MKT	3561	0				
P	MQ	Billings Mo	95	17410	MKT	725	0				
P	MQ	Clever Mo	95	17414	MKT	393	0				
P	MQ	Crane Mo	95	17416	MKT	813	0				
P	MQ	Diamond	95	17418	MKT	416	0				
P	MQ	Freistatt	95	17426	MKT	123	0				
P	MQ	Goodman	95	17430	MKT	425	0				
P	MQ	Lanagan	95	17448	MKT	100	0				
P	MQ	Marionville	95	17452	MKT	1233	0				
P	MQ	Monett	95	17454	MKT	7254	0				
P	MQ	Mt Vernon & Verona	95	17456	MKT	2063	0				
P	MQ	Neosho	95	17458	MKT	6216	0				
P	MQ	Noel & North Noel	95	17460	MKT	2503	0				
P	MQ	Nixa & Ozark	95	17462	MKT	5222	0				
P	MQ	Pierce City	95	17464	MKT	753	0				
P	MQ	Pineville	95	17466	MKT	350	0				
P	MQ	Republic	95	17472	MKT	4921	0				
P	MQ	Sarcoxie	95	17476	MKT	962	0				
P	MQ	Seneca	95	17478	MKT	1317	0				
P	MQ	Wentworth	95	17492	MKT	91	0				
P	MQ	St Joseph	95	23576	MKT	70763	0				
P	MQ	Alma	95	26304	MKT	279	0				
P	MQ	Blackburn	95	26308	MKT	199	0				
P	MQ	Carrollton	95	26312	MKT	3869	0				
P	MQ	Concordia	95	26314	MKT	1944	0				
P	MQ	Corder	95	26316	MKT	270	0				
P	MQ	Emma	95	26325	MKT	77	0				
P	MQ	Higginsville	95	26332	MKT	3413	0				
P	MQ	Knobnoster	95	26344	MKT	3070	0				
P	MQ	La Monte	95	26348	MKT	363	0				
P	MQ	Mt Leonard	95	26352	MKT	28	0				
P	MQ	Norborne	95	26356	MKT	523	0				
P	MQ	Slater	95	26376	MKT	1989	0				
P	MQ	Sweet Springs	95	26378	MKT	1231	0				
