H	"GULF SOUTH PIPELINE COMPANY, LP"	C000591	2/13/2018	R	1/1/2018	T	T	NATALIE LAWRENCE 713-479-8208				
P	MQ	PALMETTO AGGREGATE SLN	95	20874	SYSTEM 	140	0					
D	"PALMETTO, VILLAGE OF"	32636391	N	NNS-SCO	36279	4/1/2009	4/30/2023		N	340	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	170	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	68	0					
P	MQ	PALMETTO AGGREGATE SLN	95	20874	SYSTEM 	340	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	102	0					
D	"PASCAGOULA, MISSISSIPPI, CITY OF"	66731316	N	NNS-SCO	45720	4/1/2016	3/31/2023		N	7335	0	
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1467	0					
P	MQ	PASCAGOULA AGGREGATE - UMDG	95	9930	SYSTEM 	7335	0					
P	M2	POOLING AREA #9	95	11469	SYSTEM 	3667	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	2201	0					
D	"PENSACOLA, FLORIDA, CITY OF"	602166373	N	NNS	43993	4/1/2015	3/31/2026		Y	57484	0	
A	BP ENERGY COMPANY	N										
P	M2	CENTERVILLE (FROM ANR)	95	425	SYSTEM 	1998	0					
P	M2	ERATH (FROM NGPL)	95	3260	SYSTEM 	13772	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	7372	0					
P	M2	GOODRICH (FROM NGPL)	95	10144	SYSTEM 	5000	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	11497	0					
P	M2	LONGVIEW PLT (FROM ENBRIDGE)	95	11673	SYSTEM 	600	0					
P	MQ	PENSACOLA AGGREGATE	95	9922	SYSTEM 	57484	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	17245	0					
D	"PENSACOLA, FLORIDA, CITY OF"	602166373	N	FTS	47402	4/1/2017	3/31/2018		N	3000	0	
A	BP ENERGY COMPANY	N										
P	M2	KILN (FROM TENN GAS)	95	2921	SYSTEM 	3000	0					
P	MQ	PENSACOLA AGGREGATE	95	9922	SYSTEM 	3000	0					
D	PETROHAWK ENERGY CORPORATION	45271561	N	FTS	36385	4/1/2011	3/31/2029		N	60000	0	
A	BP ENERGY COMPANY	N										
P	M2	HOLLY FIELD CP - HAWK FIELD SERVIC	95	22551	SYSTEM 	25000	0					
P	MQ	HOLMESVILLE (TO TRANSCO)	95	2690	SYSTEM 	60000	0					
P	M2	PLANTATION WEST CP (PETROHAWK)	95	22410	SYSTEM 	35000	0					
D	PETROHAWK ENERGY CORPORATION	45271561	N	FTS	36395	4/1/2013	3/31/2021		N	50000	0	
A	"TEXLA ENERGY MANAGEMENT, INC."	N										
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	32500	0					
P	MQ	KOSCIUSKO (TO TET)	95	2471	SYSTEM 	32500	0					
P	MQ	OAK POINT PLANT @ BELLE CHASE	95	187	SYSTEM 	17500	0					
P	M2	POOLING AREA #20	95	22693	SYSTEM 	17500	0					
D	PETROHAWK ENERGY CORPORATION	45271561	N	FTS	41448	11/1/2013	10/31/2025		Y	256000	0	
P	MQ	DELHI (TO COLUMBIA GULF)	95	22106	SYSTEM 	256000	0					
P	M2	DELHI (TO SESH / SNG)	95	22406	SYSTEM 	256000	0					
P	M2	DELHI (TO SESH)	95	22111	SYSTEM 	256000	0					
D	PETROHAWK ENERGY CORPORATION	45271561	N	FTS	41455	11/1/2013	10/31/2025		Y	256000	0	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	DELHI (TO SESH / SNG)	95	22406	SYSTEM 	256000	0					
P	MQ	DELHI (TO SESH)	95	22111	SYSTEM 	256000	0					
P	M2	PLANTATION WEST II - EXPANSION	95	22561	SYSTEM 	256000	0					
D	"PICAYUNE, CITY OF"	92683457	N	NNS-SCO	45700	4/1/2016	3/31/2021		N	5000	0	
A	UTILITY MANAGEMENT CORPORATION	N										
P	M2	GOODRICH (FROM ENBRIDGE)	95	1607	SYSTEM 	2500	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1000	0					
P	MQ	PICAYUNE CITY GATE	95	2463	SYSTEM 	5000	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1500	0					
D	"PINELAND, CITY OF"	23946619	N	FTS-SCO	40853	4/1/2014	3/31/2019		N	170	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	170	0					
P	MQ	PINELAND CITY GATE	95	563	SYSTEM 	170	0					
D	"PINELAND, CITY OF"	23946619	N	NNS-SCO	40855	4/1/2014	3/31/2019		N	280	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	140	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	56	0					
P	MQ	PINELAND CITY GATE	95	563	SYSTEM 	280	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	84	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FTS	34691	2/1/2008	1/31/2018		Y	15000	0	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	ENERGY TRANSFER - CARTHAGE (EXPANS	95	21922	SYSTEM 	15000	0					
P	MQ	HOLMESVILLE (TO TRANSCO)	95	2690	SYSTEM 	15000	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FSS-P	659	1/1/2015	10/31/2014	365	N	0	100000	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	WR	TRANSCO HATTIESBURG DELIVERY	95	23108	SYSTEM 	0	10000					
P	IJ	TRANSCO HATTIESBURG RECEIPT	95	23105	SYSTEM 	0	5000					
D	"PORT GIBSON, CITY OF"	196912356	N	NNS-SCO	45702	4/1/2016	3/31/2021		N	4187	0	
A	INTERCONN RESOURCES INC	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	2093	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	838	0					
P	MQ	PORT GIBSON CITY GATE	95	2464	SYSTEM 	4187	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1256	0					
D	"PSEG ENERGY RESOURCES & TRADE, LLC"	848784257	N	FSS-P	661	1/1/2015	10/31/2019		N	0	1000000	
P	WR	TENNESSEE PETAL DELIVERY	95	109009	SYSTEM 	0	100000					
P	IJ	TENNESSEE PETAL RECEIPT	95	108009	SYSTEM 	0	50000					
P	WR	TRANSCO HATTIESBURG DELIVERY	95	23108	SYSTEM 	0	100000					
P	IJ	TRANSCO HATTIESBURG RECEIPT	95	23105	SYSTEM 	0	50000					
D	"PURE UTILITIES, LC"	154066757	N	NNS-SCO	40873	4/1/2014	3/31/2019		N	300	0	
A	"ETC MARKETING, LTD"	N										
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	150	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	60	0					
P	MQ	STEVENS UTILITIES-LIVINGSTON CITY 	95	7849	SYSTEM 	300	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	90	0					
D	"PURE UTILITIES, LC"	154066757	N	FTS-SCO	40878	4/1/2014	3/31/2019		N	450	0	
A	"ETC MARKETING, LTD"	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	450	0					
P	MQ	STEVENS UTILITIES-LIVINGSTON CITY 	95	7849	SYSTEM 	450	0					
D	QEP ENERGY COMPANY	46934568	N	FTS	36400	4/1/2009	3/31/2034		N	3500	0	
P	MQ	KOSCIUSKO (TO TET)	95	2471	SYSTEM 	3500	0					
P	M2	QEP C P  #2	95	22382	SYSTEM 	3500	0					
D	QEP ENERGY COMPANY	46934568	N	FTS	36482	4/1/2009	3/31/2034		N	4200	0	
P	MQ	ARNAUDVILLE/ST LANDRY (TO FGT)	95	3064	SYSTEM 	4200	0					
P	M2	QEP C P  #2	95	22382	SYSTEM 	4200	0					
D	QEP ENERGY COMPANY	46934568	N	FTS	36601	10/1/2010	9/30/2020		Y	40000	0	
P	M2	HALL SUMMIT CP - QEP  (EXPANSION)	95	22647	SYSTEM 	10000	0					
P	MQ	HENRY HUB (TO SABINE)	95	10506	SYSTEM 	26000	0					
P	M2	QEP C P  #2	95	22382	SYSTEM 	26000	0					
P	MQ	WALTHALL (TO TRANSCO)	95	22114	SYSTEM 	14000	0					
P	M2	WOODARDVILLE CP #2 (QEP)	95	21954	SYSTEM 	4000	0					
D	QEP ENERGY COMPANY	46934568	N	FTS	36644	6/1/2012	5/31/2039		N	4750	0	
P	MQ	LONEWA (TO TEXAS GAS)	95	3362	SYSTEM 	4750	0					
P	M2	QEP C P  #2	95	22382	SYSTEM 	4750	0					
D	QEP ENERGY COMPANY	46934568	N	FTS	36645	6/1/2012	10/31/2034		N	9870	0	
P	MQ	ARNAUDVILLE/ST LANDRY (TO FGT)	95	3064	SYSTEM 	5000	0					
P	MQ	LONEWA (TO TEXAS GAS)	95	3362	SYSTEM 	4870	0					
P	M2	PLANTATION WEST CP (PETROHAWK)	95	22410	SYSTEM 	9870	0					
D	QEP ENERGY COMPANY	46934568	N	FTS	37602	4/1/2010	3/31/2040		N	5000	0	
P	MQ	BARRON (TO COLUMBIA GULF)	95	3491	SYSTEM 	5000	0					
P	M2	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	5000	0					
D	QEP ENERGY COMPANY	46934568	N	FTS	37657	11/1/2010	10/31/2020		Y	110000	0	
P	MQ	AIRPORT (TO FLORIDA GAS)	95	21262	SYSTEM 	17000	0					
P	MQ	BOSCO (TO TEXAS GAS)	95	22095	SYSTEM 	9400	0					
P	MQ	DELHI (TO COLUMBIA GULF)	95	22106	SYSTEM 	10500	0					
P	MQ	DELHI (TO SESH / SNG)	95	22406	SYSTEM 	5000	0					
P	MQ	DELHI (TO SESH)	95	22111	SYSTEM 	5000	0					
P	M2	HALL SUMMIT CP - QEP  (EXPANSION)	95	22647	SYSTEM 	71000	0					
P	MQ	HENRY HUB (TO SABINE)	95	10506	SYSTEM 	20000	0					
P	MQ	HOLMESVILLE (TO TRANSCO)	95	2690	SYSTEM 	17500	0					
P	MQ	KOSCIUSKO (TO TET)	95	2471	SYSTEM 	9500	0					
P	MQ	PERRYVILLE (TO MRT)	95	3317	SYSTEM 	7500	0					
P	M2	QEP C P  #2	95	22382	SYSTEM 	19000	0					
P	MQ	WALTHALL (TO TRANSCO)	95	22114	SYSTEM 	13600	0					
P	M2	WOODARDVILLE CP #2 (QEP)	95	21954	SYSTEM 	20000	0					
D	QEP ENERGY COMPANY	46934568	N	FTS	37692	5/1/2010	4/30/2030		N	8000	0	
P	M2	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	8000	0					
P	MQ	RAPIDES (TO ANR)	95	3496	SYSTEM 	8000	0					
D	QEP ENERGY COMPANY	46934568	N	FTS	37989	7/1/2010	6/30/2030		N	5000	0	
P	MQ	OPELOUSAS (TO TET)	95	3063	SYSTEM 	5000	0					
P	M2	QEP C P  #2	95	22382	SYSTEM 	5000	0					
D	REPSOL ENERGY NORTH AMERICA	805486276	N	FSS-P	47774	4/1/2017	3/31/2018		N	0	500000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	12500					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	25000					
D	REPSOL ENERGY NORTH AMERICA	805486276	N	FSS-P	47897	4/1/2017	3/31/2018		N	0	500000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	12500					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	25000					
D	"REPSOL OIL & GAS USA, LLC"	126548440	N	FTS	39939	11/1/2012	2/28/2018		N	25500	0	
P	MQ	KOSCIUSKO (TO TET)	95	2471	SYSTEM 	25500	0					
P	M2	WHARTON (FROM ENTERPRISE TEXAS)	95	22810	SYSTEM 	25500	0					
D	"SANTA ROSA ENERGY CENTER, LLC"	10859	N	FTS	42487	11/1/2014	10/31/2024		Y	15500	0	
A	"EDF TRADING NORTH AMERICA, LLC"	N										
P	M2	PERRYVILLE EXCHANGE POINT	95	23039	SYSTEM 	15500	0					
P	MQ	SANTA ROSA COGEN PLANT	95	21134	SYSTEM 	15500	0					
D	"SANTA ROSA ENERGY CENTER, LLC"	10859	N	FTS-SSO	42575	6/1/2014	5/31/2023		Y	0	0	
A	"EDF TRADING NORTH AMERICA, LLC"	N										
D	"SCOTT, TOWN OF"	556212744	N	FTS-SCO	36275	4/1/2009	3/31/2019		N	525	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	525	0					
P	MQ	SCOTT CITY GATE	95	2952	SYSTEM 	525	0					
D	"SCOTT, TOWN OF"	556212744	N	NNS-SCO	36276	4/1/2009	4/30/2023		N	350	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	175	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	70	0					
P	MQ	SCOTT CITY GATE	95	2952	SYSTEM 	350	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	105	0					
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FTS	34693	2/1/2008	1/31/2018		Y	35000	0	
P	M2	ENBRIDGE - CARTHAGE (EXPANSION)	95	21921	SYSTEM 	15000	0					
P	M2	ENERGY TRANSFER - CARTHAGE (EXPANS	95	21922	SYSTEM 	20000	0					
P	MQ	HOLMESVILLE (TO TRANSCO)	95	2690	SYSTEM 	5000	0					
P	MQ	WALTHALL (TO TRANSCO)	95	22114	SYSTEM 	30000	0					
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FSS-B	47651	4/1/2017	3/31/2019		N	0	1366667	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	10797					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	10797					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	19543					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	19543					
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FSS-P	47654	4/1/2017	3/31/2018		N	0	1000000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	25000					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	50000					
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FSS-B	47720	4/1/2017	3/31/2019		N	0	500000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	3950					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	3950					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	7150					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	7150					
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FSS-P	47773	4/1/2017	3/31/2018		N	0	1000000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	25000					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	50000					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FTS	46053	5/1/2016	4/30/2018		N	8000	0	
P	M2	DELHI (FROM CENTERPOINT)	95	22110	SYSTEM 	8000	0					
P	MQ	JACINTO PORT (BAYOU SARA JUNCTION)	95	20777	SYSTEM 	8000	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FTS	46810	1/1/2017	12/31/2021		Y	50000	0	
P	M2	HOLLY FIELD CP - EXCO (EXPANSON)	95	22662	SYSTEM 	50000	0					
P	MQ	OLLA (TO TRUNKLINE)	95	9182	SYSTEM 	50000	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FTS	46811	8/1/2016	4/30/2019		N	128000	0	
P	MQ	CALCASIEU INDUSTRIES	95	21737	LAKE CHARLES 	1500	0					
P	MQ	CALCASIEU POWER LAKE CHARLES	95	20862	LAKE CHARLES 	37000	0					
P	MQ	CALCASIEU REFINING	95	21738	LAKE CHARLES 	1500	0					
P	M2	DEEP LAKE (FROM NGPL)	95	3263	LAKE CHARLES 	128000	0					
P	MQ	PPG INDUSTRIES: LAKE CHARLES PLANT	95	9311	LAKE CHARLES 	50000	0					
P	MQ	SASOL - LAKE CHARLES CHEMICAL	95	3071	LAKE CHARLES 	13000	0					
P	MQ	WESTLAKE IND - ETHYLENE PLT	95	12775	LAKE CHARLES 	20000	0					
P	MQ	WESTLAKE IND - POLYMER PLT	95	12776	LAKE CHARLES 	5000	0					
D	"SIMMESPORT LOUISIANA, TOWN OF"	783433170	N	FTS-SCO	36284	4/1/2009	3/31/2019		N	405	0	
A	BLACKBELT ENERGY	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	405	0					
P	MQ	SIMMESPORT CITY GATE	95	8715	SYSTEM 	405	0					
D	"SIMMESPORT LOUISIANA, TOWN OF"	783433170	N	NNS-SCO	36285	4/1/2009	4/30/2023		N	270	0	
A	BLACKBELT ENERGY	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	135	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	54	0					
P	MQ	SIMMESPORT CITY GATE	95	8715	SYSTEM 	270	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	81	0					
D	SOUTH ALABAMA GAS DISTRICT	54174917	N	NNS-SCO	45721	4/1/2016	3/31/2023		N	5848	0	
A	BP ENERGY COMPANY	N										
P	M2	CENTERVILLE (FROM ANR)	95	425	SYSTEM 	645	0					
P	MQ	CONECUH-MONROE (DELIVERY) CITY GATE	95	2556	SYSTEM 	5848	0					
P	M2	ERATH (FROM NGPL)	95	3260	SYSTEM 	1290	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	989	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1170	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1754	0					
D	SOUTH COAST GAS CO INC	8784431	N	NNS	39580	4/1/2012	4/30/2023		N	12500	0	
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	MQ	GOLDEN MEADOW CITY GATE	95	45	SYSTEM 	3882	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	2500	0					
P	MQ	LA PAVING PLT @BAYOU BLUE	95	235	SYSTEM 	100	0					
P	MQ	SOUTH COAST AGGREGATE	95	11648	SYSTEM 	8518	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	3750	0					
P	M2	VENICE PLT (FROM TARGA MIDSTREAM)	95	464	SYSTEM 	6250	0					
D	SOUTHCROSS ENERGY GP LLC	844863139	N	FSS-P	662	1/1/2015	10/31/2014	365	N	0	50000	X1
P	WR	SOUTHCROSS HATTIESBURG DELIVERY	95	23109	SYSTEM 	0	5000					
P	IJ	SOUTHCROSS HATTIESBURG RECEIPT	95	23106	SYSTEM 	0	5000					
P	WR	TENNESSEE HATTIESBURG DELIVERY	95	23107	SYSTEM 	0	5000					
P	IJ	TENNESSEE HATTIESBURG RECEIPT	95	23104	SYSTEM 	0	5000					
P	WR	TRANSCO HATTIESBURG DELIVERY	95	23108	SYSTEM 	0	5000					
P	IJ	TRANSCO HATTIESBURG RECEIPT	95	23105	SYSTEM 	0	5000					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	N	EFT	41616	4/1/2015	3/31/2030		Y	155000	0	
A	TENASKA MARKETING VENTURES	N										
P	MQ	GULF POWER PLT @ PENSACOLA - PLT C	95	2425	SYSTEM 	15000	0					
P	MQ	JACK WATSON POWER PLANT @ GULFPORT	95	2534	SYSTEM 	140000	0					
P	M2	PETAL (TO/FROM 42 EXP)  REC	95	23031	SYSTEM 	155000	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	N	FTS	41617	4/1/2015	3/31/2030		Y	155000	0	
A	TENASKA MARKETING VENTURES	N										
P	M2	PERRYVILLE EXCHANGE POINT	95	23039	SYSTEM 	155000	0					
P	MQ	PETAL (TO/FROM 42 EXP)  DEL	95	23030	SYSTEM 	155000	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	N	FTS	43982	6/1/2015	5/31/2018		N	15000	0	
A	TENASKA MARKETING VENTURES	N										
P	M2	DELHI (FROM CENTERPOINT)	95	22110	SYSTEM 	15000	0					
P	MQ	GULF POWER PLT @ PENSACOLA - PLT C	95	2425	SYSTEM 	15000	0					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	N	FSS-P	5877	1/1/2015	9/23/2022		N	0	7000000	
A	"TEXLA ENERGY MANAGEMENT, INC."	N										
P	IJ	GULF SOUTH LEG (FROM GS VIA LEGACY)	95	108010	SYSTEM 	0	200000					
P	WR	GULF SOUTH LEG (TO GS VIA LEGACY)	95	109010	SYSTEM 	0	300000					
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	350000					
P	WR	SESH PETAL DELIVERY	95	109015	SYSTEM 	0	175000					
P	IJ	SESH PETAL RECEIPT	95	108015	SYSTEM 	0	87500					
P	WR	TENNESSEE PETAL DELIVERY	95	109009	SYSTEM 	0	100000					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	700000					
D	"SOUTHERN COMPANY SERVICES, INC."	75463174	N	FTS-P	5879	1/1/2015	9/23/2022		N	700000	0	
A	"TEXLA ENERGY MANAGEMENT, INC."	N										
P	MQ	DESTIN PETAL DELIVERY	95	109013	SYSTEM 	700000	0					
P	M2	DESTIN PETAL RECEIPT	95	108013	SYSTEM 	350000	0					
P	M2	GULF SOUTH 42 (FROM GS VIA 42 EXPA	95	23033	SYSTEM 	155000	0					
P	MQ	GULF SOUTH 42 (TO GS VIA 42  EXPAN)	95	23032	SYSTEM 	155000	0					
P	MQ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	350000	0					
P	MQ	SONAT PETAL DELIVERY	95	109011	SYSTEM 	700000	0					
P	M2	SONAT PETAL RECEIPT	95	108011	SYSTEM 	350000	0					
P	MQ	TRANSCO PETAL DELIVERY	95	109012	SYSTEM 	700000	0					
P	M2	TRANSCO PETAL RECEIPT	95	108012	SYSTEM 	350000	0					
P	M2	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	700000	0					
D	"SOUTHWEST ENERGY, L.P."	124847810	N	FSS-B	47662	4/1/2017	3/31/2019		N	0	1000000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	7900					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	7900					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	14300					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	14300					
D	ST AMANT GAS CO INC	867363509	N	NNS-SCO	40871	4/1/2014	3/31/2019		N	1218	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	609	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	244	0					
P	MQ	ST AMANT BRITTANY & ACY CITY GATE	95	70	SYSTEM 	1218	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	365	0					
D	ST JAMES PARISH GAS & WATER DISTRIBUTION	965744626	N	FTS-SCO	36281	4/1/2009	3/31/2019		N	2669	0	
A	BLACKBELT ENERGY	N										
P	M2	POOLING AREA #3	95	11463	SYSTEM 	2669	0					
P	MQ	ST JAMES PARISH AGGREGATE 03	95	10132	SYSTEM 	2669	0					
D	ST JAMES PARISH GAS & WATER DISTRIBUTION	965744626	N	NNS-SCO	36282	4/1/2009	4/30/2023		N	1780	0	
A	BLACKBELT ENERGY	N										
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	356	0					
P	M2	POOLING AREA #3	95	11463	SYSTEM 	890	0					
P	MQ	ST JAMES PARISH AGGREGATE 03	95	10132	SYSTEM 	1780	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	534	0					
D	STATOIL NATURAL GAS LLC	130073534	N	FTS	46217	4/1/2016	2/28/2018		N	19500	0	
P	M2	EDNA (FROM BOARDWALK TEXAS INTRAST	95	23018	SYSTEM 	15000	0					
P	MQ	HOLMESVILLE (TO TRANSCO)	95	2690	SYSTEM 	19500	0					
P	M2	WHARTON (FROM ENTERPRISE TEXAS)	95	22810	SYSTEM 	4500	0					
D	"SUNSET, TOWN OF"	32848111	N	FTS-SCO	36287	4/1/2009	3/31/2019		N	390	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	390	0					
P	MQ	SUNSET CITY GATE	95	2956	SYSTEM 	390	0					
D	"SUNSET, TOWN OF"	32848111	N	NNS-SCO	36289	4/1/2009	4/30/2023		N	260	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	130	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	52	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	78	0					
P	MQ	SUNSET CITY GATE	95	2956	SYSTEM 	260	0					
D	"TENASKA GAS STORAGE, LLC"	4303603	N	FSS-B	47733	4/1/2017	3/31/2018		N	0	1000000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	7900					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	7900					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	14300					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	14300					
D	TENNESSEE VALLEY AUTHORITY	1883032	N	FSS-P	9347	1/1/2015	3/31/2018		N	0	1080000	
P	WR	TENNESSEE PETAL DELIVERY	95	109009	SYSTEM 	0	120000					
P	IJ	TENNESSEE PETAL RECEIPT	95	108009	SYSTEM 	0	57000					
D	TERREBONNE PARISH CONSOLIDATED GOVERNMENT	45181968	N	NNS	42681	4/1/2015	4/30/2023		N	1314	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	657	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	263	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	394	0					
P	MQ	TERREBONNE CONSOLD GOVT AGGREGATE	95	22562	SYSTEM 	1314	0					
D	TERREBONNE PARISH CONSOLIDATED GOVERNMENT	45181968	N	FTS	47590	6/1/2017	5/31/2018		N	5000	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
