H	SOUTHERN NATURAL GAS COMPANY L.L.C.	C000021	4/2/2018	O	4/1/2018	T	T	Sherry Noack 713-420-3764				
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	0	0					
P	MQ	WASH CTY/SNG WASHINGTON TIGER CREEK	95	930100	Zone 3	0	0					
D	"CORDELE, CITY OF"	79375341	N	FT	451024-MFTSNG-451027	10/1/2005	8/31/2016	365	N	1502	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CORDELE/SNG AREA CRISP	95	960110	Zone 3	1502	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	69	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	1231	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	66	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	136	0					
D	"CORDELE, CITY OF"	79375341	N	FT	451024-MFTSNG-451028	10/1/2005	8/31/2016	365	N	766	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CORDELE/SNG AREA CRISP	95	960110	Zone 3	766	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	75	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	476	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	70	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	145	0					
D	"CORDOVA, CITY OF"	126227297	N	FT	451032-MFTSSNG-451037	11/1/1993	8/31/2016	365	N	309	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CORDOVA/SNG CORDOVA AREA WALKER	95	940027	Zone 2	309	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	218	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	89	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	2	0					
D	CULLMAN-JEFF. COS. GAS DISTRICT	61142501	N	FT	451047-MFTSNG-451052	11/1/1996	8/31/2021		N	2042	0	n1
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	CULLMAN/SNG CULLMAN-JEFFERSON AREA	95	940040	Zone 2	2042	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	2042	0					
D	CULLMAN-JEFF. COS. GAS DISTRICT	61142501	N	FT	451047-MFTSNG-451055	1/1/2010	8/31/2021		N	1225	0	n1
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	CULLMAN/SNG CULLMAN-JEFFERSON #3 JE	95	823500	Zone 2	392	0					
P	MQ	CULLMAN/SNG CULLMAN-JEFFERSON AREA	95	940040	Zone 2	833	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	1225	0					
D	CULLMAN-JEFF. COS. GAS DISTRICT	61142501	N	FT	451047-MFTSNG-451056	1/1/2010	8/31/2021		N	3692	0	n1
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	CULLMAN/SNG CULLMAN-JEFFERSON #3 JE	95	823500	Zone 2	3692	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	3692	0					
D	CULLMAN-JEFF. COS. GAS DISTRICT	61142501	N	FT	451047-MFTSNG-455711	9/1/2015	8/31/2021		N	2553	0	n1
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	CULLMAN/SNG CULLMAN-JEFFERSON AREA	95	940040	Zone 2	2553	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	2553	0					
D	CULLMAN-JEFF. COS. GAS DISTRICT	61142501	N	FT	451047-MFTSNG-460667	9/1/2016	8/31/2021		N	2042	0	n1
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	CULLMAN/SNG CULLMAN-JEFFERSON #3 JE	95	823500	Zone 2	2042	0					
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	2042	0					
D	"CUTHBERT, CITY OF"	27004035	N	FT	451062-MFTSNG-451065	10/1/2005	8/31/2016	365	N	0	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CUTHBERT/SNG   RANDOLPH	95	960120	Zone 3	0	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	0	0					
D	DADEVILLE GAS BOARD	75450908	N	FT	451069-MFTSSNG-451074	11/1/1993	8/31/2016	365	N	522	0	
A	SEGAS ASSOCIATION	N										
P	MQ	DADEVILL/SNG   TALLAPOOSA	95	808400	Zone 2	522	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	371	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	151	0					
D	"DAK AMERICAS, LLC"	69819972	N	FT	451078-MFTSNG-451079	2/1/2011	9/7/2018	365	N	6800	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	6800	0					
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	1928	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	4872	0					
D	"DAK AMERICAS, LLC"	69819972	N	FT	451078-MFTSNG-451080	6/1/2011	9/7/2018	365	N	200	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	200	0					
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	200	0					
D	DALTON UTILITIES	102011525	N	FT	451083-MFTSNG-451086	11/1/1993	8/31/2016	365	N	13857	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	DALTON/SNG DALTON AREA WHITFIELD	95	940017	Zone 3	13857	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	13857	0					
D	DALTON UTILITIES	102011525	N	FT	451083-MFTSNG-451087	11/1/1998	8/31/2016	365	N	697	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	DALTON/SNG DALTON AREA WHITFIELD	95	940017	Zone 3	697	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	697	0					
D	DALTON UTILITIES	102011525	N	FT	451083-MFTSNG-451088	11/1/2000	8/31/2016	365	N	1021	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	DALTON/SNG DALTON AREA WHITFIELD	95	940017	Zone 3	1021	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	1021	0					
D	"DAWSON, CITY OF"	95844833	N	FT	451094-MFTSNG-451097	4/1/2009	9/30/2016	365	N	41	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	DAWSON/SNG   TERRELL	95	960130	Zone 3	41	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	41	0					
D	"DAWSON, CITY OF"	95844833	N	FT	451094-MFTSNG-451098	4/1/2009	8/31/2016	365	N	443	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	285	0					
P	MQ	DAWSON/SNG   TERRELL	95	960130	Zone 3	443	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	158	0					
D	DECATUR COUNTY BOARD OF	70332051	N	FT	451105-MFTSNG-451108	10/1/2005	8/31/2016	365	N	66	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	DEC CNTY/SNG   DECATUR	95	960140	Zone 3	66	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	22	0					
P	M2	WHISKEY/SNG UDP LAKE LAROSE IBERIA	95	631900	Zone 0	44	0					
D	"DECATUR, ALABAMA"	120323696	N	FT	451112-MFTSNG-462126	11/1/2017	10/31/2027		N	15000	0	n1
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	502	0					
P	MQ	DECATUR/SNG   MORGAN	95	843800	Zone 2	15000	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	1021	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	13477	0					
D	DEKALB-CHEROKEE COS. GAS DST.	75471292	N	FT	451116-MFTSNG-457294	3/1/2016	3/31/2018	365	N	6521	0	
A	SEGAS ASSOCIATION	N										
P	M2	BLK WARR/SNG UDP UDP BROOKWOOD JEFF	95	645800	Zone 2	0	0					
P	MQ	DEKALB-C/SNG DEKALB-CHEROKEE #1 ETO	95	843400	Zone 2	2002	0					
P	MQ	DEKALB-C/SNG DEKALB-CHEROKEE #2 ETO	95	843500	Zone 2	4519	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	990	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	69	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2462	0					
P	M2	SOUTHXPL/SNG DUNCANVILLE TUSCALOOSA	95	605400	Zone 2	3000	0					
D	"DOERUN, CITY OF"	31174451	N	FT	451141-MFTSNG-451144	10/1/2005	8/31/2016	365	N	87	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	87	0					
P	MQ	DOERUN/SNG   COLQUITT	95	960150	Zone 3	87	0					
D	"DONALSONVILLE, CITY OF"	93379683	N	FT	451150-MFTSNG-451153	10/1/2005	8/31/2016	365	N	45	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	45	0					
P	MQ	DONALSON/SNG   SEMINOLE	95	960160	Zone 3	45	0					
D	"DOUGLAS, CITY OF"	70326467	N	FT	451168-MFTSNG-451171	10/1/2005	9/30/2023		N	320	0	n1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	DOUGLAS/SNG   IRWIN	95	960170	Zone 3	320	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	320	0					
D	"DOUGLAS, CITY OF"	70326467	N	FT	451168-MFTSNG-451172	1/1/2010	8/31/2023		N	529	0	n1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	DOUGLAS/SNG   IRWIN	95	960170	Zone 3	529	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	267	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	231	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	31	0					
D	"DUBLIN, CITY OF"	79369047	N	FT	451191-MFTSNG-454570	6/1/2015	8/31/2016	365	N	3207	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	1001	0					
P	MQ	DUBLIN/SNG DUBLIN #1 BALDWIN	95	916600	Zone 3	422	0					
P	MQ	DUBLIN/SNG DUBLIN AREA BALDWIN	95	940028	Zone 3	2785	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2206	0					
D	"DUKE ENERGY FLORIDA, INC."	6923700	N	FT	451200-MFTSNG-451201	5/1/2007	4/30/2027		Y	50378	0	n1
P	MQ	FGT/SNG JACKSONVILLE CLAY	95	606300	Zone 3	50378	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	50378	0					
D	"EATONTON, CITY OF"	97389175	N	FT	451207-MFTSNG-451211	6/1/1995	8/31/2016	365	N	766	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	201	0					
P	MQ	EATONTON/SNG GRAY JONES	95	916400	Zone 3	766	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	314	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	251	0					
D	"EATONTON, CITY OF"	97389175	N	FT	451206-MFTSSNG-451212	6/1/1995	8/31/2016	365	N	0	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	EATONTON/SNG GRAY JONES	95	916400	Zone 3	0	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	0	0					
D	"EATONTON, CITY OF"	97389175	N	FT	451206-MFTSSNG-455583	4/1/2016	8/31/2016	365	N	352	0	x10
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	352	0					
P	MQ	SNG/SNG BOUNDARY-SOUTH-ZONE 0 UNKNO	95	252000	Zone 0	352	0					
D	"EDISON, CITY OF"	48542617	N	FT	451225-MFTSNG-451228	10/1/2005	8/31/2016	365	N	92	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	92	0					
P	MQ	EDISON/SNG   CALHOUN	95	960180	Zone 3	92	0					
D	"FITZGERALD WATER, LIGHT & BOND"	78115656	N	FT	451394-MFTSNG-451397	4/1/2009	9/30/2023		N	239	0	n1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	FITZGRLD/SNG   BEN HILL	95	960190	Zone 3	239	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	239	0					
D	"FITZGERALD WATER, LIGHT & BOND"	78115656	N	FT	451394-MFTSNG-451398	4/1/2009	8/31/2023		N	714	0	n1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	465	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	181	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	68	0					
P	MQ	FITZGRLD/SNG   BEN HILL	95	960190	Zone 3	714	0					
D	"FLORIDA GAS TRANSMISSION COMPANY, LLC"	6924518	Y	FT	451403-MFTSNG-451406	3/1/1995	8/31/2016	365	N	102100	0	
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	4143	0					
P	M2	BRIDGHOL/SNG WHITE CASTLE ASCENSION	95	664000	Zone 0	4119	0					
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	16037	0					
P	M2	ENTPROC/SNG BURNS POINT ST MARY	95	607200	Zone 0	10210	0					
P	MQ	FGT/SNG FRANKLINTON WASHINGTON	95	601000	Zone 0	102100	0					
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	3752	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	37748	0					
P	M2	TEX GAS/SNG KOSCIUSKO ATTALA	95	609000	Zone 1	662	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	25429	0					
D	"FORT GAINES, CITY OF"	26590745	N	FT	451417-MFTSNG-451421	9/1/2013	8/31/2016	365	N	40	0	
A	CITY SERVICES	N										
P	MQ	FT GAINS/SNG   CLAY	95	960200	Zone 3	40	0					
P	M2	WHISKEY/SNG UDP LAKE LAROSE IBERIA	95	631900	Zone 0	40	0					
D	FORT VALLEY UTILITIES COMMISSION	130810625	N	FT	451426-MFTSNG-451430	1/1/1991	8/31/2016	365	N	1711	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	231	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	708	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	757	0					
P	MQ	FT VALEY/SNG   CRAWFORD	95	914800	Zone 3	1711	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	15	0					
D	FORT VALLEY UTILITIES COMMISSION	130810625	N	FT	451425-MFTSSNG-451431	11/1/1993	8/31/2016	365	N	52	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	FT VALEY/SNG   CRAWFORD	95	914800	Zone 3	52	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	52	0					
D	FORT VALLEY UTILITIES COMMISSION	130810625	N	FT	451425-MFTSSNG-455585	4/1/2016	8/31/2016	365	N	0	0	x12
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	0	0					
P	MQ	SNG/SNG BOUNDARY-SOUTH-ZONE 0 UNKNO	95	252000	Zone 0	0	0					
D	"FULTONDALE, CITY OF"	40654634	N	FT	451439-MFTSSNG-451445	11/1/1993	8/31/2016	365	N	1828	0	
A	SEGAS ASSOCIATION	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	1571	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	188	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	69	0					
P	MQ	FULTNDAL/SNG FULTONDALE AREA JEFFER	95	940029	Zone 2	1828	0					
D	GEORGIA - PACIFIC (CEDAR SPRINGS)	924728	N	FT	451497-MFTSNG-451498	1/1/2010	8/31/2016	365	N	102	0	
A	"KOCH ENERGY SERVICES, LLC"	N										
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	GAPAC-CS/SNG   EARLY	95	960450	Zone 3	102	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	102	0					
D	GEORGIA - PACIFIC (CEDAR SPRINGS)	924728	N	FT	451497-MFTSNG-451499	9/1/2012	8/31/2017	365	N	4084	0	
A	"KOCH ENERGY SERVICES, LLC"	N										
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	1242	0					
P	MQ	GAPAC-CS/SNG   EARLY	95	960450	Zone 3	4084	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	2842	0					
D	GEORGIA PACIFIC	40685265	N	FT	451502-MFTSNG-451503	11/1/1998	8/31/2016	365	N	2757	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG SAVANNAH NORTH AREA CHATHAM	95	940049	Zone 3	542	0					
P	MQ	AGL/SNG SAVANNAH SOUTH AREA CHATHAM	95	940050	Zone 3	683	0					
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	2757	0					
P	MQ	MNTICELO/SNG   JONES	95	916200	Zone 3	1532	0					
D	"GORDO, TOWN OF"	15617210	N	FT	451505-MFTSSNG-451510	11/1/1993	8/31/2016	365	N	350	0	
A	SEGAS ASSOCIATION	N										
P	MQ	GORDO/SNG   PICKENS	95	819600	Zone 2	350	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	247	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	101	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	2	0					
D	"GRANTVILLE, CITY OF"	69223840	N	FT	451516-MFTSNG-451520	9/1/1996	8/31/2016	365	N	102	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	102	0					
P	MQ	GRANTVIL/SNG   COWETA	95	902200	Zone 2	102	0					
D	"GRANTVILLE, CITY OF"	69223840	N	FT	451516-MFTSNG-451521	1/1/2014	5/31/2019		N	75	0	n1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	63	0					
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	12	0					
P	MQ	GRANTVIL/SNG   COWETA	95	902200	Zone 2	75	0					
D	"GRANTVILLE, CITY OF"	69223840	N	FT	451515-MFTSSNG-451522	9/1/1996	8/31/2016	365	N	0	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	0	0					
P	MQ	GRANTVIL/SNG   COWETA	95	902200	Zone 2	0	0					
D	"GRANTVILLE, CITY OF"	69223840	N	FT	451515-MFTSSNG-455587	4/1/2016	8/31/2016	365	N	62	0	x14
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	62	0					
P	MQ	SNG/SNG BOUNDARY-SOUTH-ZONE 0 UNKNO	95	252000	Zone 0	62	0					
D	"GRAPHIC PACKAGING INTERNATIONAL, INC."	149897654	N	FT	451529-MFTSNG-451530	11/1/1997	8/31/2016	365	N	1021	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG MACON WEST AREA MONROE	95	940055	Zone 3	1021	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	1021	0					
D	"GRAPHIC PACKAGING INTERNATIONAL, INC."	149897654	N	FT	451529-MFTSNG-451531	9/1/2013	8/31/2016	365	N	307	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG MACON WEST AREA MONROE	95	940055	Zone 3	307	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	307	0					
D	"GRAPHIC PACKAGING INTERNATIONAL, INC."	149897654	N	FT	451529-MFTSNG-466874	1/1/2018	8/31/2020		N	3000	0	n1
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG AUGUSTA AREA RICHMOND	95	940016	Zone 3	3000	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	3000	0					
D	GRAYSVILLE MUNICIPAL GAS SYSTEM	1513993	N	FT	451534-MFTSNG-451539	11/1/1993	8/31/2016	365	N	2751	0	
A	SEGAS ASSOCIATION	N										
P	MQ	GRAYSVIL/SNG GRAYSVILLE AREA JEFFER	95	940030	Zone 2	2751	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2075	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	676	0					
D	HARTSELLE UTILITIES	161385018	N	FT	451553-MFTSNG-451554	1/1/2007	12/31/2016	365	N	345	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	M2	BLK WARR/SNG UDP UDP BROOKWOOD JEFF	95	645800	Zone 2	345	0					
P	MQ	HARTSELL/SNG   MORGAN	95	844600	Zone 2	345	0					
D	"HAVANA, TOWN OF"	80686694	N	FT	451556-MFTSNG-451559	1/1/2010	8/31/2016	365	N	75	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	68	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	7	0					
P	MQ	HAVANA/SNG   GADSDEN	95	960210	Zone 3	75	0					
D	"HAWKINSVILLE, CITY OF"	942454869	N	FT	451564-MFTSNG-451567	11/1/1993	8/31/2016	365	N	752	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	535	0					
P	MQ	HAWKINSV/SNG   BIBB	95	915002	Zone 3	446	0					
P	MQ	HAWKINSV/SNG HAWKINSVILLE #2 BLECKL	95	915202	Zone 3	306	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	217	0					
D	"HOGANSVILLE, CITY OF"	24373177	N	FT	451582-MFTSSNG-451590	9/1/1996	8/31/2016	365	N	0	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	0	0					
P	MQ	HOGANSVI/SNG   TROUP	95	902000	Zone 2	0	0					
D	"HOGANSVILLE, CITY OF"	24373177	N	FT	451583-MFTSNG-454609	6/1/2015	8/31/2016	365	N	459	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	74	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	20	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	11	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	17	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	267	0					
P	MQ	HOGANSVI/SNG   TROUP	95	902000	Zone 2	459	0					
P	M2	PELICO/SNG   BIENVILLE	95	601500	Zone 0	70	0					
D	"HOGANSVILLE, CITY OF"	24373177	N	FT	451582-MFTSSNG-455589	4/1/2016	8/31/2016	365	N	131	0	x16
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	131	0					
P	MQ	SNG/SNG BOUNDARY-SOUTH-ZONE 0 UNKNO	95	252000	Zone 0	131	0					
D	HONDA OF SOUTH CAROLINA	8860389	N	FT	451597-MFTSNG-451598	11/1/2010	8/31/2016	365	N	150	0	
A	DELTA ENERGY LLC	N										
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	150	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	150	0					
D	HUNTSVILLE UTILITIES GAS SYSTEM CITY OF	41561291	N	FT	451603-MFTSNG-451605	1/8/2000	12/31/2019		N	40840	0	n1
P	M2	AETHON/SNG UDP AETHON DE SOTO	95	651350	Zone 0	15315	0					
P	M2	ENTPROC/SNG BURNS POINT ST MARY	95	607200	Zone 0	25525	0					
P	MQ	HUNTSVIL/SNG HUNTSVILLE AREA LIMEST	95	940044	Zone 2	40840	0					
D	HUNTSVILLE UTILITIES GAS SYSTEM CITY OF	41561291	N	FT	451603-MFTSNG-451606	4/1/2002	12/31/2019		N	715	0	n1
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	715	0					
P	MQ	HUNTSVIL/SNG HUNTSVILLE AREA LIMEST	95	940044	Zone 2	715	0					
D	HUNTSVILLE UTILITIES GAS SYSTEM CITY OF	41561291	N	FT	451603-MFTSNG-451607	4/1/2003	12/31/2019		N	3164	0	n1
P	MQ	HUNTSVIL/SNG HUNTSVILLE AREA LIMEST	95	940044	Zone 2	3164	0					
P	M2	TGP/SNG PUGH MISSISSIPPI EXCH LOWND	95	420294	Zone 1	3164	0					
D	"IMERYS REFRACTORY MINERALS USA, INC."	618509079	N	FT	450724-MFTSNG-450725	10/1/2005	9/30/2016	365	N	798	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	ANDRSVLE/SNG MULCOA AREA SUMTER	95	960040	Zone 3	798	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	399	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	399	0					
D	"IMERYS REFRACTORY MINERALS USA, INC."	618509079	N	FT	450724-MFTSNG-450726	10/1/2011	8/31/2016	365	N	2000	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG MACON WEST AREA MONROE	95	940055	Zone 3	2000	0					
