H	ANR PIPELINE COMPANY	C000623	4/2/2018	O	4/1/2018	 T 	 T 	 T 	Kay Dennison832-320-5336			
P	M2	REX SHELBYVILLE                	95	742252	ME3A	8	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	126511	11/1/2015	3/31/2019	 	N	17	0	0
P	MQ	FREMONT READFIELD              	95	139405	WI7F	17	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	17	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	126512	11/1/2015	3/31/2019	 	N	50	0	0
P	MQ	WISCONSIN RAPIDS               	95	28883	WI7X	50	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	50	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	126513	11/1/2015	3/31/2019	 	N	126	0	0
P	MQ	CHILTON                        	95	28662	WI7I	126	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	126	0	0				
D	INTERSTATE POWER AND LIGHT COMPANY                                         	6940522	N	FSS  	126520	4/1/2016	3/31/2021	 	N	0	1209800	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1209800	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	6913	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	24196	0				
D	INTERSTATE POWER AND LIGHT COMPANY                                         	6940522	N	NNS  	126521	4/1/2016	3/31/2021	 	N	5000	0	0
P	MQ	IES UTILITIES-GRP 1            	95	139241	MW6K	5000	0	0				
D	INTERSTATE POWER AND LIGHT COMPANY                                         	6940522	N	ETS  	126522	11/1/2015	10/31/2020	 	N	9000	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	9000	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	9000	0	0				
D	"ASCENT RESOURCES - UTICA, LLC                                              "	79174372	N	FTS-1	126523	11/1/2015	10/31/2045	 	N	69930	0	0
A	TENASKA MARKETING VENTURES;                                                	N										
A	TENASKA MARKETING VENTURES;                                                	N										
A	TENASKA MARKETING VENTURES;                                                	N										
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	SHADYSIDE/SONAT (DEL)          	95	10369	SE2A	69930	0	0				
P	M2	WESTRICK                       	95	513105	ME3E	69930	0	0				
D	TENNESSEE VALLEY AUTHORITY                                                 	1883032	N	FTS-3	126586	11/1/2017	11/13/2037	 	Y	200000	0	8334
P	M2	S E HEADSTATION                	95	103565	SE2A	200000	0	8334				
P	MQ	COLLIERVILLE GATE              	95	416969	ME2C	200000	0	8334				
D	"INDIANA GAS COMPANY, INC.                                                  "	6938211	N	ETS  	126587	4/1/2017	3/31/2027	 	Y	30000	0	0
A	"EXELON GENERATION COMPANY, LLC                                             "	N										
P	MQ	INDIANA GS-GRP 1               	95	139240	ME3C	30000	0	0				
P	M2	WESTRICK                       	95	513105	ME3E	30000	0	0				
D	UNITED STATES GYPSUM COMPANY                                               	5212600	N	FTS-1	126589	4/1/2016	3/31/2019	 	N	5500	0	0
A	"CIMA ENERGY, LP                                                            "	N										
P	M2	S W HEADSTATION                	95	103702	SW4A	5500	0	0				
P	MQ	ANR JOLIET HUB                 	95	243097	MI7F	5500	0	0				
D	BP ENERGY COMPANY                                                          	625275755	N	FTS-1	126590	1/1/2016	12/31/2019	 	N	910	0	0
P	MQ	BAXTER HEALTH INT              	95	22975	ME2C	910	0	0				
P	M2	FAYETTEVILLE EXPRESS           	95	803184	ME2C	910	0	0				
D	"TWIN EAGLE RESOURCE MANAGEMENT, LLC                                        "	965177889	N	FTS-1	126599	9/11/2015	3/31/2029	 	N	0	0	0
P	MQ	GREEN BAY                      	95	28661	WI7A	0	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	0	0	0				
D	MACQUARIE ENERGY LLC                                                       	798846036	N	FTS-1	126736	11/1/2015	10/31/2018	 	N	6000	0	0
P	M2	S E HEADSTATION                	95	103565	SE2A	6000	0	0				
P	MQ	ST LANDRY/FL INT               	95	322625	SE2A	6000	0	0				
D	WISCONSIN POWER AND LIGHT COMPANY                                          	7946452	N	FSS  	126738	4/1/2016	3/31/2021	 	N	0	2019960	0
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC                                        "	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	2019960	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	11543	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	26932	0				
D	JACKSON ENERGY AUTHORITY                                                   	38389347	N	FTS-1	127002	10/1/2016	9/30/2031	 	N	4500	0	0
A	"CENTERPOINT ENERGY SERVICES, INC.                                          "	N										
P	M2	S E HEADSTATION                	95	103565	SE2A	4500	0	0				
P	MQ	HUMBOLDT LAKE ROAD             	95	1402187	ME2C	4500	0	0				
D	IOWA FERTILIZER COMPANY LLC                                                	55627973	N	FTS-1	127009	2/1/2016	1/31/2036	 	N	81000	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	81000	0	0				
P	MQ	BURKES RUN                     	95	1394871	MW6J	81000	0	0				
D	NORTHERN ILLINOIS GAS COMPANY D/B/A NICOR GAS COMPANY                      	6927792	N	ETS  	127096	11/1/2016	10/31/2018	 	N	110000	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	110000	0	0				
P	MQ	NICOR GRP 1                    	95	395744	WI7A	110000	0	0				
D	ELWOOD ENERGY LLC                                                          	72640738	N	FTS-3	127105	11/1/2016	1/26/2020	 	N	0	0	0
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	0	0	0				
P	MQ	BRANDON ROAD DELIVERY          	95	1402545	MI7V	0	0	0				
D	"DOMINION ENERGY SOLUTIONS, INC.                                            "	129911954	N	FTS-1	127183	4/1/2016	3/31/2019	 	N	500	0	0
A	"DOMINION ENERGY FUEL SERVICES, INC.                                        "	N										
P	MQ	LEBANON/RED LION               	95	108796	ME3B	500	0	0				
P	M2	ANR JOLIET HUB                 	95	243097	MI7F	500	0	0				
D	"DOMINION ENERGY SOLUTIONS, INC.                                            "	129911954	N	FTS-1	127184	4/1/2016	3/31/2019	 	N	1500	0	0
A	"DOMINION ENERGY FUEL SERVICES, INC.                                        "	N										
P	M2	ANR JOLIET HUB                 	95	243097	MI7F	1500	0	0				
P	MQ	LEBANON/DERBY - VECTREN        	95	295956	ME3B	1500	0	0				
D	"DIRECT ENERGY BUSINESS MARKETING, LLC                                      "	78790103	N	NNS  	127649	4/1/2016	3/31/2019	 	N	880	0	0
P	MQ	KEOKUK                         	95	4741	MW6J	880	0	0				
D	"DTE ENERGY TRADING, INC.                                                   "	179989231	N	FTS-1	127692	11/1/2017	3/31/2021	 	N	0	0	0
P	MQ	SWANTON                        	95	139401	MI7A	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"DTE ENERGY TRADING, INC.                                                   "	179989231	N	FTS-1	127693	4/1/2017	10/31/2020	 	N	7601	0	0
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	7601	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	7601	0	0				
D	"DTE ENERGY TRADING, INC.                                                   "	179989231	N	FSS  	127694	4/1/2017	3/31/2021	 	N	0	1512250	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1512250	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	7561	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	30245	0				
D	"UNITED WISCONSIN GRAIN PRODUCERS, LLC                                      "	159166276	N	FTS-1	127894	11/1/2016	10/31/2018	 	N	2000	0	0
A	"EDF ENERGY SERVICES, LLC                                                   "	N										
P	MQ	RANDOLPH                       	95	28670	WI7U	2000	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	2000	0	0				
D	"EDF ENERGY SERVICES, LLC                                                   "	788707847	N	FTS-1	127959	11/1/2016	10/31/2019	 	N	200	0	0
P	MQ	WAUSAU                         	95	28747	WI7P	200	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	200	0	0				
D	"SEQUENT ENERGY MANAGEMENT, L.P.                                            "	612075846	N	FSS  	128146	8/1/2016	3/31/2019	 	N	0	5513850	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	5513850	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	59933	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	61265	0				
D	DOMTAR A.W. LLC                                                            	828230552	N	FTS-1	128190	11/1/2016	10/31/2019	 	N	12000	0	0
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC                                "	N										
P	MQ	WISCONSIN RAPIDS               	95	28883	WI7X	12000	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	12000	0	0				
D	"ROQUETTE AMERICA, INC.                                                     "	627984446	N	FTS-3	128286	4/1/2017	3/31/2020	 	N	13000	0	542
A	SPIRE MARKETING INC.                                                       	N										
P	MQ	KEOKUK                         	95	4741	MW6J	13000	0	542				
P	M2	S W HEADSTATION                	95	103702	SW4A	13000	0	542				
D	WISCONSIN POWER AND LIGHT COMPANY                                          	7946452	N	FSS  	128287	4/1/2017	3/31/2022	 	N	0	4469525	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	4469525	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	25540	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	74492	0				
D	"TOWN OF SOMERVILLE, TENNESSEE                                              "	99181786	N	STS  	128294	4/1/2017	3/31/2019	 	N	4500	123750	0
A	TENNESSEE ENERGY ACQUISITION CORPORATION                                   	N										
P	M2	S E HEADSTATION                	95	103565	SE2A	2025	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	2475	123750	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	2475	123750	0				
P	MQ	SOMERVILLE GROUP 1             	95	267228	ME2C	4500	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128311	10/1/2016	3/31/2019	 	N	0	0	0
P	MQ	MADISON                        	95	36867	WI7U	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128312	10/1/2016	3/31/2019	 	N	0	0	0
P	MQ	BELOIT                         	95	36934	WI7Z	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128313	10/1/2016	3/31/2019	 	N	0	0	0
P	MQ	JANESVILLE WI                  	95	40304	WI7W	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128314	10/1/2016	3/31/2019	 	N	0	0	0
P	MQ	MCFARLAND                      	95	28676	WI7W	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128315	10/1/2016	3/31/2019	 	N	0	0	0
P	MQ	WISCONSIN RAPIDS               	95	28883	WI7X	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128316	10/1/2016	3/31/2019	 	N	0	0	0
P	MQ	WAUPACA                        	95	28859	WI7T	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128317	10/1/2016	3/31/2019	 	N	0	0	0
P	MQ	MARSHFIELD WI                  	95	28875	WI7Q	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128318	10/1/2016	3/31/2019	 	N	0	0	0
P	MQ	RHINELANDER                    	95	28774	WI7P	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128319	10/1/2016	3/31/2019	 	N	0	0	0
P	MQ	SHEBOYGAN                      	95	28831	WI7M	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128321	10/1/2016	3/31/2019	 	N	1400	0	0
P	MQ	STEVENS POINT                  	95	28794	WI7T	1400	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1400	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128408	10/1/2016	3/31/2019	 	N	2778	0	0
P	MQ	FOND DU LAC                    	95	28702	WI7H	2778	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	2778	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128418	10/1/2016	3/31/2019	 	N	663	0	0
P	MQ	JACKSON                        	95	28836	WI7D	663	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	663	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128423	10/1/2016	3/31/2019	 	N	3500	0	0
P	MQ	SOUTH WAUSAU                   	95	28743	WI7P	3500	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	3500	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128428	10/1/2016	3/31/2019	 	N	550	0	0
P	MQ	MOSINEE                        	95	28741	WI7P	550	0	0				
P	M2	WILL COUNTY INT                	95	246067	MI7V	550	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128429	10/1/2016	3/31/2019	 	N	489	0	0
P	MQ	SHAWANO                        	95	28825	WI7J	489	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	489	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	128430	10/1/2016	3/31/2019	 	N	2000	0	0
P	MQ	WISCONSIN RAPIDS               	95	28883	WI7X	2000	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	2000	0	0				
D	"SEMCO ENERGY, INC., DBA SEMCO ENERGY GAS COMPANY                           "	6960553	N	ETS  	128531	4/1/2017	3/31/2021	 	N	11172	0	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	MQ	SEM GAS - GRP 1                	95	139249	MI7C	11172	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	11172	0	0				
D	INTERSTATE POWER AND LIGHT COMPANY                                         	6940522	N	FSS  	128539	4/1/2018	3/31/2028	 	N	0	3528600	0
A	"TENASKA GAS STORAGE, LLC                                                   "	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3528600	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	20163	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	70572	0				
D	INTERSTATE POWER AND LIGHT COMPANY                                         	6940522	N	FTS-1	128540	4/1/2018	10/31/2027	 	N	20362	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	20362	0	0				
P	M2	ANR JOLIET HUB                 	95	243097	MI7F	20362	0	0				
D	INTERSTATE POWER AND LIGHT COMPANY                                         	6940522	N	FTS-1	128541	4/1/2018	3/31/2028	 	N	50000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	50000	0	0				
P	MQ	YOUNGS ROAD DELIVERY           	95	523090	MI7V	50000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	128708	11/1/2016	7/31/2024	 	N	5000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	MARSHFIELD WI                  	95	28875	WI7Q	5000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	5000	0	0				
D	INTERSTATE POWER AND LIGHT COMPANY                                         	6940522	N	FTS-1	128775	11/1/2016	3/31/2023	 	N	3000	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	3000	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	3000	0	0				
D	APACHE CORPORATION                                                         	6961551	N	PTS-2	128788	12/1/2016	3/31/2020	 	N	22000	0	0
P	M2	CUSTER CITY/TRANSOK REC        	95	16842	SW3C	22000	0	0				
P	MQ	S W HEADSTATION                	95	103702	SW4A	22000	0	0				
D	"CITY OF STANBERRY, MISSOURI                                                "	51688745	N	STS  	128874	4/1/2017	3/31/2020	 	N	1164	32000	0
A	UTILITY GAS MANAGEMENT                                                     	N										
P	MQ	STANBERRY                      	95	12976	MW6A	1164	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	522	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	642	32000	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	642	32000	0				
D	CONSUMERS ENERGY COMPANY                                                   	6959803	N	FTS-3	128952	1/1/2017	10/31/2018	 	N	8000	0	500
A	TENASKA MARKETING VENTURES                                                 	N										
P	M2	ANR JOLIET HUB                 	95	243097	MI7F	8000	0	500				
P	MQ	ZEELAND INTERCONNECT           	95	282436	MI7P	8000	0	500				
D	"ASCENT RESOURCES - UTICA, LLC                                              "	79174372	N	FTS-1	129006	7/1/2017	10/31/2045	 	N	60469	0	0
A	"ECO-ENERGY, LLC;                                                           "	N										
A	"EDF TRADING NORTH AMERICA, LLC;                                            "	N										
A	"DTE ENERGY TRADING, INC.                                                   "	N										
P	MQ	S E CDP (TRANSMISSION)         	95	345116	SE1A	60469	0	0				
P	M2	WESTRICK                       	95	513105	ME3E	60469	0	0				
D	UPPER MICHIGAN ENERGY RESOURCES CORPORATION                                	80441789	N	ETS  	129019	2/1/2017	3/31/2019	 	Y	9600	0	0
A	WISCONSIN PUBLIC SERVICE CORPORATION                                       	N										
P	MQ	WPSC - GROUP 1                 	95	139258	WI7K	9600	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	9600	0	0				
D	GREEN PLAINS TRADE GROUP LLC                                               	848984915	N	FTS-1	129022	11/1/2017	3/31/2019	 	N	0	0	0
P	MQ	DETROIT A (DELIVERY)           	95	40892	MI7R	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	GREEN PLAINS TRADE GROUP LLC                                               	848984915	N	FSS  	129023	4/1/2017	3/31/2019	 	N	0	5988510	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	5988510	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	34220	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	66539	0				
D	"EDF TRADING NORTH AMERICA, LLC                                             "	130385763	N	FTS-1	129087	11/1/2017	3/31/2019	 	N	0	0	0
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
P	MQ	ANR JOLIET HUB                 	95	243097	MI7F	0	0	0				
D	"EDF TRADING NORTH AMERICA, LLC                                             "	130385763	N	FSS  	129088	4/1/2017	3/31/2019	 	N	0	1512250	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1512250	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	8641	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	30245	0				
D	"SHELL ENERGY NORTH AMERICA (US), L.P.                                      "	837565548	N	FTS-1	129163	4/1/2017	3/31/2022	 	N	100000	0	0
P	MQ	RIVERWAY (TO BRIDGELINE)       	95	42593	SE2B	100000	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	100000	0	0				
D	"DTE ENERGY TRADING, INC.                                                   "	179989231	N	FTS-1	129167	4/1/2017	3/31/2019	 	N	31000	0	0
P	MQ	RIVERWAY (TO BRIDGELINE)       	95	42593	SE2B	31000	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	31000	0	0				
D	CONOCOPHILLIPS COMPANY                                                     	1368265	N	FTS-1	129178	4/1/2017	10/31/2018	 	N	10000	0	0
P	MQ	RIVERWAY (TO BRIDGELINE)       	95	42593	SE2B	10000	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	10000	0	0				
D	TIDAL ENERGY MARKETING (U.S.) L.L.C.                                       	39664953	N	FSS  	129394	4/1/2017	10/31/2018	 	N	0	500040	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	500040	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	16130	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	5556	0				
D	NJR ENERGY SERVICES COMPANY                                                	25715165	N	FTS-1	129409	4/1/2017	3/31/2019	 	N	15455	0	0
P	MQ	RIVERWAY (TO BRIDGELINE)       	95	42593	SE2B	15455	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	15455	0	0				
D	"KOCH ENERGY SERVICES, LLC                                                  "	832703297	N	FSS  	129485	4/1/2017	7/31/2018	 	N	0	1000000	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1000000	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	32258	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	11158	0				
D	NORTH SHORE GAS COMPANY                                                    	6936306	N	FSS  	129493	4/1/2018	3/31/2021	 	N	0	3629400	0
A	THE PEOPLES GAS LIGHT AND COKE COMPANY                                     	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3629400	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	20739	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	90735	0				
D	"UNITED ENERGY TRADING, LLC                                                 "	119162860	N	FSS  	129544	4/12/2017	9/30/2018	 	N	0	305000	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	305000	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1743	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3389	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129655	6/1/2017	10/31/2019	 	Y	150	0	0
P	MQ	MCFARLAND                      	95	28676	WI7W	150	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	150	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129656	6/1/2017	10/31/2019	 	Y	500	0	0
P	MQ	MCFARLAND                      	95	28676	WI7W	500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	500	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129657	6/1/2017	10/31/2019	 	Y	100	0	0
P	MQ	FREEDOM                        	95	28780	WI7G	100	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	100	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129658	6/1/2017	10/31/2019	 	Y	350	0	0
P	MQ	NEW LONDON WI                  	95	28862	WI7F	350	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	350	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129659	6/1/2017	10/31/2019	 	Y	100	0	0
P	MQ	ADAMS WI                       	95	28865	WI7U	100	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	100	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129663	6/1/2017	10/31/2019	 	Y	100	0	0
P	MQ	BEAR CREEK                     	95	28855	WI7J	100	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	100	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129666	6/1/2017	10/31/2019	 	Y	350	0	0
P	MQ	RHINELANDER                    	95	28774	WI7P	350	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	350	0	0				
D	BP CANADA ENERGY MARKETING CORP.                                           	248799413	N	FTS-1	129742	7/1/2017	5/31/2019	 	N	2013	0	0
P	M2	DETROIT A & B (RECEIPT)        	95	48642	MI7R	2013	0	0				
P	MQ	ROBERTS CO NO 1 DEL.           	95	736566	SW1B	2013	0	0				
D	CITY OF DULUTH                                                             	77627883	N	FSS  	129745	4/1/2018	3/31/2021	 	N	0	258825	0
A	"UNITED ENERGY TRADING, LLC                                                 "	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	258825	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1479	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3451	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129747	7/1/2017	10/31/2018	 	N	500	0	0
P	MQ	STOUGHTON                      	95	28684	WI7W	500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	500	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129748	7/1/2017	10/31/2018	 	N	500	0	0
P	MQ	COLUMBUS                       	95	28672	WI7V	500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	500	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129749	7/1/2017	10/31/2020	 	N	1000	0	0
P	MQ	PLYMOUTH                       	95	28829	WI7M	1000	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1000	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129750	7/1/2017	10/31/2018	 	N	3000	0	0
P	MQ	VALDERS                        	95	28738	WI7M	3000	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	3000	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129751	7/1/2017	10/31/2018	 	N	1500	0	0
P	MQ	MERRILL                        	95	28732	WI7P	1500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	1500	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129752	7/1/2017	10/31/2018	 	N	2392	0	0
P	MQ	MARINETTE                      	95	28761	WI7N	2392	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	2392	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129753	7/1/2017	10/31/2020	 	N	2500	0	0
P	MQ	MANITOWOC                      	95	28736	WI7M	2500	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	2500	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129754	7/1/2017	10/31/2018	 	N	2000	0	0
P	MQ	WINCHESTER (WEP SALES)         	95	100052	WI7H	2000	0	0				
P	M2	WILL COUNTY INT                	95	246067	MI7V	2000	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129755	7/1/2017	10/31/2018	 	N	500	0	0
P	MQ	TOMAHAWK                       	95	28734	WI7P	500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	500	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	129756	7/1/2017	10/31/2018	 	N	500	0	0
