H	"EL PASO NATURAL GAS COMPANY, L.L.C."	C000967	4/2/2018	O	4/1/2018	T		Sherry Saunders 719-520-3711				
P	MQ	UNSGAS/EPNG (DCITZHLJ) HOLBROOK-JOS	95	300803	ARIZONA - NO BASIN	0	0					
P	MQ	UNSGAS/EPNG (DCITZNOG) NOGALES AREA	95	300808	ARIZONA - NO BASIN	4197	0					
P	MQ	UNSGAS/EPNG (DCITZSWF) SOUTHWEST FO	95	330793	ARIZONA - NO BASIN	0	0					
D	"VILLAGE FARMS, L.P."	930691592	N	FT-1	FT36H000-FT1EPNG	4/1/2012	3/31/2021		N	150	0	n1
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
A	LEGEND ENERGY ADVISORS LLC	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	150	0					
P	MQ	VFMONAH/EPNG (DVILFARM) VILLAGE FAR	95	334872	TEXAS - PERMIAN BASI	150	0					
D	"WPX ENERGY MARKETING, LLC"	824678478	N	FT-1	FT3HF000-FT1EPNG	11/1/2016	11/30/2024		Y	8000	0	n1
P	MQ	ATMOS-TX/EPNG (ILONEWA) LONESTAR WA	95	301621	TEXAS - PERMIAN BASI	8000	0					
P	M2	DBMPL/EPNG (IRAMSEYS) RAMSEY SO REC	95	800908	TEXAS - PERMIAN BASI	8000	0					
D	"WPX ENERGY MARKETING, LLC"	824678478	N	FT-1	FT3HG000-FT1EPNG	11/3/2017	12/2/2024		Y	55000	0	n1
P	MQ	ATMOS-TX/EPNG (ILONEWA) LONESTAR WA	95	301621	TEXAS - PERMIAN BASI	55000	0					
P	M2	DBMPL/EPNG (IRAMSEYS) RAMSEY SO REC	95	800908	TEXAS - PERMIAN BASI	55000	0					
D	"WTG GAS MARKETING, INC."	179577689	N	FT-1	FT2T4000-FT1EPNG	1/1/2009	12/31/2023		N	12000	0	n1
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	7000	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	770	0					
P	MQ	NNG/EPNG (INN30PLA) EPNG TO NN PLAI	95	314430	TEXAS - PERMIAN BASI	7000	0					
P	MQ	OPLCTX/EPNG (IOASISWA) OASIS WAHA P	95	301701	TEXAS - PERMIAN BASI	770	0					
P	M2	WTGJAMES/EPNG (ISUNJAME) JAMESON PL	95	377078	TEXAS - PERMIAN BASI	4230	0					
P	MQ	WTGSPM/EPNG (DNUSUPCO) NUSTAR UPTON	95	314999	TEXAS - PERMIAN BASI	230	0					
P	MQ	WTGSPM/EPNG (DWILSDEL) WILSHIRE TOT	95	301908	TEXAS - PERMIAN BASI	1500	0					
P	MQ	WTGSPM/EPNG (DWILSDL1) NUSTAR DEL U	95	314943	TEXAS - PERMIAN BASI	2500	0					
D	"WTG GAS MARKETING, INC."	179577689	N	FT-1	FT2T7000-FT1EPNG	1/1/2009	12/31/2019		N	1920	0	n1
P	M2	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	1920	0					
P	MQ	GASDEAGU/EPNG (ICFEAGUA) EL FRESNAL	95	398666	WILLCOX LATERAL	1920	0					
D	"WTG GAS MARKETING, INC."	179577689	N	FT-1	FT2TC000-FT1EPNG	1/15/2009	10/31/2022		N	0	0	n1
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
P	MQ	GSNATIND/EPNG (IENERDUG) DUCTOS DE	95	320613	ARIZONA - NO BASIN	0	0					
D	"WTG GAS MARKETING, INC."	179577689	N	FT-1	FT3AZ000-FT1EPNG	11/1/2013	10/31/2028		N	0	0	n1
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
P	MQ	SOCETS/EPNG (DSCALEHR) SOCAL EHRENB	95	301016	CALIFORNIA - NO BASI	0	0					
D	"WTG GAS MARKETING, INC."	179577689	N	FT-1	FT3G7000-FT1EPNG	1/1/2016	12/31/2020		N	50000	0	n1
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	50000	0					
P	M2	WTGGAS/EPNG (IWTGBUCK) BUCKHORN REC	95	801264	TEXAS - PERMIAN BASI	15000	0					
P	M2	WTGSPM/EPNG (IBRCOBND) BRONCO BENED	95	801185	TEXAS - PERMIAN BASI	25000	0					
P	M2	WTGSPM/EPNG (IHYBENDM) PECOS BENEDU	95	302304	TEXAS - PERMIAN BASI	10000	0					
D	"WTG GAS MARKETING, INC."	179577689	N	FT-1	610917-FT1EPNG	4/1/2018	3/31/2019		N	10000	0	n1
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	10000	0					
P	M2	WTGSPM/EPNG (IBRCOBND) BRONCO BENED	95	801185	TEXAS - PERMIAN BASI	10000	0					
D	ZIA NATURAL GAS COMPANY	79341051	N	FT-1	FT34L000-FT1EPNG	8/1/2011	7/31/2031		N	75	0	n1
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	75	0					
P	MQ	ZIA/EPNG (DJAL JAL) JAL GAS LEA	95	300910	NEW MEXICO - PERMIAN	75	0					
D	ZIA NATURAL GAS COMPANY	79341051	N	FT-1	FT34N000-FT1EPNG	8/1/2011	7/31/2031		N	2500	0	n1
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	2450	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	50	0					
P	MQ	ZIA/EPNG (DCCNGCPT) CAPITAN STATION	95	331430	NEW MEXICO - NO BASI	2500	0					
D	"APACHE NITROGEN PRODUCTS, INC."	8399263	N	FT-2	97VV-FT2AEPNG	9/1/1991	8/31/2013	365	N	4035	0	x2
A	CHEVRON U.S.A. INC.	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	2426	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	321	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	1124	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	164	0					
P	MQ	APANITPR/EPNG (DAPOWWIL) CURTISS PL	95	330311	ARIZONA - NO BASIN	4035	0					
D	CHEMICAL LIME COMPANY OF ARIZONA	160858601	N	FT-2	982F-FT2AEPNG	10/1/1991	9/30/2011	365	N	0	0	x3
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	0	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	0	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	0	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	0	0					
P	MQ	CHEMLIME/EPNG (DPAULWIL) DOUGLAS PL	95	330131	ARIZONA - NO BASIN	0	0					
D	"CITY OF BENSON, ARIZONA"	608135042	N	FT-2	982B-FT2AEPNG	10/1/1991	9/30/2011	365	N	396	0	x4
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	239	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	31	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	110	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	16	0					
P	MQ	CTYBENAZ/EPNG (DBENSTUS) BENSON CG	95	300787	ARIZONA - NO BASIN	396	0					
D	CITY OF DEMING	88313606	N	FT-2	982H-FT2AEPNG	10/1/1991	9/30/2011	365	N	3936	0	x10
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	2366	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	313	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	1097	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	160	0					
P	MQ	CTYOFDEM/EPNG (DDEM AFT) DEMING CG	95	300826	NEW MEXICO - NO BASI	3936	0					
D	"CITY OF DENVER CITY, TEXAS"	192197390	N	FT-2	FX227000-FT2EPNG	12/1/2014	11/30/2024		N	223	0	x18/n1
A	"WTG GAS MARKETING, INC."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	133	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	18	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	63	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	9	0					
P	MQ	CTYDENTX/EPNG (DDENVJAL) DENVER CIT	95	330804	TEXAS - PERMIAN BASI	223	0					
D	CITY OF LORDSBURG	6147680	N	FT-2	FX22B000-FT2EPNG	3/1/2015	2/28/2025		N	625	0	x22/n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	376	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	50	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	174	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	25	0					
P	MQ	CTYLDBRG/EPNG (DLORDAFT) LORDSBURG	95	330056	NEW MEXICO - NO BASI	625	0					
D	"CITY OF MORTON, TEXAS"	99744997	N	FT-2	FX226000-FT2EPNG	11/1/2014	10/31/2024		N	133	0	x17/n1
A	"WTG GAS MARKETING, INC."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	80	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	11	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	37	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	5	0					
P	MQ	MRNT/EPNG (DMORTDIS) MORTON CITY GA	95	330727	TEXAS - PERMIAN BASI	133	0					
D	"CITY OF PLAINS, TEXAS"	170960439	N	FT-2	FX225000-FT2EPNG	11/1/2014	10/31/2024		N	70	0	x16/n1
A	"WTG GAS MARKETING, INC."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	41	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	6	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	20	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	3	0					
P	MQ	CTYPLTEX/EPNG (DPLNSDIS) PLAINS CIT	95	330662	TEXAS - PERMIAN BASI	70	0					
D	"CITY OF SAFFORD, ARIZONA"	20679999	N	FT-2	9824-FT2AEPNG	12/1/1991	11/30/2011	365	N	1570	0	x8
A	BP ENERGY COMPANY	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	942	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	125	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	438	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	65	0					
P	MQ	CTYSTAAZ/EPNG (DSAFFG-M) SAFFORD CG	95	301010	ARIZONA - NO BASIN	1570	0					
D	"CITY OF SOCORRO, NEW MEXICO"	123499188	N	FT-2	9828-FT2AEPNG	10/1/1991	9/30/2011	365	N	434	0	x9
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	261	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	34	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	121	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	18	0					
P	MQ	CSOCR/EPNG (DSOCRSCG) SOCORRO CITY	95	330132	NEW MEXICO - NO BASI	434	0					
D	"CITY OF WHITEFACE, TEXAS"	51049591	N	FT-2	FX222000-FT2EPNG	12/1/2014	11/30/2024		N	50	0	x13/n1
A	"WTG GAS MARKETING, INC."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	30	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	4	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	14	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	2	0					
P	MQ	CTYWHTFC/EPNG (DWHITDIS) WHITEFACE	95	320214	TEXAS - PERMIAN BASI	50	0					
D	"CITY OF WILLCOX, ARIZONA"	56049265	N	FT-2	97YU-FT2AEPNG	10/1/1991	9/30/2011	365	N	808	0	x5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	485	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	65	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	225	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	33	0					
P	MQ	CTYWILAZ/EPNG (DWLCXWIL) WILLCOX 20	95	331094	ARIZONA - NO BASIN	808	0					
D	"CORONA, NEW MEXICO, VILLAGE OF"	88313549	N	FT-2	FX229000-FT2EPNG	2/1/2015	1/31/2025		N	13	0	x20/n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	7	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	1	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	4	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	1	0					
P	MQ	CORNMVIL/EPNG (DCOROSJX) CORONA	95	320387	NEW MEXICO - NO BASI	13	0					
D	"DUMAS, TEXAS, CITY OF"	66399726	N	FT-2	FX224000-FT2EPNG	1/1/2015	12/31/2024		N	1092	0	x15/n1
A	"WTG GAS MARKETING, INC."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	656	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	87	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	305	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	44	0					
P	MQ	CTYDUMTX/EPNG (DDUMSDIN) DUMAS CITY	95	330416	TEXAS - ANADARKO BAS	1092	0					
D	"DUNCAN VALLEY ELECTRIC COOPERATIVE, INC."	50540517	N	FT-2	982J-FT2AEPNG	11/1/1991	11/30/2013	365	N	572	0	x11
A	"ACES POWER MARKETING, LLC"	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	345	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	45	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	159	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	23	0					
P	MQ	XX/EPNG (DDUN G-M) DUNCAN AREA GREE	95	300830	ARIZONA - NO BASIN	572	0					
D	EMW GAS ASSOCIATION	52684198	N	FT-2	FX22A000-FT2EPNG	3/1/2015	2/28/2025		N	954	0	x21/n1
A	SUMMIT ENERGY LLC	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	573	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	76	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	266	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	39	0					
P	MQ	EMWGASAS/EPNG (DEMW EMW) ESTANCIA-M	95	331709	NEW MEXICO - NO BASI	954	0					
D	"GRAHAM COUNTY UTILITIES, INC."	42021022	N	FT-2	97ZP-FT2AEPNG	9/1/1991	8/31/2011	365	N	1705	0	x6
A	BP ENERGY COMPANY	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	1025	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	136	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	475	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	69	0					
P	MQ	GRAMCNTY/EPNG (DGRHMG-M) GRAHAM CO	95	300895	ARIZONA - NO BASIN	1705	0					
D	"MCLEAN, TEXAS, CITY OF"	54216692	N	FT-2	FX223000-FT2EPNG	12/1/2014	11/30/2024		N	92	0	x14/n1
A	"WTG GAS MARKETING, INC."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	55	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	8	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	25	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	4	0					
P	MQ	MCLEANTX/EPNG (DMCLNPAN) MC LEAN EM	95	331985	TEXAS - ANADARKO BAS	92	0					
D	"STERLING NATURAL GAS, INC."	192949915	N	FT-2	982T-FT2AEPNG	10/1/1991	9/30/2011	365	N	23	0	x12
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	14	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	2	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	6	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	1	0					
P	MQ	STRLNATR/EPNG (DRAM MID) STERLING	95	320431	TEXAS - PERMIAN BASI	23	0					
D	TOWN OF MOUNTAINAIR	964105142	N	FT-2	FX228000-FT2EPNG	2/1/2015	1/31/2025		N	88	0	x19/n1
A	SUMMIT ENERGY LLC	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	53	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	7	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	24	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	4	0					
P	MQ	TWNMOUNT/EPNG (DMTNASJX) MOUNTAINAI	95	320246	NEW MEXICO - NO BASI	88	0					
D	ZIA NATURAL GAS COMPANY	79341051	N	FT-2	9823-FT2AEPNG	11/1/1991	10/31/2011	365	N	8668	0	x7
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	5211	0					
P	M2	(BONDAD) BONDAD POOL	95	300722	NEW MEXICO - SAN JUA	689	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	2416	0					
P	M2	(RIOVISTA) RIO VISTA STATION	95	302296	NEW MEXICO - SAN JUA	352	0					
P	MQ	ZIA/EPNG (DRIOGLAS) RIO GRANDE GAS	95	301007	NEW MEXICO - NO BASI	8668	0					
D	"ARIZONA ELECTRIC POWER COOPERATIVE, INC."	68397876	N	FTH-12	H222V000-FH12EPNG	4/1/2015	10/31/2024		Y	7424	0	n1
A	"ACES POWER MARKETING, LLC"	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	4620	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	2804	0					
P	MQ	AZELCPWR/EPNG (DAEPCWIL) WILLCOX CO	95	300754	ARIZONA - NO BASIN	7424	0					
D	ATMOS ENERGY CORP	108203241	N	FTH-12	H2232000-FH12EPNG	11/1/2017	3/31/2022		N	2500	0	n1
A	"HARTREE PARTNERS, LP"	N										
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	2500	0					
P	MQ	AEC-I/EPNG (DWSTRDIS) WOLFORTH DEL	95	334880	TEXAS - PERMIAN BASI	2500	0					
D	ATMOS ENERGY CORP	108203241	N	FTH-12	H222Y000-FH12EPNG	11/1/2017	9/30/2022		N	30000	0	n1
A	"HARTREE PARTNERS, LP"	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	15000	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	15000	0					
P	MQ	AEC-I/EPNG (DENSODIN) ENERGAS N. OF	95	300833	TEXAS - ANADARKO BAS	30000	0					
D	ATMOS ENERGY CORP	108203241	N	FTH-12	H222Z000-FH12EPNG	11/1/2017	3/31/2022		N	2500	0	n1
A	"HARTREE PARTNERS, LP"	N										
P	MQ	AEC-I/EPNG (DBUFFRNH) BUFFALO RANCH	95	49653	TEXAS - ANADARKO BAS	2500	0					
P	M2	CIG/EPNG (IBIGBLUE) BIG BLUE MOORE	95	301360	TEXAS - ANADARKO BAS	1250	0					
P	M2	EMP-EOIT/EPNG (ILEARWAS) TRANSOK TO	95	314520	TEXAS - ANADARKO BAS	1250	0					
D	PUBLIC SERVICE COMPANY OF NEW MEXICO	40016268	N	FTH-12	H222W000-FH12EPNG	7/1/2015	10/31/2022		Y	17500	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	17500	0					
P	MQ	NMPSC/EPNG (ILRDSBRG) LORDSBURG DEL	95	314549	NEW MEXICO - NO BASI	17500	0					
D	PUBLIC SERVICE COMPANY OF NEW MEXICO	40016268	N	FTH-12	H222X000-FH12EPNG	7/1/2015	10/31/2022		Y	6000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	6000	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
P	MQ	NMPSC/EPNG (ILRDSBRG) LORDSBURG DEL	95	314549	NEW MEXICO - NO BASI	6000	0					
D	SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT AND POWER DIST.	9011487	N	FTH-12	H222T000-FH12EPNG	1/1/2014	3/31/2027		Y	230000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	50000	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	47000	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	87000	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	21000	0					
P	M2	DBMPL/EPNG (IRAMSEYS) RAMSEY SO REC	95	800908	TEXAS - PERMIAN BASI	7250	0					
P	M2	ETC FS/EPNG (IREDBLUF) RED BLUFF RE	95	800911	TEXAS - PERMIAN BASI	3000	0					
P	M2	MARKWEST/EPNG (ITRICRWN) TRIPLE CRO	95	334863	TEXAS - PERMIAN BASI	14750	0					
P	MQ	SRP/EPNG (DSRP PHX) SALT RIVER PROJ	95	301043	ARIZONA - NO BASIN	230000	0					
D	TUCSON ELECTRIC POWER COMPANY	6902704	N	FTH-12	H222Q000-FH12EPNG	9/1/2013	4/30/2023		Y	25000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	5000	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	20000	0					
P	MQ	TUCSONEL/EPNG (DTEP S78) IRVINGTON	95	301149	ARIZONA - NO BASIN	25000	0					
D	TUCSON ELECTRIC POWER COMPANY	6902704	N	FTH-12	H222R000-FH12EPNG	9/1/2013	3/31/2022		Y	15000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	15000	0					
P	MQ	NMPSC/EPNG (ILUNAPWR) LUNA ENERGY F	95	314566	NEW MEXICO - NO BASI	15000	0					
D	"UNS GAS, INC."	135904907	N	FTH-12	H222P000-FH12EPNG	9/1/2013	10/31/2020		Y	2310	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	2310	0					
P	MQ	UNSGAS/EPNG (DCITZNOG) NOGALES AREA	95	300808	ARIZONA - NO BASIN	2310	0					
D	EL PASO ELECTRIC COMPANY	7928955	N	FTH-16	H6223000-FH16EPNG	8/1/2006	12/31/2033		N	220000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	44653	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	52281	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	123066	0					
P	MQ	EP ELEC/EPNG (DEPECAFT) RIO GRANDE	95	300842	TEXAS - NO BASIN	50000	0					
P	MQ	EP ELEC/EPNG (DEPECELP) NEWMAN PP E	95	300843	TEXAS - NO BASIN	170000	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FTH-3	610184-FH3EPNG	11/1/2017	3/31/2021		N	0	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	0	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	0	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	0	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
P	MQ	SWGAS/EPNG (DSWG AJO) AJO PIMA	95	301084	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG BSB) BISBEE COCHIS	95	301087	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG DG1) DOUGLAS NO 1	95	330023	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG DGN) DOUGLAS COCHI	95	301091	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG DUG) SWG DOUGLAS A	95	301092	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG EUR) EUROFRESH	95	314589	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG G-M) SWG GLOBE ARE	95	301100	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG GIL) SWG GILA AREA	95	301105	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG GME) SWG GLOBE MIA	95	301107	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG HAY) SWG HAYDEN PI	95	301109	ARIZONA - NO BASIN	0	0					
